region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
puhuangyu,整租·蒲黄榆四里 2室1厅 南/西/北,整租,蒲黄榆四里,丰台区-蒲黄榆-蒲黄榆四里,57.90,2室1厅,南/西/北,,5100,88.1,,,https://bj.lianjia.com/zufang/BJ2156636289670053888.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安东里 2室1厅 东,整租,蒲安东里,丰台区-蒲黄榆-蒲安东里,83.63,2室1厅,东,,6100,72.9,,,https://bj.lianjia.com/zufang/BJ1923628735114772480.html,2026-05-02 20:09:26,,
puhuangyu,整租·南三环中路15号院 2室1厅 南,整租,南三环中路15号院,丰台区-蒲黄榆-南三环中路,78.33,2室1厅,南,,6500,83.0,,,https://bj.lianjia.com/zufang/BJ2150914094947893248.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑南里 2室1厅 南/北,整租,刘家窑南里,丰台区-蒲黄榆-刘家窑南里,50.50,2室1厅,南/北,,4200,83.2,,,https://bj.lianjia.com/zufang/BJ2154445124069752832.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲黄榆二里 2室1厅 东南,整租,蒲黄榆二里,丰台区-蒲黄榆-蒲黄榆二里,66.36,2室1厅,东南,,5500,82.9,,,https://bj.lianjia.com/zufang/BJ2158059609347063808.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲黄榆二里 2室1厅 南,整租,蒲黄榆二里,丰台区-蒲黄榆-蒲黄榆二里,54.10,2室1厅,南,,5630,104.1,,,https://bj.lianjia.com/zufang/BJ1986453067905630208.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑南里 2室1厅 南/北,整租,刘家窑南里,丰台区-蒲黄榆-刘家窑南里,65.80,2室1厅,南/北,,5400,82.1,,,https://bj.lianjia.com/zufang/BJ2158455077776392192.html,2026-05-02 20:09:26,,
puhuangyu,整租·定安东里 1室1厅 南,整租,定安东里,丰台区-蒲黄榆-定安东里,46.40,1室1厅,南,,4800,103.4,,,https://bj.lianjia.com/zufang/BJ2158142474319560704.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安里 2室1厅 南/北,整租,蒲安里,丰台区-蒲黄榆-蒲安里,55.71,2室1厅,南/北,,4900,88.0,,,https://bj.lianjia.com/zufang/BJ2151317824222527488.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安东里 2室1厅 东/西,整租,蒲安东里,丰台区-蒲黄榆-蒲安东里,63.00,2室1厅,东/西,,5000,79.4,,,https://bj.lianjia.com/zufang/BJ2160697157647073280.html,2026-05-02 20:09:26,,
puhuangyu,整租·安乐林路17号旁门 1室1厅 东,整租,安乐林路17号旁门,东城区-蒲黄榆-安乐林路,36.52,1室1厅,东,,4100,112.3,,,https://bj.lianjia.com/zufang/BJ2141880304208445440.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲黄榆路 3室1厅 东/西,整租,蒲黄榆路,丰台区-蒲黄榆-蒲黄榆路,56.30,3室1厅,东/西,,5000,88.8,,,https://bj.lianjia.com/zufang/BJ2010280384486440960.html,2026-05-02 20:09:26,,
puhuangyu,整租·南三环中路15号院 2室1厅 东,整租,南三环中路15号院,丰台区-蒲黄榆-南三环中路,53.00,2室1厅,东,,4300,81.1,,,https://bj.lianjia.com/zufang/BJ2156276906998104064.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安西里 2室1厅 东/南/北,整租,蒲安西里,丰台区-蒲黄榆-蒲安西里,71.44,2室1厅,东/南/北,,4800,67.2,,,https://bj.lianjia.com/zufang/BJ2128359324211216384.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑南里 2室1厅 南/北,整租,刘家窑南里,丰台区-蒲黄榆-刘家窑南里,65.30,2室1厅,南/北,,4600,70.4,,,https://bj.lianjia.com/zufang/BJ2015052168888844288.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑南里 2室2厅 北,整租,刘家窑南里,丰台区-蒲黄榆-刘家窑南里,63.00,2室2厅,北,,5360,85.1,,,https://bj.lianjia.com/zufang/BJ1980953490372952064.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲黄榆路 3室1厅 西南,整租,蒲黄榆路,丰台区-蒲黄榆-蒲黄榆路,75.70,3室1厅,西南,,6100,80.6,,,https://bj.lianjia.com/zufang/BJ2121077908880490496.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑东里 2室1厅 南/北,整租,刘家窑东里,丰台区-蒲黄榆-刘家窑东里,58.72,2室1厅,南/北,,5900,100.5,,,https://bj.lianjia.com/zufang/BJ2150902653448617984.html,2026-05-02 20:09:26,,
puhuangyu,整租·定安东里 2室1厅 东/西,整租,定安东里,丰台区-蒲黄榆-定安东里,56.70,2室1厅,东/西,,4500,79.4,,,https://bj.lianjia.com/zufang/BJ1883108532140638208.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲黄榆路 1室1厅 东,整租,蒲黄榆路,丰台区-蒲黄榆-蒲黄榆路,42.00,1室1厅,东,,4600,109.5,,,https://bj.lianjia.com/zufang/BJ2140456930903064576.html,2026-05-02 20:09:26,,
puhuangyu,整租·恒松园 3室1厅 西南,整租,恒松园,丰台区-蒲黄榆-恒松园,169.16,3室1厅,西南,,6500,38.4,,,https://bj.lianjia.com/zufang/BJ2152743430340476928.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑南里 2室1厅 东,整租,刘家窑南里,丰台区-蒲黄榆-刘家窑南里,55.20,2室1厅,东,,5300,96.0,,,https://bj.lianjia.com/zufang/BJ2159647636389363712.html,2026-05-02 20:09:26,,
puhuangyu,整租·安乐林路17号旁门 2室1厅 东/西,整租,安乐林路17号旁门,东城区-蒲黄榆-安乐林路,53.32,2室1厅,东/西,,5000,93.8,,,https://bj.lianjia.com/zufang/BJ2146545495676289024.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安东里 2室2厅 东南,整租,蒲安东里,丰台区-蒲黄榆-蒲安东里,98.31,2室2厅,东南,,8500,86.5,,,https://bj.lianjia.com/zufang/BJ2135281592921227264.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安东里 1室1厅 南/北,整租,蒲安东里,丰台区-蒲黄榆-蒲安东里,47.54,1室1厅,南/北,,4800,101.0,,,https://bj.lianjia.com/zufang/BJ2159935159661494272.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安北里 1室1厅 南,整租,蒲安北里,丰台区-蒲黄榆-蒲安北里,48.00,1室1厅,南,,4200,87.5,,,https://bj.lianjia.com/zufang/BJ2144764362693279744.html,2026-05-02 20:09:26,,
puhuangyu,整租·刘家窑东里 1室1厅 南,整租,刘家窑东里,丰台区-蒲黄榆-刘家窑东里,42.19,1室1厅,南,,4390,104.1,,,https://bj.lianjia.com/zufang/BJ2006235879990886400.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲安西里 1室1厅 东/西,整租,蒲安西里,丰台区-蒲黄榆-蒲安西里,51.59,1室1厅,东/西,,4400,85.3,,,https://bj.lianjia.com/zufang/BJ2014665104871653376.html,2026-05-02 20:09:26,,
puhuangyu,整租·恒松园 3室1厅 东,整租,恒松园,丰台区-蒲黄榆-恒松园,169.03,3室1厅,东,,12000,71.0,,,https://bj.lianjia.com/zufang/BJ2146567909042814976.html,2026-05-02 20:09:26,,
puhuangyu,整租·蒲黄榆五巷 2室1厅 西南,整租,蒲黄榆五巷,丰台区-蒲黄榆-蒲黄榆五巷,61.75,2室1厅,西南,,5030,81.5,,,https://bj.lianjia.com/zufang/BJ1824098779016462336.html,2026-05-02 20:09:26,,
