region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
qianmen,整租·前门东大街 2室1厅 西北,整租,前门东大街,东城区-前门-前门东大街,57.76,2室1厅,西北,,7000,121.2,,,https://bj.lianjia.com/zufang/BJ2149086489177227264.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街7号 1室1厅 西,整租,前门东大街7号,东城区-前门-前门东大街,45.27,1室1厅,西,,6200,137.0,,,https://bj.lianjia.com/zufang/BJ2159948103740817408.html,2026-05-02 20:10:46,39.899766,116.399568
qianmen,整租·前门东大街7号 1室1厅 东,整租,前门东大街7号,东城区-前门-前门东大街,45.27,1室1厅,东,,6500,143.6,,,https://bj.lianjia.com/zufang/BJ2146559640396103680.html,2026-05-02 20:10:46,39.899766,116.399568
qianmen,整租·东交民巷21号院 2室1厅 东,整租,东交民巷21号院,东城区-前门-东交民巷,50.64,2室1厅,东,,7500,148.1,,,https://bj.lianjia.com/zufang/BJ2154923312017309696.html,2026-05-02 20:10:46,39.900566,116.401538
qianmen,整租·前门东大街 2室1厅 南,整租,前门东大街,东城区-前门-前门东大街,56.95,2室1厅,南,,7200,126.4,,,https://bj.lianjia.com/zufang/BJ2026537323549687808.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 2室1厅 南,整租,前门东大街,东城区-前门-前门东大街,59.88,2室1厅,南,,6860,114.6,,,https://bj.lianjia.com/zufang/BJ1930644686624522240.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·东交民巷11号院 2室1厅 南/北,整租,东交民巷11号院,东城区-前门-东交民巷,48.24,2室1厅,南/北,,7200,149.3,,,https://bj.lianjia.com/zufang/BJ2141431895152394240.html,2026-05-02 20:10:46,39.90122,116.407388
qianmen,整租·前门东大街 1室1厅 南,整租,前门东大街,东城区-前门-前门东大街,37.36,1室1厅,南,,6500,174.0,,,https://bj.lianjia.com/zufang/BJ2151240749427982336.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·东交民巷32号院 2室1厅 东,整租,东交民巷32号院,东城区-前门-东交民巷,49.00,2室1厅,东,,6090,124.3,,,https://bj.lianjia.com/zufang/BJ1989673877483028480.html,2026-05-02 20:10:46,39.900566,116.401538
qianmen,整租·前门东大街 2室1厅 西北,整租,前门东大街,东城区-前门-前门东大街,56.41,2室1厅,西北,,6800,120.5,,,https://bj.lianjia.com/zufang/BJ2115650922376855552.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 3室0厅 东/北,整租,前门东大街,东城区-前门-前门东大街,60.37,3室0厅,东/北,,7200,119.3,,,https://bj.lianjia.com/zufang/BJ2154937297731059712.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·东交民巷32号院 3室1厅 东北,整租,东交民巷32号院,东城区-前门-东交民巷,72.80,3室1厅,东北,,8500,116.8,,,https://bj.lianjia.com/zufang/BJ2144041081140936704.html,2026-05-02 20:10:46,39.900566,116.401538
qianmen,整租·前门东大街 2室1厅 复式 南,整租,前门东大街,东城区-前门-前门东大街,62.57,2室1厅,,,7200,115.1,,,https://bj.lianjia.com/zufang/BJ2121947652873519104.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街7号 1室1厅 东南,整租,前门东大街7号,东城区-前门-前门东大街,54.55,1室1厅,东南,,6300,115.5,,,https://bj.lianjia.com/zufang/BJ2155895327075336192.html,2026-05-02 20:10:46,39.899766,116.399568
qianmen,整租·前门东大街 2室1厅 南,整租,前门东大街,东城区-前门-前门东大街,57.26,2室1厅,南,,8000,139.7,,,https://bj.lianjia.com/zufang/BJ2154945722913390592.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 2室1厅 南,整租,前门东大街,东城区-前门-前门东大街,49.52,2室1厅,南,,7990,161.3,,,https://bj.lianjia.com/zufang/BJ1805419993366528000.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 2室1厅 南/北,整租,前门东大街,东城区-前门-前门东大街,58.98,2室1厅,南/北,,7500,127.2,,,https://bj.lianjia.com/zufang/BJ2157421123933831168.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 3室1厅 南/北,整租,前门东大街,东城区-前门-前门东大街,69.65,3室1厅,南/北,,8300,119.2,,,https://bj.lianjia.com/zufang/BJ2064582329598214144.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 2室1厅 西南,整租,前门东大街,东城区-前门-前门东大街,58.67,2室1厅,西南,,6800,115.9,,,https://bj.lianjia.com/zufang/BJ1952303269518770176.html,2026-05-02 20:10:46,39.900004,116.401096
qianmen,整租·前门东大街 1室0厅 南/北,整租,前门东大街,东城区-前门-前门东大街,38.69,1室0厅,南/北,,5600,144.7,,,https://bj.lianjia.com/zufang/BJ2140462005826355200.html,2026-05-02 20:10:46,39.900004,116.401096
