region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shangda,整租·丰翔新城 3室2厅 南,整租,丰翔新城,宝山-上大-丰翔新城,127.66,3室2厅,南,,5000,39.2,,,https://sh.lianjia.com/zufang/SH2033763926952378368.html,2026-04-23 16:03:22,31.31186,121.37992
shangda,整租·锦秋花园(公寓) 2室1厅 南,整租,锦秋花园(公寓),宝山-上大-锦秋花园(公寓),81.86,2室1厅,南,,6000,73.3,,,https://sh.lianjia.com/zufang/SH2143269029983289344.html,2026-04-23 16:03:06,31.32271,121.39378
shangda,整租·保利熙悦 3室2厅 南,整租,保利熙悦,宝山-上大-保利熙悦,105.80,3室2厅,南,,6700,63.3,,,https://sh.lianjia.com/zufang/SH2154076793718439936.html,2026-04-23 16:03:22,31.37793,121.4628
shangda,独栋·保利和寓 熙悦青年社区 7/15号地铁·上大商圈·民用水电·朝南 开间,独栋,保利和寓 熙悦青年社区,,39.00,,,,3007,77.1,,,https://sh.lianjia.com/apartment/51324.html,2026-04-23 16:03:00,39.875182,116.317333
shangda,整租·祁连二村 1室1厅 南,整租,祁连二村,宝山-上大-祁连二村,46.63,1室1厅,南,,3500,75.1,,,https://sh.lianjia.com/zufang/SH1966512974889746432.html,2026-04-23 16:03:26,31.3159,121.37647
shangda,独栋·大华享寓 锦秋路店10号楼店 樱红柳绿梦享95折-无中介小两房民用水电煤有停车位！ 2室1厅,独栋,大华享寓 锦秋路店10号楼店,,51.00,2室1厅,,,3970,77.8,,,https://sh.lianjia.com/apartment/58111.html,2026-04-23 16:03:03,39.9171,116.4081
shangda,整租·汇枫景苑 1室1厅 南,整租,汇枫景苑,宝山-上大-汇枫景苑,54.18,1室1厅,南,,3900,72.0,,,https://sh.lianjia.com/zufang/SH1672501596660957184.html,2026-04-23 16:04:09,31.31716,121.39519
shangda,整租·汇枫景苑 2室1厅 南,整租,汇枫景苑,宝山-上大-汇枫景苑,69.69,2室1厅,南,,4300,61.7,,,https://sh.lianjia.com/zufang/SH2143372343664181248.html,2026-04-23 16:03:00,31.31716,121.39519
shangda,整租·经纬学府涵青花园(二期) 2室2厅 南/北,整租,经纬学府涵青花园(二期),宝山-上大-经纬学府涵青花园(二期),101.14,2室2厅,南/北,,5000,49.4,,,https://sh.lianjia.com/zufang/SH1776455601035935744.html,2026-04-23 16:04:09,31.33287,121.3922
shangda,"独栋·大华享寓 锦秋路8号楼店 五一敬耕耘·享福利9.5折起！无中介民用水电煤有停车位,可用公积金可办居住证！ 2室1厅",独栋,大华享寓 锦秋路8号楼店,,55.00,2室1厅,,,3950,71.8,,,https://sh.lianjia.com/apartment/57780.html,2026-04-23 16:03:03,39.97445,116.342568
shangda,整租·宝祁雅苑(北区) 2室1厅 南,整租,宝祁雅苑(北区),宝山-上大-宝祁雅苑(北区),71.70,2室1厅,南,,4500,62.8,,,https://sh.lianjia.com/zufang/SH1723377732550656000.html,2026-04-23 16:04:09,31.32216,121.36797
shangda,独栋·金地草莓社区 上海大学店 【顶配公区】新开保租房大社区 自有物业 免费1500平公区 开间,独栋,金地草莓社区 上海大学店,,30.50,,,,2482-2767,,,,https://sh.lianjia.com/apartment/90940.html,2026-04-23 16:03:00,39.864966,116.532528
shangda,整租·经纬观澜弘郡家园(三期) 2室1厅 南,整租,经纬观澜弘郡家园(三期),宝山-上大-经纬观澜弘郡家园(三期),84.26,2室1厅,南,,5500,65.3,,,https://sh.lianjia.com/zufang/SH1731665248013778944.html,2026-04-23 16:04:09,31.329204,121.393303
shangda,独栋·金地草莓社区 南大店 【提取公积金】保租房 朝南一室户 南北通透 开间,独栋,金地草莓社区 南大店,,30.81,,,,2685-2816,,,,https://sh.lianjia.com/apartment/90942.html,2026-04-23 16:03:00,39.946996,116.317868
shangda,整租·上大阳光乾恩园 3室2厅 南,整租,上大阳光乾恩园,宝山-上大-上大阳光乾恩园,132.00,3室2厅,南,,6930,52.5,,,https://sh.lianjia.com/zufang/SH2006308286961287168.html,2026-04-23 16:03:26,31.31912,121.39066
shangda,独栋·金地草莓社区 南大旗舰店 【品牌公寓】金地草莓社区 精装一室户 可办理居住证 免费班车接驳 开间,独栋,金地草莓社区 南大旗舰店 金地草莓社区,,28.00,,,,2378-2468,,,,https://sh.lianjia.com/apartment/90935.html,2026-04-23 16:03:00,39.964166,116.316898
