region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shifoying,整租·晨光家园B区 3室1厅 南/北,整租,晨光家园B区,朝阳区-石佛营-晨光家园,135.00,3室1厅,南/北,,9800,72.6,,,https://bj.lianjia.com/zufang/BJ2160279562888413184.html,2026-05-02 20:58:06,39.924201,116.496312
shifoying,整租·炫特嘉园一期 1室1厅 南,整租,炫特嘉园一期,朝阳区-石佛营-炫特嘉园一期,47.13,1室1厅,南,,4700,99.7,,,https://bj.lianjia.com/zufang/BJ1694368884435451904.html,2026-05-02 20:59:09,39.929874,116.499864
shifoying,整租·公园1872 4室2厅 南/北,整租,公园1872,朝阳区-石佛营-公园,227.64,4室2厅,南/北,,27000,118.6,,,https://bj.lianjia.com/zufang/BJ2149163755345281024.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·公园1872 4室2厅 南/北,整租,公园1872,朝阳区-石佛营-公园,230.00,4室2厅,南/北,,30000,130.4,,,https://bj.lianjia.com/zufang/BJ2150509351511523328.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·晨光家园B区 2室1厅 南,整租,晨光家园B区,朝阳区-石佛营-晨光家园,101.63,2室1厅,南,,8100,79.7,,,https://bj.lianjia.com/zufang/BJ2154906628032299008.html,2026-05-02 20:59:13,39.924201,116.496312
shifoying,独栋·北京二十一世纪公寓管理 十里堡地铁站，石佛营地铁站 十里堡地铁，石佛营地铁，无中介费 开间,独栋,北京二十一世纪公寓管理 十里堡地铁站，石佛营地铁站 十里堡地铁，石佛营地铁，无中介费 开间,,22.00,,,,3500,159.1,,,https://bj.lianjia.com/apartment/105357.html,2026-05-02 20:58:10,39.846232,116.522294
shifoying,整租·中水金海 2室1厅 南,整租,中水金海,朝阳区-石佛营-中水金海,115.00,2室1厅,南,,7200,62.6,,,https://bj.lianjia.com/zufang/BJ2153826846951604224.html,2026-05-02 20:58:06,39.932694,116.501366
shifoying,整租·公园1872国际公寓 1室0厅 西,整租,公园1872国际公寓,朝阳区-石佛营-公园,67.54,1室0厅,西,,8000,118.4,,,https://bj.lianjia.com/zufang/BJ2155987013780635648.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·紫萝园 2室1厅 东,整租,紫萝园,朝阳区-石佛营-紫萝园,92.71,2室1厅,东,,6350,68.5,,,https://bj.lianjia.com/zufang/BJ2012102631912112128.html,2026-05-02 20:58:57,39.932216,116.496998
shifoying,整租·公园1872 4室2厅 东/南/北,整租,公园1872,朝阳区-石佛营-公园,270.00,4室2厅,东/南/北,,35000,129.6,,,https://bj.lianjia.com/zufang/BJ2137974781062938624.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·晨光家园B区 3室1厅 南/北,整租,晨光家园B区,朝阳区-石佛营-晨光家园,133.69,3室1厅,南/北,,10000,74.8,,,https://bj.lianjia.com/zufang/BJ2151524777678864384.html,2026-05-02 20:58:06,39.924201,116.496312
shifoying,整租·石佛营西里小区 1室1厅 南,整租,石佛营西里小区,朝阳区-石佛营-石佛营西里小区,47.02,1室1厅,南,,4600,97.8,,,https://bj.lianjia.com/zufang/BJ2153065699629596672.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·公园1872 4室2厅 东/西,整租,公园1872,朝阳区-石佛营-公园,312.28,4室2厅,东/西,,42000,134.5,,,https://bj.lianjia.com/zufang/BJ2160275341103333376.html,2026-05-02 20:58:24,39.932216,116.496998
shifoying,整租·润枫嘉尚 1房间 北,整租,润枫嘉尚 1房间 北,朝阳区-石佛营-润枫嘉尚,39.77,,,,4500,113.2,,,https://bj.lianjia.com/zufang/BJ2159851867343945728.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·炫特嘉园三期 1室1厅 错层 南/北,整租,炫特嘉园三期,朝阳区-石佛营-炫特嘉园三期,71.37,1室1厅,,,5600,78.5,,,https://bj.lianjia.com/zufang/BJ1897661556443840512.html,2026-05-02 20:58:57,39.929874,116.499864
shifoying,整租·公园1872国际公寓 1室1厅 东,整租,公园1872国际公寓,朝阳区-石佛营-公园,62.74,1室1厅,东,,9200,146.6,,,https://bj.lianjia.com/zufang/BJ1815624388662263808.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·十里堡南区 3室1厅 南/北,整租,十里堡南区,朝阳区-石佛营-十里堡南区,75.00,3室1厅,南/北,,6000,80.0,,,https://bj.lianjia.com/zufang/BJ2141397062942457856.html,2026-05-02 20:58:06,39.927444,116.496145
shifoying,整租·十里堡南区 1室1厅 南,整租,十里堡南区,朝阳区-石佛营-十里堡南区,53.00,1室1厅,南,,5000,94.3,,,https://bj.lianjia.com/zufang/BJ2151245271164518400.html,2026-05-02 20:58:06,39.927444,116.496145
shifoying,整租·炫特嘉园三期 1室1厅 南,整租,炫特嘉园三期,朝阳区-石佛营-炫特嘉园三期,63.39,1室1厅,南,,5600,88.3,,,https://bj.lianjia.com/zufang/BJ2012003038453039104.html,2026-05-02 20:58:31,39.929874,116.499864
shifoying,整租·八里庄北里小区 3室1厅 东北,整租,八里庄北里小区,朝阳区-石佛营-八里庄北里小区,80.28,3室1厅,东北,,7000,87.2,,,https://bj.lianjia.com/zufang/BJ2057705402316881920.html,2026-05-02 20:58:06,39.925296,116.495628
shifoying,整租·晨光家园A区 1室1厅 西,整租,晨光家园A区,朝阳区-石佛营-晨光家园,72.10,1室1厅,西,,5500,76.3,,,https://bj.lianjia.com/zufang/BJ2151615280088875008.html,2026-05-02 20:58:06,39.924201,116.496312
shifoying,整租·炫特嘉园一期 1室1厅 西,整租,炫特嘉园一期,朝阳区-石佛营-炫特嘉园一期,57.86,1室1厅,西,,5200,89.9,,,https://bj.lianjia.com/zufang/BJ1909917040563453952.html,2026-05-02 20:58:57,39.929874,116.499864
shifoying,整租·晨光家园B区 1室1厅 南/北,整租,晨光家园B区,朝阳区-石佛营-晨光家园,78.92,1室1厅,南/北,,6300,79.8,,,https://bj.lianjia.com/zufang/BJ2124037967176531968.html,2026-05-02 20:58:06,39.924201,116.496312
shifoying,整租·晨光家园B区 2室1厅 南/北,整租,晨光家园B区,朝阳区-石佛营-晨光家园,108.19,2室1厅,南/北,,8000,73.9,,,https://bj.lianjia.com/zufang/BJ2156688620512083968.html,2026-05-02 20:58:06,39.924201,116.496312
shifoying,整租·八里庄北里小区 2室1厅 东南,整租,八里庄北里小区,朝阳区-石佛营-八里庄北里小区,66.73,2室1厅,东南,,5500,82.4,,,https://bj.lianjia.com/zufang/BJ2148089351702052864.html,2026-05-02 20:58:31,39.925296,116.495628
shifoying,整租·石佛营西里小区 1室1厅 南/北,整租,石佛营西里小区,朝阳区-石佛营-石佛营西里小区,47.60,1室1厅,南/北,,4900,102.9,,,https://bj.lianjia.com/zufang/BJ2154622627744841728.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·公园1872 1室1厅 西南,整租,公园1872,朝阳区-石佛营-公园,93.23,1室1厅,西南,,16000,171.6,,,https://bj.lianjia.com/zufang/BJ1945905159800356864.html,2026-05-02 20:58:06,39.932216,116.496998
shifoying,整租·石佛营东里小区 2室2厅 东/西,整租,石佛营东里小区,朝阳区-石佛营-石佛营东里小区,75.97,2室2厅,东/西,,5800,76.3,,,https://bj.lianjia.com/zufang/BJ2003141388950044672.html,2026-05-02 20:58:31,39.932216,116.496998
