region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shijingshanqita1,整租·远洋天著春秋二期 4室2厅 南/北,整租,远洋天著春秋二期,石景山区-石景山其它-远洋天著春秋二期,200.08,4室2厅,南/北,,28000,139.9,,,https://bj.lianjia.com/zufang/BJ2124368101641289728.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·远洋五里春秋 3室1厅 南/北,整租,远洋五里春秋,石景山区-石景山其它-远洋五里春秋,87.65,3室1厅,南/北,,4300,49.1,,,https://bj.lianjia.com/zufang/BJ2146260841601695744.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·衙府安园 1室1厅 南,整租,衙府安园,石景山区-石景山其它-衙府安园,55.00,1室1厅,南,,3500,63.6,,,https://bj.lianjia.com/zufang/BJ2088131150483554304.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·卓越万科翡翠山晓 3室1厅 南/北,整租,卓越万科翡翠山晓,石景山区-石景山其它-卓越万科翡翠山晓,90.00,3室1厅,南/北,,4500,50.0,,,https://bj.lianjia.com/zufang/BJ2119749352766308352.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·衙府安园 2室1厅 南,整租,衙府安园,石景山区-石景山其它-衙府安园,70.00,2室1厅,南,,4200,60.0,,,https://bj.lianjia.com/zufang/BJ2143187749132304384.html,2026-05-02 22:26:27,,
shijingshanqita1,独栋·「蕅寓」 西府海棠店 西府海棠无中介费，五里坨改善住宅，精装修三居室首次出租，绿城直营 3室1厅,独栋,「蕅寓」 西府海棠店 西府海棠无中介费，五里坨改善住宅，精装修三居室首次出租，绿城直营,,89.00,3室1厅,,,5500,61.8,,,https://bj.lianjia.com/apartment/95724.html,2026-05-02 22:26:45,,
shijingshanqita1,整租·绿城西府海棠 3室1厅 南/北,整租,绿城西府海棠,石景山区-石景山其它-绿城西府海棠,88.86,3室1厅,南/北,,5200,58.5,,,https://bj.lianjia.com/zufang/BJ2153726161203494912.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·卓越万科翡翠山晓 3室1厅 南/北,整租,卓越万科翡翠山晓,石景山区-石景山其它-卓越万科翡翠山晓,88.84,3室1厅,南/北,,4900,55.2,,,https://bj.lianjia.com/zufang/BJ2157350249847324672.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·卓越万科翡翠山晓 3室1厅 南/北,整租,卓越万科翡翠山晓,石景山区-石景山其它-卓越万科翡翠山晓,89.08,3室1厅,南/北,,4500,50.5,,,https://bj.lianjia.com/zufang/BJ1750429940492271616.html,2026-05-02 22:26:27,,
shijingshanqita1,整租·卓越万科翡翠山晓 4室3厅 南/北,整租,卓越万科翡翠山晓,石景山区-石景山其它-卓越万科翡翠山晓,200.00,4室3厅,南/北,,12000,60.0,,,https://bj.lianjia.com/zufang/BJ2142975356808724480.html,2026-05-02 22:26:27,,
