region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shilipuzhen,整租·北京恒大上河院一期 3室1厅 南/北,整租,北京恒大上河院一期,密云区-十里堡镇-北京恒大上河院一期,100.98,3室1厅,南/北,,3000,29.7,,,https://bj.lianjia.com/zufang/BJ2152287553791721472.html,2026-05-02 23:22:17,,
shilipuzhen,整租·北京恒大上河院一期 3室1厅 南/北,整租,北京恒大上河院一期,密云区-十里堡镇-北京恒大上河院一期,112.00,3室1厅,南/北,,3500,31.2,,,https://bj.lianjia.com/zufang/BJ2158551000057643008.html,2026-05-02 23:22:17,,
shilipuzhen,整租·众智慧谷 3室2厅 南/西北,整租,众智慧谷,密云区-十里堡镇-众智慧谷,148.96,3室2厅,南/西北,,2450,16.4,,,https://bj.lianjia.com/zufang/BJ2144658995170770944.html,2026-05-02 23:22:17,,
shilipuzhen,整租·北京恒大上河院一期 3室2厅 南/北,整租,北京恒大上河院一期,密云区-十里堡镇-北京恒大上河院一期,113.98,3室2厅,南/北,,3000,26.3,,,https://bj.lianjia.com/zufang/BJ2147901035522293760.html,2026-05-02 23:22:17,,
shilipuzhen,整租·众智慧谷 3室2厅 南/西北,整租,众智慧谷,密云区-十里堡镇-众智慧谷,156.93,3室2厅,南/西北,,2400,15.3,,,https://bj.lianjia.com/zufang/BJ2144656465309204480.html,2026-05-02 23:22:17,,
shilipuzhen,整租·北京恒大上河院一期 2室1厅 南/北,整租,北京恒大上河院一期,密云区-十里堡镇-北京恒大上河院一期,65.85,2室1厅,南/北,,2200,33.4,,,https://bj.lianjia.com/zufang/BJ2158895030494822400.html,2026-05-02 23:22:17,,
shilipuzhen,整租·明珠花园 2室1厅 南/北,整租,明珠花园,密云区-十里堡镇-明珠花园,102.47,2室1厅,南/北,,1700,16.6,,,https://bj.lianjia.com/zufang/BJ2098363949303988224.html,2026-05-02 23:22:17,,
shilipuzhen,整租·王各庄新区 2室1厅 南/北,整租,王各庄新区,密云区-十里堡镇-王各庄新区,86.00,2室1厅,南/北,,1700,19.8,,,https://bj.lianjia.com/zufang/BJ2152079804172599296.html,2026-05-02 23:22:17,,
shilipuzhen,整租·众智慧谷 4室2厅 南/北,整租,众智慧谷,密云区-十里堡镇-众智慧谷,156.93,4室2厅,南/北,,2300,14.7,,,https://bj.lianjia.com/zufang/BJ2146961328508502016.html,2026-05-02 23:22:17,,
shilipuzhen,整租·明珠花园 1室2厅 南/北,整租,明珠花园,密云区-十里堡镇-明珠花园,132.71,1室2厅,南/北,,3166,23.9,,,https://bj.lianjia.com/zufang/BJ2071840457041641472.html,2026-05-02 23:22:17,,
shilipuzhen,整租·众智慧谷 3室1厅 南/北,整租,众智慧谷,密云区-十里堡镇-众智慧谷,108.28,3室1厅,南/北,,1800,16.6,,,https://bj.lianjia.com/zufang/BJ2153877148903931904.html,2026-05-02 23:22:17,,
