region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shoudoujichang1,整租·南竺园 2室1厅 南/北,整租,南竺园,顺义区-首都机场-南竺园,80.00,2室1厅,南/北,,4000,50.0,,,https://bj.lianjia.com/zufang/BJ2142092527212167168.html,2026-05-02 20:59:27,40.048496,116.584718
shoudoujichang1,整租·南竺园 2室1厅 南/北,整租,南竺园,顺义区-首都机场-南竺园,63.00,2室1厅,南/北,,3100,49.2,,,https://bj.lianjia.com/zufang/BJ1893277929509486592.html,2026-05-02 20:59:27,40.048496,116.584718
shoudoujichang1,整租·蓝天苑 4室2厅 南/北,整租,蓝天苑,顺义区-首都机场-蓝天苑,213.10,4室2厅,南/北,,7800,36.6,,,https://bj.lianjia.com/zufang/BJ2158411921328439296.html,2026-05-02 20:59:27,40.040282,116.589739
shoudoujichang1,整租·天竺新村 3室2厅 南/北,整租,天竺新村,顺义区-首都机场-天竺新村,100.00,3室2厅,南/北,,3300,33.0,,,https://bj.lianjia.com/zufang/BJ2155677071513223168.html,2026-05-02 20:59:27,40.060542,116.56589
shoudoujichang1,整租·蓝海苑 2室1厅 南/北,整租,蓝海苑,顺义区-首都机场-蓝海苑,112.37,2室1厅,南/北,,5000,44.5,,,https://bj.lianjia.com/zufang/BJ2154570250224402432.html,2026-05-02 20:59:27,40.040282,116.589739
shoudoujichang1,整租·东平里 1室1厅 南,整租,东平里,朝阳区-首都机场-东平里,32.00,1室1厅,南,,2527,79.0,,,https://bj.lianjia.com/zufang/BJ2540621482313121792.html,2026-05-02 20:59:27,40.044694,116.589117
shoudoujichang1,整租·北平里 3室1厅 复式 南/北,整租,北平里,朝阳区-首都机场-北平里,116.06,3室1厅,,,4200,36.2,,,https://bj.lianjia.com/zufang/BJ2156634069675278336.html,2026-05-02 20:59:27,40.078556,116.586398
shoudoujichang1,整租·天竺新村 2室1厅 南/北,整租,天竺新村,顺义区-首都机场-天竺新村,80.00,2室1厅,南/北,,3000,37.5,,,https://bj.lianjia.com/zufang/BJ2155947212721356800.html,2026-05-02 20:59:27,40.060542,116.56589
shoudoujichang1,整租·南平里 2室1厅 南,整租,南平里,朝阳区-首都机场-南平里,58.00,2室1厅,南,,3000,51.7,,,https://bj.lianjia.com/zufang/BJ1892514815813877760.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·蓝海苑 2室1厅 南/北,整租,蓝海苑,顺义区-首都机场-蓝海苑,115.97,2室1厅,南/北,,5400,46.6,,,https://bj.lianjia.com/zufang/BJ2104902911619235840.html,2026-05-02 20:59:27,40.040282,116.589739
shoudoujichang1,整租·蓝海苑 2室1厅 南/北,整租,蓝海苑,顺义区-首都机场-蓝海苑,107.06,2室1厅,南/北,,5400,50.4,,,https://bj.lianjia.com/zufang/BJ2146219200006324224.html,2026-05-02 20:59:27,40.040282,116.589739
shoudoujichang1,整租·南平里 2室1厅 南/北,整租,南平里,朝阳区-首都机场-南平里,63.62,2室1厅,南/北,,3000,47.2,,,https://bj.lianjia.com/zufang/BJ2150174968892096512.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·西平里 2室1厅 南/北,整租,西平里,朝阳区-首都机场-西平里,72.55,2室1厅,南/北,,3600,49.6,,,https://bj.lianjia.com/zufang/BJ2126974992510877696.html,2026-05-02 20:59:27,40.044397,116.586145
shoudoujichang1,整租·南竺园 2室1厅 南/北,整租,南竺园,顺义区-首都机场-南竺园,64.20,2室1厅,南/北,,2900,45.2,,,https://bj.lianjia.com/zufang/BJ2148262500661985280.html,2026-05-02 20:59:27,40.048496,116.584718
shoudoujichang1,整租·首都机场南路西里 2室1厅 南,整租,首都机场南路西里,朝阳区-首都机场-首都机场南路西里,50.76,2室1厅,南,,2310,45.5,,,https://bj.lianjia.com/zufang/BJ2096065817803227136.html,2026-05-02 20:59:27,40.048798,116.586767
shoudoujichang1,整租·南平里 2室1厅 南,整租,南平里,朝阳区-首都机场-南平里,57.19,2室1厅,南,,3190,55.8,,,https://bj.lianjia.com/zufang/BJ1916479879549812736.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·南平里 1室1厅 南,整租,南平里,朝阳区-首都机场-南平里,35.00,1室1厅,南,,2200,62.9,,,https://bj.lianjia.com/zufang/BJ2141528797701210112.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·南竺园 3室1厅 南/北,整租,南竺园,顺义区-首都机场-南竺园,89.71,3室1厅,南/北,,3800,42.4,,,https://bj.lianjia.com/zufang/BJ2158427349681438720.html,2026-05-02 20:59:27,40.048496,116.584718
shoudoujichang1,整租·南平里 2室1厅 南/北,整租,南平里,朝阳区-首都机场-南平里,53.58,2室1厅,南/北,,2800,52.3,,,https://bj.lianjia.com/zufang/BJ1993691325358145536.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·蓝海苑 4室1厅 复式 南/北,整租,蓝海苑,顺义区-首都机场-蓝海苑,160.67,4室1厅,,,7500,46.7,,,https://bj.lianjia.com/zufang/BJ2142854959928967168.html,2026-05-02 20:59:27,40.040282,116.589739
shoudoujichang1,整租·南平里 2室1厅 南/北,整租,南平里,朝阳区-首都机场-南平里,58.16,2室1厅,南/北,,2800,48.1,,,https://bj.lianjia.com/zufang/BJ2151884548470734848.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·燕翔东里 2室1厅 南/北,整租,燕翔东里,朝阳区-首都机场-燕翔东里,60.00,2室1厅,南/北,,2600,43.3,,,https://bj.lianjia.com/zufang/BJ2030259486014308352.html,2026-05-02 20:59:27,40.046871,116.589104
shoudoujichang1,整租·燕翔西里 2室1厅 南/北,整租,燕翔西里,朝阳区-首都机场-燕翔西里,70.00,2室1厅,南/北,,2900,41.4,,,https://bj.lianjia.com/zufang/BJ2151594871410917376.html,2026-05-02 20:59:27,40.046871,116.589104
shoudoujichang1,整租·天竺新村 3室1厅 南/北,整租,天竺新村,顺义区-首都机场-天竺新村,100.00,3室1厅,南/北,,3400,34.0,,,https://bj.lianjia.com/zufang/BJ2141462837862596608.html,2026-05-02 20:59:27,40.060542,116.56589
shoudoujichang1,整租·机场南路东里 2室1厅 南/北,整租,机场南路东里,朝阳区-首都机场-机场南路东里,58.79,2室1厅,南/北,,3300,56.1,,,https://bj.lianjia.com/zufang/BJ2157456072615395328.html,2026-05-02 20:59:27,40.046668,116.589061
shoudoujichang1,整租·西平里 3室2厅 复式 南/北,整租,西平里,朝阳区-首都机场-西平里,108.89,3室2厅,,,3600,33.1,,,https://bj.lianjia.com/zufang/BJ2126550834744393728.html,2026-05-02 20:59:27,40.044397,116.586145
shoudoujichang1,整租·西平里 2室1厅 南,整租,西平里,朝阳区-首都机场-西平里,72.55,2室1厅,南,,3560,49.1,,,https://bj.lianjia.com/zufang/BJ1767461734450200576.html,2026-05-02 20:59:27,40.044397,116.586145
shoudoujichang1,整租·西平街一里 2室1厅 南/北,整租,西平街一里,顺义区-首都机场-西平街一里,58.73,2室1厅,南/北,,2940,50.1,,,https://bj.lianjia.com/zufang/BJ2021225371994685440.html,2026-05-02 20:59:27,40.046336,116.585098
shoudoujichang1,整租·南平里 1室1厅 南,整租,南平里,朝阳区-首都机场-南平里,41.76,1室1厅,南,,2800,67.0,,,https://bj.lianjia.com/zufang/BJ2146259350732144640.html,2026-05-02 20:59:27,40.044636,116.589045
shoudoujichang1,整租·南平里 2室1厅 南,整租,南平里,朝阳区-首都机场-南平里,57.33,2室1厅,南,,3790,66.1,,,https://bj.lianjia.com/zufang/BJ1950216520017641472.html,2026-05-02 20:59:27,40.044636,116.589045
