region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
shuangjing,整租·首城国际C区 3室2厅 东/南/北,整租,首城国际C区,朝阳区-双井-首城国际,174.00,3室2厅,东/南/北,,16500,94.8,,,https://bj.lianjia.com/zufang/BJ2156687422870519808.html,2026-05-02 21:00:25,,
shuangjing,整租·时代国际嘉园 2室1厅 南/北,整租,时代国际嘉园,朝阳区-双井-时代国际嘉园,91.29,2室1厅,南/北,,9200,100.8,,,https://bj.lianjia.com/zufang/BJ2140774058147446784.html,2026-05-02 21:02:29,,
shuangjing,整租·首城国际D区 2室1厅 南,整租,首城国际D区,朝阳区-双井-首城国际,88.00,2室1厅,南,,8300,94.3,,,https://bj.lianjia.com/zufang/BJ2142503988732362752.html,2026-05-02 20:59:32,,
shuangjing,整租·富力城D区 3室2厅 南/北,整租,富力城D区,朝阳区-双井-富力城,173.14,3室2厅,南/北,,18500,106.8,,,https://bj.lianjia.com/zufang/BJ2157019019004084224.html,2026-05-02 21:00:25,,
shuangjing,整租·苹果社区北区 1室0厅 北,整租,苹果社区北区,朝阳区-双井-苹果社区北区,59.16,1室0厅,北,,5300,89.6,,,https://bj.lianjia.com/zufang/BJ1896430044729835520.html,2026-05-02 21:01:33,,
shuangjing,整租·双花园西里 2室1厅 西,整租,双花园西里,朝阳区-双井-双花园西里,102.05,2室1厅,西,,7460,73.1,,,https://bj.lianjia.com/zufang/BJ1861094432586072064.html,2026-05-02 20:59:32,,
shuangjing,整租·苹果社区南区 3室1厅 东南,整租,苹果社区南区,朝阳区-双井-苹果社区南区,105.00,3室1厅,东南,,9500,90.5,,,https://bj.lianjia.com/zufang/BJ2159215831710433280.html,2026-05-02 20:59:32,,
shuangjing,整租·富力城A区 3室2厅 东南,整租,富力城A区,朝阳区-双井-富力城,136.68,3室2厅,东南,,14500,106.1,,,https://bj.lianjia.com/zufang/BJ2142957527044718592.html,2026-05-02 20:59:32,,
shuangjing,整租·苹果社区南区 2室1厅 南,整租,苹果社区南区,朝阳区-双井-苹果社区南区,108.46,2室1厅,南,,9800,90.4,,,https://bj.lianjia.com/zufang/BJ2150193461716844544.html,2026-05-02 20:59:32,,
shuangjing,整租·百环家园 2室1厅 东北,整租,百环家园,朝阳区-双井-百环家园,111.71,2室1厅,东北,,7500,67.1,,,https://bj.lianjia.com/zufang/BJ2148306924318228480.html,2026-05-02 21:00:16,,
shuangjing,整租·富力十号 5室2厅 南/北,整租,富力十号,朝阳区-双井-富力十号,444.83,5室2厅,南/北,,180000,404.6,,,https://bj.lianjia.com/zufang/BJ2117568141138591744.html,2026-05-02 20:59:32,,
