region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
songjiangdaxuecheng,整租·御上海青橙 1室1厅 南,整租,御上海青橙,松江-松江大学城-御上海青橙,54.94,1室1厅,南,,2730,49.7,,,https://sh.lianjia.com/zufang/SH1966117374390173696.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·三迪曼哈顿 2室1厅 南,整租,三迪曼哈顿,松江-松江大学城-三迪曼哈顿,64.55,2室1厅,南,,3200,49.6,,,https://sh.lianjia.com/zufang/SH2145419764988641280.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·文翔名苑(公寓) 2室2厅 南,整租,文翔名苑(公寓),松江-松江大学城-文翔名苑(公寓),88.19,2室2厅,南,,3500,39.7,,,https://sh.lianjia.com/zufang/SH1885290639696855040.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,独栋·冠寓 上海谷阳北路二店 两室一厅LOFT+近9号线+两个储物室+长租优惠 2室1厅,独栋,冠寓 上海谷阳北路二店,,90.00,2室1厅,,,3218-3728,,,,https://sh.lianjia.com/apartment/18547.html,2026-04-23 17:21:25,,
songjiangdaxuecheng,整租·万达广场(松江) 1室1厅 南,整租,万达广场(松江),松江-松江大学城-万达广场(松江),53.00,1室1厅,南,,2650,50.0,,,https://sh.lianjia.com/zufang/SH1897191923886587904.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,独栋·屿果公寓 松江大学城 屿果公寓光星华府一室一厅 1室1厅,独栋,屿果公寓 松江大学城,,45.00,1室1厅,,,2780-2840,,,,https://sh.lianjia.com/apartment/61754.html,2026-04-23 17:21:23,,
songjiangdaxuecheng,整租·万达广场(松江) 1室1厅 北,整租,万达广场(松江),松江-松江大学城-万达广场(松江),42.00,1室1厅,北,,2400,57.1,,,https://sh.lianjia.com/zufang/SH2012476414011375616.html,2026-04-23 17:22:47,,
songjiangdaxuecheng,整租·首创锦悦 3室2厅 南/北,整租,首创锦悦,松江-松江大学城-首创锦悦,92.42,3室2厅,南/北,,4600,49.8,,,https://sh.lianjia.com/zufang/SH2141785813917106176.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·御上海青橙 1室1厅 南,整租,御上海青橙,松江-松江大学城-御上海青橙,55.00,1室1厅,南,,3000,54.5,,,https://sh.lianjia.com/zufang/SH2020419078115557376.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,独栋·屿果公寓 松江大学城2期 光星华府轻奢一室一厅一厨一卫 1室1厅,独栋,屿果公寓 松江大学城2期,,40.00,1室1厅,,,2670,66.8,,,https://sh.lianjia.com/apartment/61709.html,2026-04-23 17:21:23,,
songjiangdaxuecheng,整租·新城家园 2室1厅 南,整租,新城家园,松江-松江大学城-新城家园,79.00,2室1厅,南,,2940,37.2,,,https://sh.lianjia.com/zufang/SH2021788091890532352.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,独栋·城璟租住 中山社区店 大学城国补人才公寓保租房提公积金独卫带阳台 开间,独栋,城璟租住 中山社区店,,40.00,,,,2800,70.0,,,https://sh.lianjia.com/apartment/82783.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·三湘四季财富广场 1室2厅 南,整租,三湘四季财富广场,松江-松江大学城-三湘四季财富广场,56.00,1室2厅,南,,3308,59.1,,,https://sh.lianjia.com/zufang/SH2024873552636805120.html,2026-04-23 17:23:13,,
songjiangdaxuecheng,整租·三湘四季花城 3室2厅 南,整租,三湘四季花城,松江-松江大学城-三湘四季花城,106.00,3室2厅,南,,4800,45.3,,,https://sh.lianjia.com/zufang/SH1992604242749161472.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·龙湖新壹城 1室0厅 东,整租,龙湖新壹城,松江-松江大学城-龙湖新壹城,24.00,1室0厅,东,,1943,81.0,,,https://sh.lianjia.com/zufang/SH2010219329492090880.html,2026-04-23 17:22:47,,
songjiangdaxuecheng,整租·万科梦想派 3室1厅 南,整租,万科梦想派,松江-松江大学城-万科梦想派,86.00,3室1厅,南,,4800,55.8,,,https://sh.lianjia.com/zufang/SH2142951231750930432.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·保利西子湾 1室1厅 南,整租,保利西子湾,松江-松江大学城-保利西子湾,59.86,1室1厅,南,,3600,60.1,,,https://sh.lianjia.com/zufang/SH1885575992580243456.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·信达蓝爵 2室2厅 南/北,整租,信达蓝爵,松江-松江大学城-信达蓝爵,82.00,2室2厅,南/北,,4800,58.5,,,https://sh.lianjia.com/zufang/SH2145179970169733120.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·保利西子湾 2室2厅 南,整租,保利西子湾,松江-松江大学城-保利西子湾,90.00,2室2厅,南,,4515,50.2,,,https://sh.lianjia.com/zufang/SH1973409905813487616.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·三湘四季花城 1室1厅 南,整租,三湘四季花城,松江-松江大学城-三湘四季花城,60.00,1室1厅,南,,3570,59.5,,,https://sh.lianjia.com/zufang/SH2018997958082560000.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·保利西子湾 2室2厅 南,整租,保利西子湾,松江-松江大学城-保利西子湾,116.59,2室2厅,南,,4900,42.0,,,https://sh.lianjia.com/zufang/SH2145165825038876672.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·文翔名苑(公寓) 3室2厅 南,整租,文翔名苑(公寓),松江-松江大学城-文翔名苑(公寓),131.03,3室2厅,南,,5200,39.7,,,https://sh.lianjia.com/zufang/SH2145455580779642880.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·文翔名苑(公寓) 2室2厅 南/北,整租,文翔名苑(公寓),松江-松江大学城-文翔名苑(公寓),90.00,2室2厅,南/北,,3800,42.2,,,https://sh.lianjia.com/zufang/SH2148399677777641472.html,2026-04-23 17:21:20,,
songjiangdaxuecheng,整租·绿地云峰名邸(公寓) 2室2厅 南,整租,绿地云峰名邸(公寓),松江-松江大学城-绿地云峰名邸(公寓),88.66,2室2厅,南,,4500,50.8,,,https://sh.lianjia.com/zufang/SH2149051675103461376.html,2026-04-23 17:21:25,,
songjiangdaxuecheng,独栋·甜的公寓 松江店 勿打电话！3个月起租，阳光开间F，无中介费，年租有优惠，紧邻万达广场，五龙商业广场 1室1厅,独栋,甜的公寓 松江店,,15.00,1室1厅,,,1600,106.7,,,https://sh.lianjia.com/apartment/87747.html,2026-04-23 17:21:23,,
songjiangdaxuecheng,整租·绿地蔷薇九里(公寓) 3室2厅 南/西,整租,绿地蔷薇九里(公寓),松江-松江大学城-绿地蔷薇九里(公寓),112.00,3室2厅,南/西,,5670,50.6,,,https://sh.lianjia.com/zufang/SH2014347477372633088.html,2026-04-23 17:22:47,,
songjiangdaxuecheng,整租·万达广场(松江) 1室0厅 北,整租,万达广场(松江),松江-松江大学城-万达广场(松江),41.91,1室0厅,北,,2300,54.9,,,https://sh.lianjia.com/zufang/SH2145935821289553920.html,2026-04-23 17:21:23,,
songjiangdaxuecheng,整租·中展瑞景 2室2厅 南,整租,中展瑞景,松江-松江大学城-中展瑞景,56.00,2室2厅,南,,3100,55.4,,,https://sh.lianjia.com/zufang/SH2018674197445738496.html,2026-04-23 17:21:23,,
songjiangdaxuecheng,整租·万达广场(松江) 1室0厅 北,整租,万达广场(松江),松江-松江大学城-万达广场(松江),41.89,1室0厅,北,,2205,52.6,,,https://sh.lianjia.com/zufang/SH2010329992210153472.html,2026-04-23 17:22:47,,
songjiangdaxuecheng,整租·万达广场(松江) 1室1厅 南/北,整租,万达广场(松江),松江-松江大学城-万达广场(松江),41.91,1室1厅,南/北,,2730,65.1,,,https://sh.lianjia.com/zufang/SH1757058158351613952.html,2026-04-23 17:23:13,,
songjiangdaxuecheng,整租·御上海 1室2厅 南/北,整租,御上海,松江-松江大学城-御上海,65.00,1室2厅,南/北,,4200,64.6,,,https://sh.lianjia.com/zufang/SH2146091696599859200.html,2026-04-23 17:21:23,,
songjiangdaxuecheng,整租·龙湖新壹城 1室0厅 西,整租,龙湖新壹城,松江-松江大学城-龙湖新壹城,23.30,1室0厅,西,,1995,85.6,,,https://sh.lianjia.com/zufang/SH1871203061410562048.html,2026-04-23 17:22:47,,
songjiangdaxuecheng,整租·西外公馆金街 1室1厅 西北,整租,西外公馆金街,松江-松江大学城-西外公馆金街,60.00,1室1厅,西北,,2550,42.5,,,https://sh.lianjia.com/zufang/SH2019696988072706048.html,2026-04-23 17:21:23,,
