region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
taipingqiao1,整租·糖人街 2室1厅 东南,整租,糖人街,丰台区-太平桥-糖人街,76.86,2室1厅,东南,,5900,76.8,,,https://bj.lianjia.com/zufang/BJ2117235178026827776.html,2026-05-02 22:15:25,,
taipingqiao1,整租·太平桥西里 1室1厅 西,整租,太平桥西里,丰台区-太平桥-太平桥西里,47.35,1室1厅,西,,4500,95.0,,,https://bj.lianjia.com/zufang/BJ2153880426106585088.html,2026-05-02 22:15:25,,
taipingqiao1,整租·太平桥东里 1室1厅 南,整租,太平桥东里,丰台区-太平桥-太平桥东里,40.94,1室1厅,南,,4600,112.4,,,https://bj.lianjia.com/zufang/BJ2158457215726387200.html,2026-05-02 22:15:25,,
taipingqiao1,整租·威尔夏大道 1室1厅 北,整租,威尔夏大道,丰台区-太平桥-威尔夏大道,32.75,1室1厅,北,,3800,116.0,,,https://bj.lianjia.com/zufang/BJ2139365832512241664.html,2026-05-02 22:15:25,,
taipingqiao1,整租·首科花园 2室1厅 西,整租,首科花园,丰台区-太平桥-首科花园,88.04,2室1厅,西,,6300,71.6,,,https://bj.lianjia.com/zufang/BJ2027694764844908544.html,2026-05-02 22:15:25,,
taipingqiao1,独栋·云逸青年社区（北京） 太平桥西里店 九号线 直租 0中介 随时带看 丽泽商务区 万达广场 1室1厅,独栋,云逸青年社区（北京） 太平桥西里店 九号线 直租 0中介 随时带看 丽泽商务区 万达广场,,12.00,1室1厅,,,3100,258.3,,,https://bj.lianjia.com/apartment/105294.html,2026-05-02 22:15:31,,
taipingqiao1,整租·太平桥东里 2室1厅 南/北,整租,太平桥东里,丰台区-太平桥-太平桥东里,58.00,2室1厅,南/北,,5700,98.3,,,https://bj.lianjia.com/zufang/BJ2157747786957717504.html,2026-05-02 22:15:25,,
taipingqiao1,整租·华源新第 3室2厅 南/西,整租,华源新第,丰台区-太平桥-华源新第,123.00,3室2厅,南/西,,9300,75.6,,,https://bj.lianjia.com/zufang/BJ2147242197756411904.html,2026-05-02 22:15:25,,
taipingqiao1,整租·威尔夏大道 2室1厅 南,整租,威尔夏大道,丰台区-太平桥-威尔夏大道,128.00,2室1厅,南,,8500,66.4,,,https://bj.lianjia.com/zufang/BJ1890795563461378048.html,2026-05-02 22:15:25,,
taipingqiao1,整租·太平桥东里 3室1厅 南/北,整租,太平桥东里,丰台区-太平桥-太平桥东里,68.70,3室1厅,南/北,,6100,88.8,,,https://bj.lianjia.com/zufang/BJ2149741008726786048.html,2026-05-02 22:15:25,,
taipingqiao1,整租·威尔夏大道 1室0厅 西北,整租,威尔夏大道,丰台区-太平桥-威尔夏大道,33.64,1室0厅,西北,,3600,107.0,,,https://bj.lianjia.com/zufang/BJ2140384062492114944.html,2026-05-02 22:15:25,,
taipingqiao1,整租·太平桥西里 3室1厅 西南,整租,太平桥西里,丰台区-太平桥-太平桥西里,70.00,3室1厅,西南,,6900,98.6,,,https://bj.lianjia.com/zufang/BJ2002965068156764160.html,2026-05-02 22:15:25,,
