region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
taoranting1,整租·中海紫御公馆 2室1厅 西北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,63.89,2室1厅,西北,,7200,112.7,,,https://bj.lianjia.com/zufang/BJ2139379974954549248.html,2026-05-02 20:10:50,,
taoranting1,整租·畅柳园 2室1厅 南/北,整租,畅柳园,西城区-陶然亭-畅柳园,65.79,2室1厅,南/北,,6600,100.3,,,https://bj.lianjia.com/zufang/BJ2148251029009858560.html,2026-05-02 20:11:40,,
taoranting1,整租·中海紫御公馆 4室2厅 南/北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,207.38,4室2厅,南/北,,26500,127.8,,,https://bj.lianjia.com/zufang/BJ2131694507735908352.html,2026-05-02 20:10:50,,
taoranting1,整租·永内西街北里 3室1厅 南/北,整租,永内西街北里,西城区-陶然亭-永内西街北里,56.90,3室1厅,南/北,,6800,119.5,,,https://bj.lianjia.com/zufang/BJ2151929978894155776.html,2026-05-02 20:10:50,,
taoranting1,整租·红土店南里 2室0厅 南,整租,红土店南里,西城区-陶然亭-红土店南里,67.32,2室0厅,南,,6200,92.1,,,https://bj.lianjia.com/zufang/BJ2151694604942966784.html,2026-05-02 20:11:40,,
taoranting1,整租·中信锦园 2室1厅 南,整租,中信锦园,西城区-陶然亭-中信锦园,89.15,2室1厅,南,,12330,138.3,,,https://bj.lianjia.com/zufang/BJ2094101817007800320.html,2026-05-02 20:10:50,,
taoranting1,整租·一瓶 5室2厅 东/南/西/北,整租,一瓶,西城区-陶然亭-一瓶,216.99,5室2厅,东/南/西/北,,35000,161.3,,,https://bj.lianjia.com/zufang/BJ2125516679290028032.html,2026-05-02 20:10:50,,
taoranting1,整租·天桥北里 2室1厅 西,整租,天桥北里,西城区-陶然亭-天桥北里,60.48,2室1厅,西,,7200,119.0,,,https://bj.lianjia.com/zufang/BJ2158566537290579968.html,2026-05-02 20:10:50,,
taoranting1,整租·天桥北里 2室2厅 东,整租,天桥北里,西城区-陶然亭-天桥北里,82.58,2室2厅,东,,5200,63.0,,,https://bj.lianjia.com/zufang/BJ2154136131795419136.html,2026-05-02 20:12:02,,
taoranting1,整租·中海紫御公馆 4室2厅 南/北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,207.40,4室2厅,南/北,,23500,113.3,,,https://bj.lianjia.com/zufang/BJ2139005423594766336.html,2026-05-02 20:10:50,,
taoranting1,整租·中海紫御公馆 2室1厅 西北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,61.03,2室1厅,西北,,7200,118.0,,,https://bj.lianjia.com/zufang/BJ2119293166749220864.html,2026-05-02 20:10:50,,
taoranting1,整租·虎坊路小区 2室0厅 南/北,整租,虎坊路小区,西城区-陶然亭-虎坊路小区,47.44,2室0厅,南/北,,4800,101.2,,,https://bj.lianjia.com/zufang/BJ2017468351328026624.html,2026-05-02 20:10:50,,
taoranting1,整租·盛景嘉园 3室2厅 东/西,整租,盛景嘉园,西城区-陶然亭-盛景嘉园,119.60,3室2厅,东/西,,15000,125.4,,,https://bj.lianjia.com/zufang/BJ2140803838787977216.html,2026-05-02 20:10:50,,
taoranting1,整租·一瓶 1房间 南,整租,一瓶 1房间 南,西城区-陶然亭-一瓶,59.67,,,,5300,88.8,,,https://bj.lianjia.com/zufang/BJ2127981348827168768.html,2026-05-02 20:10:50,,
taoranting1,整租·南纬路南巷9号院 3室1厅 南/北,整租,南纬路南巷9号院,西城区-陶然亭-南纬路南巷,75.93,3室1厅,南/北,,7000,92.2,,,https://bj.lianjia.com/zufang/BJ2145721386918739968.html,2026-05-02 20:11:40,,
taoranting1,整租·四平园 2室1厅 南,整租,四平园,西城区-陶然亭-四平园,59.78,2室1厅,南,,7160,119.8,,,https://bj.lianjia.com/zufang/BJ1796424026541785088.html,2026-05-02 20:10:50,,
taoranting1,整租·中海紫御公馆 1室2厅 东北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,60.57,1室2厅,东北,,7500,123.8,,,https://bj.lianjia.com/zufang/BJ2142922866042077184.html,2026-05-02 20:10:50,,
taoranting1,整租·一瓶 2房间 南,整租,一瓶 2房间 南,西城区-陶然亭-一瓶,57.53,,,,5600,97.3,,,https://bj.lianjia.com/zufang/BJ2157144470888382464.html,2026-05-02 20:10:50,,
taoranting1,整租·华仁路小区 2室1厅 东,整租,华仁路小区,西城区-陶然亭-华仁路小区,52.75,2室1厅,东,,5200,98.6,,,https://bj.lianjia.com/zufang/BJ2147269686637625344.html,2026-05-02 20:11:40,,
taoranting1,整租·中海紫御公馆 2室1厅 东北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,63.71,2室1厅,东北,,7300,114.6,,,https://bj.lianjia.com/zufang/BJ2120453919141265408.html,2026-05-02 20:10:50,,
taoranting1,整租·中海紫御公馆 2室1厅 东北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,61.66,2室1厅,东北,,7200,116.8,,,https://bj.lianjia.com/zufang/BJ2146107784549105664.html,2026-05-02 20:10:50,,
taoranting1,整租·畅柳园 2室1厅 东,整租,畅柳园,西城区-陶然亭-畅柳园,64.77,2室1厅,东,,6000,92.6,,,https://bj.lianjia.com/zufang/BJ2158074588288778240.html,2026-05-02 20:12:02,,
taoranting1,整租·中海紫御公馆 4室2厅 南/北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,207.00,4室2厅,南/北,,25000,120.8,,,https://bj.lianjia.com/zufang/BJ2150839106022670336.html,2026-05-02 20:11:13,,
taoranting1,整租·龙爪槐胡同 2室1厅 南/西/北,整租,龙爪槐胡同,西城区-陶然亭-龙爪槐胡同,67.00,2室1厅,南/西/北,,7100,106.0,,,https://bj.lianjia.com/zufang/BJ2116900453802311680.html,2026-05-02 20:10:50,,
taoranting1,整租·畅柳园 2室1厅 南/北,整租,畅柳园,西城区-陶然亭-畅柳园,76.74,2室1厅,南/北,,7500,97.7,,,https://bj.lianjia.com/zufang/BJ2083578584022122496.html,2026-05-02 20:12:02,,
taoranting1,整租·中海紫御公馆 2室1厅 东北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,63.89,2室1厅,东北,,7800,122.1,,,https://bj.lianjia.com/zufang/BJ2151560217941245952.html,2026-05-02 20:10:50,,
taoranting1,整租·黑窑厂东街 2室1厅 南,整租,黑窑厂东街,西城区-陶然亭-黑窑厂东街,49.77,2室1厅,南,,5830,117.1,,,https://bj.lianjia.com/zufang/BJ1940343875985997824.html,2026-05-02 20:10:50,,
taoranting1,整租·四平园 1室1厅 南,整租,四平园,西城区-陶然亭-四平园,48.04,1室1厅,南,,4500,93.7,,,https://bj.lianjia.com/zufang/BJ2017207002777780224.html,2026-05-02 20:10:50,,
taoranting1,整租·高家寨 1室1厅 东/西/北,整租,高家寨,西城区-陶然亭-高家寨,42.50,1室1厅,东/西/北,,5300,124.7,,,https://bj.lianjia.com/zufang/BJ2152386593296482304.html,2026-05-02 20:11:13,,
taoranting1,整租·畅柳园 1室1厅 南,整租,畅柳园,西城区-陶然亭-畅柳园,52.30,1室1厅,南,,5960,114.0,,,https://bj.lianjia.com/zufang/BJ2147108635929477120.html,2026-05-02 20:10:50,,
taoranting1,整租·畅柳园 1室1厅 西,整租,畅柳园,西城区-陶然亭-畅柳园,53.00,1室1厅,西,,5565,105.0,,,https://bj.lianjia.com/zufang/BJ1923033880294588416.html,2026-05-02 20:11:40,,
taoranting1,整租·中海紫御公馆 2室1厅 东北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,60.88,2室1厅,东北,,7500,123.2,,,https://bj.lianjia.com/zufang/BJ2146229835876270080.html,2026-05-02 20:11:13,,
taoranting1,整租·四平园 2室1厅 南/北,整租,四平园,西城区-陶然亭-四平园,58.09,2室1厅,南/北,,6800,117.1,,,https://bj.lianjia.com/zufang/BJ2150960680545550336.html,2026-05-02 20:11:40,,
taoranting1,整租·黑窑厂东街 1室1厅 南,整租,黑窑厂东街,西城区-陶然亭-黑窑厂东街,41.18,1室1厅,南,,5630,136.7,,,https://bj.lianjia.com/zufang/BJ1819277284423499776.html,2026-05-02 20:11:13,,
taoranting1,整租·耕天下 4室3厅 南/北,整租,耕天下,西城区-陶然亭-耕天下,286.96,4室3厅,南/北,,36000,125.5,,,https://bj.lianjia.com/zufang/BJ2145073550078246912.html,2026-05-02 20:11:13,,
taoranting1,整租·黑窑厂西里 3室1厅 东南/北,整租,黑窑厂西里,西城区-陶然亭-黑窑厂西里,61.03,3室1厅,东南/北,,9000,147.5,,,https://bj.lianjia.com/zufang/BJ2151995283662176256.html,2026-05-02 20:11:37,,
taoranting1,整租·先农坛街甲17号院 2室1厅 南/北,整租,先农坛街甲17号院,西城区-陶然亭-先农坛街甲,58.99,2室1厅,南/北,,5600,94.9,,,https://bj.lianjia.com/zufang/BJ2151219354597851136.html,2026-05-02 20:11:40,,
taoranting1,整租·南纬路2号院 2室1厅 南,整租,南纬路2号院,西城区-陶然亭-南纬路,62.30,2室1厅,南,,6900,110.8,,,https://bj.lianjia.com/zufang/BJ2141574208457539584.html,2026-05-02 20:11:13,,
taoranting1,整租·永安路小区 2室1厅 南/北,整租,永安路小区,西城区-陶然亭-永安路小区,68.80,2室1厅,南/北,,6200,90.1,,,https://bj.lianjia.com/zufang/BJ2108481703742799872.html,2026-05-02 20:11:33,,
taoranting1,整租·南纬路2号院 2室1厅 南/北,整租,南纬路2号院,西城区-陶然亭-南纬路,57.20,2室1厅,南/北,,6000,104.9,,,https://bj.lianjia.com/zufang/BJ2152354125126303744.html,2026-05-02 20:11:40,,
taoranting1,整租·禄长街头条 1室1厅 南,整租,禄长街头条,西城区-陶然亭-禄长街头条,41.86,1室1厅,南,,4700,112.3,,,https://bj.lianjia.com/zufang/BJ2159324852274593792.html,2026-05-02 20:11:37,,
taoranting1,整租·中信锦园 2室1厅 东/西,整租,中信锦园,西城区-陶然亭-中信锦园,98.40,2室1厅,东/西,,14500,147.4,,,https://bj.lianjia.com/zufang/BJ2150439961323634688.html,2026-05-02 20:11:13,,
taoranting1,整租·天桥北里 1室1厅 西南,整租,天桥北里,西城区-陶然亭-天桥北里,59.89,1室1厅,西南,,5300,88.5,,,https://bj.lianjia.com/zufang/BJ2152679716413243392.html,2026-05-02 20:12:02,,
taoranting1,整租·陶然北岸 2室1厅 南,整租,陶然北岸,西城区-陶然亭-陶然北岸,114.00,2室1厅,南,,14230,124.8,,,https://bj.lianjia.com/zufang/BJ1941188431287681024.html,2026-05-02 20:11:13,,
taoranting1,整租·禄长街头条19号院 2室1厅 南/北,整租,禄长街头条19号院,西城区-陶然亭-禄长街头条,59.57,2室1厅,南/北,,5900,99.0,,,https://bj.lianjia.com/zufang/BJ2139647981341638656.html,2026-05-02 20:11:13,,
taoranting1,整租·四平园 1室1厅 南/北,整租,四平园,西城区-陶然亭-四平园,48.26,1室1厅,南/北,,5500,114.0,,,https://bj.lianjia.com/zufang/BJ2158581434812465152.html,2026-05-02 20:11:37,,
taoranting1,整租·中信锦园 1室1厅 南/西,整租,中信锦园,西城区-陶然亭-中信锦园,64.95,1室1厅,南/西,,8450,130.1,,,https://bj.lianjia.com/zufang/BJ2155999432242364416.html,2026-05-02 20:12:02,,
taoranting1,整租·东经路98号 2室2厅 南/北,整租,东经路98号,西城区-陶然亭-东经路,98.25,2室2厅,南/北,,9000,91.6,,,https://bj.lianjia.com/zufang/BJ2150904708544331776.html,2026-05-02 20:11:13,,
taoranting1,整租·禄长街头条19号院 2室1厅 南/北,整租,禄长街头条19号院,西城区-陶然亭-禄长街头条,59.57,2室1厅,南/北,,5200,87.3,,,https://bj.lianjia.com/zufang/BJ2130543533285703680.html,2026-05-02 20:11:13,,
taoranting1,整租·禄长街头条 2室1厅 南/北,整租,禄长街头条,西城区-陶然亭-禄长街头条,58.28,2室1厅,南/北,,5200,89.2,,,https://bj.lianjia.com/zufang/BJ2008493325098680320.html,2026-05-02 20:12:02,,
taoranting1,整租·禄长街头条19号院 3室1厅 南/北,整租,禄长街头条19号院,西城区-陶然亭-禄长街头条,78.75,3室1厅,南/北,,8300,105.4,,,https://bj.lianjia.com/zufang/BJ2145346501277122560.html,2026-05-02 20:11:37,,
taoranting1,整租·南纬路 3室1厅 南/北,整租,南纬路,西城区-陶然亭-南纬路,72.45,3室1厅,南/北,,8300,114.6,,,https://bj.lianjia.com/zufang/BJ2157724704608092160.html,2026-05-02 20:11:13,,
taoranting1,整租·天桥北里 1室1厅 东,整租,天桥北里,西城区-陶然亭-天桥北里,53.97,1室1厅,东,,5400,100.1,,,https://bj.lianjia.com/zufang/BJ2144409743144255488.html,2026-05-02 20:11:13,,
taoranting1,整租·畅柳园 2室1厅 南/北,整租,畅柳园,西城区-陶然亭-畅柳园,67.09,2室1厅,南/北,,6300,93.9,,,https://bj.lianjia.com/zufang/BJ2158514832762994688.html,2026-05-02 20:11:37,,
taoranting1,整租·黑窑厂西里 1室1厅 南,整租,黑窑厂西里,西城区-陶然亭-黑窑厂西里,35.67,1室1厅,南,,6160,172.7,,,https://bj.lianjia.com/zufang/BJ2155972326573735936.html,2026-05-02 20:11:13,,
taoranting1,整租·黑窑厂西里 2室1厅 东/南/西,整租,黑窑厂西里,西城区-陶然亭-黑窑厂西里,53.81,2室1厅,东/南/西,,6600,122.7,,,https://bj.lianjia.com/zufang/BJ2145488095259131904.html,2026-05-02 20:11:13,,
taoranting1,整租·天桥北里 1室1厅 东,整租,天桥北里,西城区-陶然亭-天桥北里,55.13,1室1厅,东,,6200,112.5,,,https://bj.lianjia.com/zufang/BJ2156249327608004608.html,2026-05-02 20:11:13,,
taoranting1,整租·姚家井二巷 1室1厅 南,整租,姚家井二巷,西城区-陶然亭-姚家井二巷,54.99,1室1厅,南,,5990,108.9,,,https://bj.lianjia.com/zufang/BJ1832005491534856192.html,2026-05-02 20:11:13,,
taoranting1,整租·朱雀门 4室2厅 南/北,整租,朱雀门,西城区-陶然亭-朱雀门,183.90,4室2厅,南/北,,25800,140.3,,,https://bj.lianjia.com/zufang/BJ2033752834977038336.html,2026-05-02 20:11:19,,
taoranting1,整租·天桥北里 1室1厅 西,整租,天桥北里,西城区-陶然亭-天桥北里,54.91,1室1厅,西,,5300,96.5,,,https://bj.lianjia.com/zufang/BJ1721472274134990848.html,2026-05-02 20:11:37,,
taoranting1,整租·中信禧园 2室1厅 东,整租,中信禧园,西城区-陶然亭-中信禧园,88.61,2室1厅,东,,13800,155.7,,,https://bj.lianjia.com/zufang/BJ2143181962464985088.html,2026-05-02 20:11:19,,
taoranting1,整租·高家寨 1室1厅 南,整租,高家寨,西城区-陶然亭-高家寨,41.47,1室1厅,南,,5500,132.6,,,https://bj.lianjia.com/zufang/BJ2133098821641568256.html,2026-05-02 20:11:19,,
taoranting1,整租·天桥北里 2室1厅 东南,整租,天桥北里,西城区-陶然亭-天桥北里,74.88,2室1厅,东南,,7600,101.5,,,https://bj.lianjia.com/zufang/BJ2010579309986578432.html,2026-05-02 20:12:02,,
taoranting1,整租·黑窑厂西里 1室1厅 南,整租,黑窑厂西里,西城区-陶然亭-黑窑厂西里,33.42,1室1厅,南,,5519,165.1,,,https://bj.lianjia.com/zufang/BJ2048474114032664576.html,2026-05-02 20:11:19,,
taoranting1,整租·中海紫御公馆 2室1厅 东北,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,61.00,2室1厅,东北,,7500,123.0,,,https://bj.lianjia.com/zufang/BJ2155151171151462400.html,2026-05-02 20:11:19,,
taoranting1,整租·天桥北里 3室1厅 南/北,整租,天桥北里,西城区-陶然亭-天桥北里,100.57,3室1厅,南/北,,10500,104.4,,,https://bj.lianjia.com/zufang/BJ2146862184544600064.html,2026-05-02 20:11:33,,
taoranting1,整租·南纬路 3室1厅 南/北,整租,南纬路,西城区-陶然亭-南纬路,66.66,3室1厅,南/北,,6800,102.0,,,https://bj.lianjia.com/zufang/BJ1909259995560542208.html,2026-05-02 20:11:19,,
taoranting1,整租·畅柳园 1室1厅 东,整租,畅柳园,西城区-陶然亭-畅柳园,55.00,1室1厅,东,,5700,103.6,,,https://bj.lianjia.com/zufang/BJ2121911217705451520.html,2026-05-02 20:11:33,,
taoranting1,整租·中海紫御公馆 2室2厅 南,整租,中海紫御公馆,东城区-陶然亭-中海紫御公馆,91.00,2室2厅,南,,11800,129.7,,,https://bj.lianjia.com/zufang/BJ2158803383136288768.html,2026-05-02 20:11:19,,
taoranting1,整租·中信禧园 2室1厅 东,整租,中信禧园,西城区-陶然亭-中信禧园,87.53,2室1厅,东,,14500,165.7,,,https://bj.lianjia.com/zufang/BJ1830170996141719552.html,2026-05-02 20:11:40,,
taoranting1,整租·姚家井二巷 1室1厅 南,整租,姚家井二巷,西城区-陶然亭-姚家井二巷,37.14,1室1厅,南,,4500,121.2,,,https://bj.lianjia.com/zufang/BJ2160630277745934336.html,2026-05-02 20:11:33,,
