region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
田村,整租·椿楸嘉园 2室1厅 南,整租,椿楸嘉园,海淀区-田村-椿楸嘉园,89.59,2室1厅,南,,6800,75.9,,,https://bj.lianjia.com/zufang/BJ2159580516515315712.html,2026-05-02 21:53:57,39.934926,116.246468
田村,整租·椿楸嘉园 1室1厅 南,整租,椿楸嘉园,海淀区-田村-椿楸嘉园,60.00,1室1厅,南,,5300,88.3,,,https://bj.lianjia.com/zufang/BJ2154431070945148928.html,2026-05-02 21:54:52,39.934926,116.246468
田村,整租·宝山馨苑北区 1室1厅 南,整租,宝山馨苑北区,海淀区-田村-宝山馨苑北区,63.00,1室1厅,南,,4300,68.3,,,https://bj.lianjia.com/zufang/BJ2159622083502407680.html,2026-05-02 21:54:20,39.928325,116.246868
田村,整租·熙湖 3室2厅 东南/西北,整租,熙湖,海淀区-田村-熙湖,144.50,3室2厅,东南/西北,,9600,66.4,,,https://bj.lianjia.com/zufang/BJ2139339745824604160.html,2026-05-02 21:53:57,39.93075,116.234426
田村,整租·建西苑北里 1室1厅 东,整租,建西苑北里,海淀区-田村-建西苑北里,70.35,1室1厅,东,,4000,56.9,,,https://bj.lianjia.com/zufang/BJ2083148864218464256.html,2026-05-02 21:53:57,39.921396,116.201418
田村,合租·椿楸嘉园 4居室 北卧,合租,椿楸嘉园 4居室 北卧,海淀-田村-椿楸嘉园,15.00,,,,1960,130.7,,,https://bj.lianjia.com/zufang/BJ2149012743137525760.html,2026-05-02 21:53:57,39.935591,116.246559
田村,整租·幸福时光 1室1厅 东南,整租,幸福时光,海淀区-田村-幸福时光,59.99,1室1厅,东南,,5200,86.7,,,https://bj.lianjia.com/zufang/BJ2152013664142491648.html,2026-05-02 21:53:57,39.865999,116.651915
田村,整租·永达逸家 2室2厅 南/北,整租,永达逸家,海淀区-田村-永达逸家,101.98,2室2厅,南/北,,7800,76.5,,,https://bj.lianjia.com/zufang/BJ2151326702876229632.html,2026-05-02 21:53:57,39.927284,116.248871
田村,整租·田村40号院 1室1厅 南,整租,田村40号院,海淀区-田村-田村,41.70,1室1厅,南,,4000,95.9,,,https://bj.lianjia.com/zufang/BJ1890802049369505792.html,2026-05-02 21:54:52,39.929506,116.246098
田村,整租·宝山馨苑北区 1室1厅 南,整租,宝山馨苑北区,海淀区-田村-宝山馨苑北区,62.00,1室1厅,南,,4800,77.4,,,https://bj.lianjia.com/zufang/BJ2159506531781967872.html,2026-05-02 21:53:57,39.928325,116.246868
田村,整租·兰德华庭 3室2厅 南/北,整租,兰德华庭,海淀区-田村-兰德华庭,139.65,3室2厅,南/北,,12000,85.9,,,https://bj.lianjia.com/zufang/BJ2157738127202975744.html,2026-05-02 21:53:57,39.927026,116.244478
田村,整租·椿楸嘉园 1室1厅 南,整租,椿楸嘉园,海淀区-田村-椿楸嘉园,58.00,1室1厅,南,,4600,79.3,,,https://bj.lianjia.com/zufang/BJ2155892677176983552.html,2026-05-02 21:54:52,39.934926,116.246468
田村,整租·椿楸嘉园 2室1厅 南/北,整租,椿楸嘉园,海淀区-田村-椿楸嘉园,90.00,2室1厅,南/北,,6200,68.9,,,https://bj.lianjia.com/zufang/BJ2145774465705836544.html,2026-05-02 21:53:57,39.934926,116.246468
田村,整租·西山洋房 3室1厅 南/北,整租,西山洋房,海淀区-田村-西山洋房,89.00,3室1厅,南/北,,6500,73.0,,,https://bj.lianjia.com/zufang/BJ2156607195263795200.html,2026-05-02 21:53:57,39.928382,116.217479
田村,整租·建西苑中里 2室1厅 南/北,整租,建西苑中里,海淀区-田村-建西苑中里,67.32,2室1厅,南/北,,4000,59.4,,,https://bj.lianjia.com/zufang/BJ2150945791286444032.html,2026-05-02 21:54:52,39.919067,116.201092
田村,整租·金玉府 3室1厅 南,整租,金玉府,海淀区-田村-金玉府,137.93,3室1厅,南,,10820,78.4,,,https://bj.lianjia.com/zufang/BJ1832398815856951296.html,2026-05-02 21:53:57,39.921173,116.225893
田村,整租·田村40号院 2室1厅 南/北,整租,田村40号院,海淀区-田村-田村,77.00,2室1厅,南/北,,5600,72.7,,,https://bj.lianjia.com/zufang/BJ2145808332173082624.html,2026-05-02 21:53:57,39.929506,116.246098
田村,整租·雅世合金公寓 4室2厅 南/北,整租,雅世合金公寓,海淀区-田村-雅世合金公寓,176.03,4室2厅,南/北,,17000,96.6,,,https://bj.lianjia.com/zufang/BJ2128368695469146112.html,2026-05-02 21:53:57,39.926746,116.259748
田村,整租·建西苑南里 1室1厅 南,整租,建西苑南里,海淀区-田村-建西苑南里,57.95,1室1厅,南,,3500,60.4,,,https://bj.lianjia.com/zufang/BJ2154455743623856128.html,2026-05-02 21:54:22,39.916963,116.201757
田村,整租·幸福时光 2室1厅 南/北,整租,幸福时光,海淀区-田村-幸福时光,83.91,2室1厅,南/北,,6500,77.5,,,https://bj.lianjia.com/zufang/BJ2157859208458928128.html,2026-05-02 21:53:57,39.865999,116.651915
田村,整租·乐府江南 3室2厅 东/南,整租,乐府江南,海淀区-田村-乐府江南,142.91,3室2厅,东/南,,13000,91.0,,,https://bj.lianjia.com/zufang/BJ2149444317716938752.html,2026-05-02 21:54:00,39.926486,116.256718
田村,整租·建西苑北里 1室1厅 西北,整租,建西苑北里,海淀区-田村-建西苑北里,77.54,1室1厅,西北,,4200,54.2,,,https://bj.lianjia.com/zufang/BJ2151174362210762752.html,2026-05-02 21:54:22,39.921396,116.201418
田村,整租·香溪度 5室2厅 复式 东/南/北,整租,香溪度,海淀区-田村-香溪度,232.29,5室2厅,,,29000,124.8,,,https://bj.lianjia.com/zufang/BJ2126267962804404224.html,2026-05-02 21:53:57,39.931726,116.234188
田村,整租·丹青府 3室2厅 南,整租,丹青府,海淀区-田村-丹青府,128.00,3室2厅,南,,10500,82.0,,,https://bj.lianjia.com/zufang/BJ2151914632149729280.html,2026-05-02 21:53:57,39.928325,116.246868
田村,整租·宝山馨苑北区 2室1厅 南/北,整租,宝山馨苑北区,海淀区-田村-宝山馨苑北区,92.93,2室1厅,南/北,,5800,62.4,,,https://bj.lianjia.com/zufang/BJ2158571540508049408.html,2026-05-02 21:53:57,39.928325,116.246868
田村,整租·丹青府 3室2厅 南/北,整租,丹青府,海淀区-田村-丹青府,128.00,3室2厅,南/北,,9900,77.3,,,https://bj.lianjia.com/zufang/BJ2153345348104355840.html,2026-05-02 21:53:57,39.928325,116.246868
田村,独栋·欣悦青年社区 田村地铁站店 白领青年公寓 1室1厅,独栋,欣悦青年社区 田村地铁站店 白领青年公寓,,30.00,1室1厅,,,2800-4500,,,,https://bj.lianjia.com/apartment/63363.html,2026-05-02 21:54:06,39.849224,116.299272
田村,整租·西山洋房 2室1厅 南/北,整租,西山洋房,海淀区-田村-西山洋房,89.83,2室1厅,南/北,,7400,82.4,,,https://bj.lianjia.com/zufang/BJ2049429337505005568.html,2026-05-02 21:54:22,39.928382,116.217479
田村,整租·西山国际城 2房间 复式 南/北,整租,西山国际城 2房间 复式 南/北,海淀区-田村-西山国际城,36.50,,,,4500,123.3,,,https://bj.lianjia.com/zufang/BJ2150848669232922624.html,2026-05-02 21:54:00,39.926635,116.222271
