region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
万柳,整租·万柳书院 3室2厅 南/西/北,整租,万柳书院,海淀区-万柳-万柳书院,268.61,3室2厅,南/西/北,,110000,409.5,,,https://bj.lianjia.com/zufang/BJ2110588634229899264.html,2026-05-02 21:56:50,39.967586,116.295038
万柳,整租·碧水云天 2室2厅 东北,整租,碧水云天,海淀区-万柳-碧水云天,93.89,2室2厅,东北,,14000,149.1,,,https://bj.lianjia.com/zufang/BJ2149507990946840576.html,2026-05-02 21:56:50,39.9661,116.288752
万柳,整租·万城华府龙园 6室2厅 东/南/西/北,整租,万城华府龙园,海淀区-万柳-万城华府龙园,394.15,6室2厅,东/南/西/北,,110000,279.1,,,https://bj.lianjia.com/zufang/BJ2110602773857828864.html,2026-05-02 21:56:50,39.97164,116.283172
万柳,整租·碧水云天 5室3厅 复式 南/北,整租,碧水云天,海淀区-万柳-碧水云天,235.84,5室3厅,,,36000,152.6,,,https://bj.lianjia.com/zufang/BJ2150875951943122944.html,2026-05-02 21:56:50,39.9661,116.288752
万柳,整租·光大花园 3室1厅 东北,整租,光大花园,海淀区-万柳-光大花园,112.00,3室1厅,东北,,12800,114.3,,,https://bj.lianjia.com/zufang/BJ2144805317274238976.html,2026-05-02 21:56:50,39.96252,116.294713
万柳,整租·蜂鸟家园 1室1厅 南,整租,蜂鸟家园,海淀区-万柳-蜂鸟家园,62.35,1室1厅,南,,7590,121.7,,,https://bj.lianjia.com/zufang/BJ1796133613390004224.html,2026-05-02 21:56:50,39.962196,116.290578
万柳,整租·碧水云天 5室3厅 南/北,整租,碧水云天,海淀区-万柳-碧水云天,275.37,5室3厅,南/北,,45000,163.4,,,https://bj.lianjia.com/zufang/BJ2138858106388480000.html,2026-05-02 21:56:50,39.9661,116.288752
万柳,整租·新起点嘉园 4室2厅 南,整租,新起点嘉园,海淀区-万柳-新起点嘉园,233.00,4室2厅,南,,25000,107.3,,,https://bj.lianjia.com/zufang/BJ2153156408441307136.html,2026-05-02 21:56:50,39.963758,116.292159
万柳,整租·万泉新新家园 1室1厅 东,整租,万泉新新家园,海淀区-万柳-万泉新新家园,58.30,1室1厅,东,,6300,108.1,,,https://bj.lianjia.com/zufang/BJ1901589107910377472.html,2026-05-02 21:56:50,39.969386,116.292908
万柳,整租·蜂鸟家园 1室0厅 西南,整租,蜂鸟家园,海淀区-万柳-蜂鸟家园,43.10,1室0厅,西南,,5800,134.6,,,https://bj.lianjia.com/zufang/BJ2150951482667565056.html,2026-05-02 21:56:50,39.962196,116.290578
万柳,整租·涧桥泊屋 3室2厅 南/北,整租,涧桥泊屋,海淀区-万柳-涧桥泊屋,161.96,3室2厅,南/北,,16000,98.8,,,https://bj.lianjia.com/zufang/BJ2110003058279710720.html,2026-05-02 21:56:50,39.971686,116.289208
万柳,整租·蜂鸟家园 1室0厅 南,整租,蜂鸟家园,海淀区-万柳-蜂鸟家园,50.24,1室0厅,南,,6100,121.4,,,https://bj.lianjia.com/zufang/BJ2157793858958655488.html,2026-05-02 21:56:50,39.962196,116.290578
万柳,整租·蜂鸟家园 1室0厅 北,整租,蜂鸟家园,海淀区-万柳-蜂鸟家园,51.68,1室0厅,北,,6000,116.1,,,https://bj.lianjia.com/zufang/BJ2140465010948702208.html,2026-05-02 21:56:50,39.962196,116.290578
万柳,整租·碧水云天 3室2厅 西南,整租,碧水云天,海淀区-万柳-碧水云天,122.10,3室2厅,西南,,19000,155.6,,,https://bj.lianjia.com/zufang/BJ2151618356002684928.html,2026-05-02 21:56:50,39.9661,116.288752
万柳,整租·新起点嘉园 1室1厅 东,整租,新起点嘉园,海淀区-万柳-新起点嘉园,57.51,1室1厅,东,,6300,109.5,,,https://bj.lianjia.com/zufang/BJ2153861498617724928.html,2026-05-02 21:56:50,39.963758,116.292159
万柳,整租·蜂鸟家园 1室1厅 西,整租,蜂鸟家园,海淀区-万柳-蜂鸟家园,47.50,1室1厅,西,,6730,141.7,,,https://bj.lianjia.com/zufang/BJ1879868492686032896.html,2026-05-02 21:56:50,39.962196,116.290578
