region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
wanshoulu1,整租·万寿路甲15号院五区 2室1厅 东,整租,万寿路甲15号院五区,海淀区-万寿路-万寿路甲,81.00,2室1厅,东,,8500,104.9,,,https://bj.lianjia.com/zufang/BJ2150197436386115584.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路西街11号院 2室1厅 西南,整租,万寿路西街11号院,海淀区-万寿路-万寿路西街,85.60,2室1厅,西南,,7500,87.6,,,https://bj.lianjia.com/zufang/BJ2144770387475431424.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路西街5号院 1室1厅 西/北,整租,万寿路西街5号院,海淀区-万寿路-万寿路西街,43.00,1室1厅,西/北,,5400,125.6,,,https://bj.lianjia.com/zufang/BJ2157796656915939328.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路西街5号院 2室1厅 南,整租,万寿路西街5号院,海淀区-万寿路-万寿路西街,65.67,2室1厅,南,,8300,126.4,,,https://bj.lianjia.com/zufang/BJ2149130362284933120.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路15号院 3室1厅 南/北,整租,万寿路15号院,海淀区-万寿路-万寿路,95.00,3室1厅,南/北,,10500,110.5,,,https://bj.lianjia.com/zufang/BJ2158051819069112320.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路西街1号院 1室1厅 南,整租,万寿路西街1号院,海淀区-万寿路-万寿路西街,30.10,1室1厅,南,,5190,172.4,,,https://bj.lianjia.com/zufang/BJ2200645993249382400.html,2026-05-02 21:56:54,,
wanshoulu1,整租·复兴路乙59号 2室1厅 东,整租,复兴路乙59号,海淀区-万寿路-复兴路乙,64.43,2室1厅,东,,6100,94.7,,,https://bj.lianjia.com/zufang/BJ2150509373049274368.html,2026-05-02 21:56:54,,
wanshoulu1,整租·复兴路61号院 1室1厅 东,整租,复兴路61号院,海淀区-万寿路-复兴路,41.07,1室1厅,东,,5000,121.7,,,https://bj.lianjia.com/zufang/BJ2158888179904544768.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿园 3室2厅 南/北,整租,万寿园,海淀区-万寿路-万寿园,141.96,3室2厅,南/北,,12000,84.5,,,https://bj.lianjia.com/zufang/BJ2080953218401042432.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路甲15号院五区 2室1厅 东/南,整租,万寿路甲15号院五区,海淀区-万寿路-万寿路甲,81.00,2室1厅,东/南,,7700,95.1,,,https://bj.lianjia.com/zufang/BJ2157077787280670720.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路8号院 2室1厅 东/南,整租,万寿路8号院,海淀区-万寿路-万寿路,67.10,2室1厅,东/南,,7200,107.3,,,https://bj.lianjia.com/zufang/BJ2158182682419265536.html,2026-05-02 21:56:54,,
wanshoulu1,整租·朱各庄小区 2室1厅 南/北,整租,朱各庄小区,海淀区-万寿路-朱各庄小区,56.10,2室1厅,南/北,,5900,105.2,,,https://bj.lianjia.com/zufang/BJ1938222912980910080.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路甲15号院四区 2室1厅 南,整租,万寿路甲15号院四区,海淀区-万寿路-万寿路甲,71.70,2室1厅,南,,7000,97.6,,,https://bj.lianjia.com/zufang/BJ2146874806950166528.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路甲15号院五区 2室1厅 东/南/北,整租,万寿路甲15号院五区,海淀区-万寿路-万寿路甲,69.00,2室1厅,东/南/北,,8500,123.2,,,https://bj.lianjia.com/zufang/BJ2159129777837965312.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路1号院 2室1厅 南,整租,万寿路1号院,海淀区-万寿路-万寿路,55.00,2室1厅,南,,5900,107.3,,,https://bj.lianjia.com/zufang/BJ1738183569315987456.html,2026-05-02 21:56:54,,
wanshoulu1,整租·复兴路甲65号 2室1厅 南,整租,复兴路甲65号,海淀区-万寿路-复兴路甲,58.50,2室1厅,南,,7490,128.0,,,https://bj.lianjia.com/zufang/BJ1859898144272154624.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路西街5号院 3室1厅 东/南,整租,万寿路西街5号院,海淀区-万寿路-万寿路西街,95.28,3室1厅,东/南,,9900,103.9,,,https://bj.lianjia.com/zufang/BJ2153716440899780608.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路甲15号院五区 2室1厅 南/北,整租,万寿路甲15号院五区,海淀区-万寿路-万寿路甲,69.00,2室1厅,南/北,,7000,101.4,,,https://bj.lianjia.com/zufang/BJ2156226513802887168.html,2026-05-02 21:56:54,,
wanshoulu1,整租·复兴路61号院 1室1厅 南,整租,复兴路61号院,海淀区-万寿路-复兴路,38.80,1室1厅,南,,5400,139.2,,,https://bj.lianjia.com/zufang/BJ1972537273635307520.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路甲15号院五区 2室1厅 东,整租,万寿路甲15号院五区,海淀区-万寿路-万寿路甲,80.80,2室1厅,东,,7800,96.5,,,https://bj.lianjia.com/zufang/BJ2114209933443465216.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路西街9号 3室2厅 南/北,整租,万寿路西街9号,海淀区-万寿路-万寿路西街,130.00,3室2厅,南/北,,12500,96.2,,,https://bj.lianjia.com/zufang/BJ2153101956485218304.html,2026-05-02 21:56:54,,
wanshoulu1,整租·朱各庄小区 2室1厅 南/北,整租,朱各庄小区,海淀区-万寿路-朱各庄小区,56.10,2室1厅,南/北,,6400,114.1,,,https://bj.lianjia.com/zufang/BJ1882018283620663296.html,2026-05-02 21:56:54,,
wanshoulu1,整租·朱各庄12号院 2室1厅 东南,整租,朱各庄12号院,海淀区-万寿路-朱各庄,65.88,2室1厅,东南,,6500,98.7,,,https://bj.lianjia.com/zufang/BJ2130614126135738368.html,2026-05-02 21:56:54,,
wanshoulu1,整租·万寿路8号院 1室1厅 南,整租,万寿路8号院,海淀区-万寿路-万寿路,44.00,1室1厅,南,,5200,118.2,,,https://bj.lianjia.com/zufang/BJ2150108276107247616.html,2026-05-02 21:56:54,,
wanshoulu1,整租·复兴路61号院 2室1厅 南/北,整租,复兴路61号院,海淀区-万寿路-复兴路,57.30,2室1厅,南/北,,6300,109.9,,,https://bj.lianjia.com/zufang/BJ2117610654364860416.html,2026-05-02 21:56:54,,
