region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
wulituo,整租·天翠阳光新城C区 2室1厅 南,整租,天翠阳光新城C区,石景山区-五里坨-天翠阳光新城,77.35,2室1厅,南,,3500,45.2,,,https://bj.lianjia.com/zufang/BJ2139357887917457408.html,2026-05-02 22:26:51,,
wulituo,整租·南宫嘉园 1室1厅 南,整租,南宫嘉园,石景山区-五里坨-南宫嘉园,54.43,1室1厅,南,,2600,47.8,,,https://bj.lianjia.com/zufang/BJ2149142301136388096.html,2026-05-02 22:26:51,,
wulituo,整租·天翠阳光新城A区 2室1厅 南/北,整租,天翠阳光新城A区,石景山区-五里坨-天翠阳光新城,76.10,2室1厅,南/北,,3300,43.4,,,https://bj.lianjia.com/zufang/BJ2154186973504339968.html,2026-05-02 22:26:51,,
wulituo,整租·天翠阳光新城B区 2室1厅 南/北,整租,天翠阳光新城B区,石景山区-五里坨-天翠阳光新城,80.00,2室1厅,南/北,,3600,45.0,,,https://bj.lianjia.com/zufang/BJ2145410010761396224.html,2026-05-02 22:26:51,,
wulituo,整租·天翠阳光新城C区 2室1厅 南,整租,天翠阳光新城C区,石景山区-五里坨-天翠阳光新城,77.40,2室1厅,南,,3350,43.3,,,https://bj.lianjia.com/zufang/BJ2145381766376980480.html,2026-05-02 22:26:51,,
wulituo,独栋·邦寓 石景山五里坨店 公交直达6号线苹果园杨庄金安桥地铁金海洋购物中心 1室1厅,独栋,邦寓 石景山五里坨店 公交直达6号线苹果园杨庄金安桥地铁金海洋购物中心,,25.00,1室1厅,,,2300,92.0,,,https://bj.lianjia.com/apartment/106950.html,2026-05-02 22:26:51,,
wulituo,整租·南宫嘉园 1室1厅 南/北,整租,南宫嘉园,石景山区-五里坨-南宫嘉园,60.38,1室1厅,南/北,,2900,48.0,,,https://bj.lianjia.com/zufang/BJ2153072193389461504.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 南/北,整租,绿地·京西景园,石景山区-五里坨-绿地,67.00,2室1厅,南/北,,3300,49.3,,,https://bj.lianjia.com/zufang/BJ2152974046348705792.html,2026-05-02 22:26:51,,
wulituo,整租·南宫嘉园 2室1厅 南,整租,南宫嘉园,石景山区-五里坨-南宫嘉园,55.12,2室1厅,南,,2600,47.2,,,https://bj.lianjia.com/zufang/BJ2151511060501233664.html,2026-05-02 22:26:51,,
wulituo,整租·天翠阳光新城B区 1室1厅 南,整租,天翠阳光新城B区,石景山区-五里坨-天翠阳光新城,55.00,1室1厅,南,,2900,52.7,,,https://bj.lianjia.com/zufang/BJ2155952427243667456.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 南/北,整租,绿地·京西景园,石景山区-五里坨-绿地,72.00,2室1厅,南/北,,3300,45.8,,,https://bj.lianjia.com/zufang/BJ2153134301460299776.html,2026-05-02 22:26:51,,
wulituo,整租·西山峻景 1室1厅 南,整租,西山峻景,石景山区-五里坨-西山峻景,73.78,1室1厅,南,,2850,38.6,,,https://bj.lianjia.com/zufang/BJ2149495830845849600.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 1室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,52.18,1室1厅,南,,2800,53.7,,,https://bj.lianjia.com/zufang/BJ2137537614297694208.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 1室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,50.96,1室1厅,南,,2850,55.9,,,https://bj.lianjia.com/zufang/BJ2156236565246902272.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,66.50,2室1厅,南,,3100,46.6,,,https://bj.lianjia.com/zufang/BJ2009639565328908288.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 南/北,整租,绿地·京西景园,石景山区-五里坨-绿地,71.44,2室1厅,南/北,,3200,44.8,,,https://bj.lianjia.com/zufang/BJ2146812186364739584.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 东南/北,整租,绿地·京西景园,石景山区-五里坨-绿地,67.00,2室1厅,东南/北,,3100,46.3,,,https://bj.lianjia.com/zufang/BJ2157433616009789440.html,2026-05-02 22:26:51,,
wulituo,整租·南宫嘉园 1室0厅 东,整租,南宫嘉园,石景山区-五里坨-南宫嘉园,45.59,1室0厅,东,,2400,52.6,,,https://bj.lianjia.com/zufang/BJ2001869303057481728.html,2026-05-02 22:26:51,,
wulituo,整租·天翠阳光新城C区 2室1厅 南/北,整租,天翠阳光新城C区,石景山区-五里坨-天翠阳光新城,76.00,2室1厅,南/北,,3600,47.4,,,https://bj.lianjia.com/zufang/BJ2150190476446138368.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 1室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,50.67,1室1厅,南,,2900,57.2,,,https://bj.lianjia.com/zufang/BJ2146884733278093312.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 1室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,49.15,1室1厅,南,,2835,57.7,,,https://bj.lianjia.com/zufang/BJ2158402641992876032.html,2026-05-02 22:26:51,,
wulituo,整租·南宫嘉园 1室1厅 南,整租,南宫嘉园,石景山区-五里坨-南宫嘉园,45.88,1室1厅,南,,2500,54.5,,,https://bj.lianjia.com/zufang/BJ2151906205012852736.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 南/北,整租,绿地·京西景园,石景山区-五里坨-绿地,67.00,2室1厅,南/北,,3300,49.3,,,https://bj.lianjia.com/zufang/BJ2157348956042952704.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 2室1厅 南/北,整租,绿地·京西景园,石景山区-五里坨-绿地,67.44,2室1厅,南/北,,3360,49.8,,,https://bj.lianjia.com/zufang/BJ2156273212416065536.html,2026-05-02 22:26:51,,
wulituo,整租·南宫嘉园 1室1厅 南/北,整租,南宫嘉园,石景山区-五里坨-南宫嘉园,60.51,1室1厅,南/北,,3000,49.6,,,https://bj.lianjia.com/zufang/BJ2156602915710566400.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 1室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,50.95,1室1厅,南,,2800,55.0,,,https://bj.lianjia.com/zufang/BJ2160624566886465536.html,2026-05-02 22:26:51,,
wulituo,整租·天翠阳光新城A区 1室1厅 南/北,整租,天翠阳光新城A区,石景山区-五里坨-天翠阳光新城,55.73,1室1厅,南/北,,2800,50.2,,,https://bj.lianjia.com/zufang/BJ2130279832326504448.html,2026-05-02 22:26:51,,
wulituo,整租·绿地·京西景园 1室1厅 南,整租,绿地·京西景园,石景山区-五里坨-绿地,50.96,1室1厅,南,,2800,54.9,,,https://bj.lianjia.com/zufang/BJ1977609476437442560.html,2026-05-02 22:26:51,,
