region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
wuyihuayuan,整租·武夷花园月季园 2室1厅 南/北,整租,武夷花园月季园,通州区-武夷花园-武夷花园月季园,96.23,2室1厅,南/北,,3900,40.5,,,https://bj.lianjia.com/zufang/BJ2154161886159962112.html,2026-05-02 22:32:24,39.917236,116.694054
wuyihuayuan,整租·京贸国际城 1室1厅 东/南,整租,京贸国际城,通州区-武夷花园-京贸国际城,68.72,1室1厅,东/南,,4200,61.1,,,https://bj.lianjia.com/zufang/BJ2041357858783625216.html,2026-05-02 22:34:55,39.916126,116.690106
wuyihuayuan,整租·京贸国际城 2室1厅 东/北,整租,京贸国际城,通州区-武夷花园-京贸国际城,90.79,2室1厅,东/北,,3800,41.9,,,https://bj.lianjia.com/zufang/BJ2150964389723766784.html,2026-05-02 22:32:24,39.916126,116.690106
wuyihuayuan,整租·通州富力中心A 2房间 北,整租,通州富力中心A 2房间 北,通州区-武夷花园-通州富力中心,52.00,,,,3500,67.3,,,https://bj.lianjia.com/zufang/BJ2153874890724212736.html,2026-05-02 22:32:24,39.91718,116.69596
wuyihuayuan,整租·京贸国际城 4室1厅 西南/北,整租,京贸国际城,通州区-武夷花园-京贸国际城,161.90,4室1厅,西南/北,,7000,43.2,,,https://bj.lianjia.com/zufang/BJ2144450162754322432.html,2026-05-02 22:32:24,39.916126,116.690106
wuyihuayuan,独栋·好房好宅 复地运河公馆 复地运河公馆精装150平三居两卫南北通透河景房智慧推荐 3室2厅,独栋,好房好宅 复地运河公馆 复地运河公馆精装150平三居两卫南北通透河景房智慧推荐,,150.00,3室2厅,,,10000,66.7,,,https://bj.lianjia.com/apartment/100391.html,2026-05-02 22:32:38,39.937276,116.519678
wuyihuayuan,整租·加华印象街 2室2厅 南/北,整租,加华印象街,通州区-武夷花园-加华印象街,96.00,2室2厅,南/北,,4500,46.9,,,https://bj.lianjia.com/zufang/BJ2158497281333002240.html,2026-05-02 22:32:44,39.913886,116.685668
wuyihuayuan,整租·武夷花园牡丹园 2室1厅 南/北,整租,武夷花园牡丹园,通州区-武夷花园-武夷花园牡丹园,88.00,2室1厅,南/北,,3600,40.9,,,https://bj.lianjia.com/zufang/BJ2157359961305251840.html,2026-05-02 22:32:44,39.917236,116.694054
wuyihuayuan,整租·通州富力中心A 3室2厅 东南,整租,通州富力中心A,通州区-武夷花园-通州富力中心,130.59,3室2厅,东南,,7200,55.1,,,https://bj.lianjia.com/zufang/BJ2155575843038953472.html,2026-05-02 22:34:38,39.91718,116.69596
wuyihuayuan,整租·金融街武夷融御 2室1厅 南,整租,金融街武夷融御,通州区-武夷花园-金融街武夷融御,72.00,2室1厅,南,,4800,66.7,,,https://bj.lianjia.com/zufang/BJ2115018679958634496.html,2026-05-02 22:32:24,39.944382,116.633785
wuyihuayuan,整租·运河明珠 2室1厅 东/北,整租,运河明珠,通州区-武夷花园-运河明珠,108.88,2室1厅,东/北,,6200,56.9,,,https://bj.lianjia.com/zufang/BJ2154189129275932672.html,2026-05-02 22:32:24,39.916009,116.724418
wuyihuayuan,整租·金融街武夷融御 2室1厅 南/北,整租,金融街武夷融御,通州区-武夷花园-金融街武夷融御,79.69,2室1厅,南/北,,5000,62.7,,,https://bj.lianjia.com/zufang/BJ1977004440007213056.html,2026-05-02 22:34:50,39.944382,116.633785
wuyihuayuan,整租·京贸家园 2室1厅 南,整租,京贸家园,通州区-武夷花园-京贸家园,75.30,2室1厅,南,,3000,39.8,,,https://bj.lianjia.com/zufang/BJ2146967108808867840.html,2026-05-02 22:32:24,39.916126,116.690106
wuyihuayuan,整租·通州富力中心A 3室2厅 南/北,整租,通州富力中心A,通州区-武夷花园-通州富力中心,130.00,3室2厅,南/北,,8600,66.2,,,https://bj.lianjia.com/zufang/BJ2141933887494815744.html,2026-05-02 22:32:24,39.91718,116.69596
wuyihuayuan,整租·BOBO自由城 4室2厅 跃层 南/北,整租,BOBO自由城,通州区-武夷花园,232.83,4室2厅,,,6800,29.2,,,https://bj.lianjia.com/zufang/BJ2154180928178487296.html,2026-05-02 22:32:24,39.914075,116.686278
wuyihuayuan,整租·运河园 1室1厅 南/北,整租,运河园,通州区-武夷花园-运河园,70.99,1室1厅,南/北,,3000,42.3,,,https://bj.lianjia.com/zufang/BJ2148762634474749952.html,2026-05-02 22:32:24,39.916009,116.724418
wuyihuayuan,整租·复地运河公馆 2室1厅 南,整租,复地运河公馆,通州区-武夷花园-复地运河公馆,89.56,2室1厅,南,,5800,64.8,,,https://bj.lianjia.com/zufang/BJ2153818394267222016.html,2026-05-02 22:32:24,39.914075,116.686278
wuyihuayuan,整租·京贸国际城 1室1厅 东南,整租,京贸国际城,通州区-武夷花园-京贸国际城,69.35,1室1厅,东南,,3885,56.0,,,https://bj.lianjia.com/zufang/BJ2012557527203446784.html,2026-05-02 22:33:22,39.916126,116.690106
wuyihuayuan,整租·武夷花园紫荆雅园 3室1厅 南/北,整租,武夷花园紫荆雅园,通州区-武夷花园-武夷花园紫荆雅园,117.30,3室1厅,南/北,,4300,36.7,,,https://bj.lianjia.com/zufang/BJ2143345406585602048.html,2026-05-02 22:32:44,39.917236,116.694054
wuyihuayuan,整租·运河明珠 2室1厅 南/北,整租,运河明珠,通州区-武夷花园-运河明珠,79.00,2室1厅,南/北,,4200,53.2,,,https://bj.lianjia.com/zufang/BJ2159135469424607232.html,2026-05-02 22:32:44,39.916009,116.724418
wuyihuayuan,整租·京贸国际城 2室1厅 南,整租,京贸国际城,通州区-武夷花园-京贸国际城,73.07,2室1厅,南,,3750,51.3,,,https://bj.lianjia.com/zufang/BJ1880114235464220672.html,2026-05-02 22:34:46,39.916126,116.690106
wuyihuayuan,整租·京贸国际城 2室1厅 南/北,整租,京贸国际城,通州区-武夷花园-京贸国际城,91.87,2室1厅,南/北,,4700,51.2,,,https://bj.lianjia.com/zufang/BJ2151261591188799488.html,2026-05-02 22:32:24,39.916126,116.690106
wuyihuayuan,整租·京贸国际城 2室1厅 南/北,整租,京贸国际城,通州区-武夷花园-京贸国际城,91.62,2室1厅,南/北,,4400,48.0,,,https://bj.lianjia.com/zufang/BJ2155294636850020352.html,2026-05-02 22:32:24,39.916126,116.690106
wuyihuayuan,整租·加华印象街 2室1厅 东/南,整租,加华印象街,通州区-武夷花园-加华印象街,87.77,2室1厅,东/南,,3800,43.3,,,https://bj.lianjia.com/zufang/BJ1891498254558822400.html,2026-05-02 22:34:55,39.913886,116.685668
wuyihuayuan,整租·月亮城堡 1室1厅 东,整租,月亮城堡,通州区-武夷花园-月亮城堡,58.00,1室1厅,东,,3000,51.7,,,https://bj.lianjia.com/zufang/BJ2151632520217624576.html,2026-05-02 22:32:24,39.917111,116.702853
