region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
西罗园,整租·风格景园 1室1厅 东,整租,风格景园,丰台区-西罗园-风格景园,55.18,1室1厅,东,,4100,74.3,,,https://bj.lianjia.com/zufang/BJ2125067860056211456.html,2026-05-02 20:12:28,39.842817,116.379676
西罗园,整租·华润小区 1室1厅 南/北,整租,华润小区,丰台区-西罗园-华润小区,62.24,1室1厅,南/北,,4400,70.7,,,https://bj.lianjia.com/zufang/BJ2150154830566391808.html,2026-05-02 20:12:28,39.85197,116.38562
西罗园,整租·风格景园 2室1厅 西北,整租,风格景园,丰台区-西罗园-风格景园,67.34,2室1厅,西北,,5500,81.7,,,https://bj.lianjia.com/zufang/BJ2145475817008791552.html,2026-05-02 20:12:28,39.842817,116.379676
西罗园,整租·风格景园 1室1厅 东南,整租,风格景园,丰台区-西罗园-风格景园,82.01,1室1厅,东南,,6000,73.2,,,https://bj.lianjia.com/zufang/BJ2152782426848362496.html,2026-05-02 20:12:28,39.842817,116.379676
西罗园,整租·西罗园三区 1室1厅 西南,整租,西罗园三区,丰台区-西罗园-西罗园三区,47.02,1室1厅,西南,,4500,95.7,,,https://bj.lianjia.com/zufang/BJ1837675703890345984.html,2026-05-02 20:12:28,39.859206,116.384268
西罗园,整租·西罗园二区 2室1厅 南,整租,西罗园二区,丰台区-西罗园-西罗园二区,72.44,2室1厅,南,,5360,74.0,,,https://bj.lianjia.com/zufang/BJ1949589518050918400.html,2026-05-02 20:12:28,39.857525,116.384902
西罗园,整租·西罗园三区 2室1厅 南,整租,西罗园三区,丰台区-西罗园-西罗园三区,78.00,2室1厅,南,,5800,74.4,,,https://bj.lianjia.com/zufang/BJ2159632987560345600.html,2026-05-02 20:12:28,39.859206,116.384268
西罗园,整租·西罗园南里 2室2厅 南/北,整租,西罗园南里,丰台区-西罗园-西罗园南里,68.44,2室2厅,南/北,,6000,87.7,,,https://bj.lianjia.com/zufang/BJ2159662832260481024.html,2026-05-02 20:12:28,39.838522,116.375714
西罗园,整租·华润小区 2室1厅 东,整租,华润小区,丰台区-西罗园-华润小区,71.06,2室1厅,东,,5000,70.4,,,https://bj.lianjia.com/zufang/BJ2153855473525194752.html,2026-05-02 20:12:28,39.85197,116.38562
西罗园,整租·西罗园四区 1室1厅 南,整租,西罗园四区,丰台区-西罗园-西罗园四区,44.29,1室1厅,南,,3900,88.1,,,https://bj.lianjia.com/zufang/BJ2155949781963243520.html,2026-05-02 20:12:28,39.861465,116.380947
西罗园,整租·华润小区 3室1厅 南,整租,华润小区,丰台区-西罗园-华润小区,83.49,3室1厅,南,,7300,87.4,,,https://bj.lianjia.com/zufang/BJ2133787223382818816.html,2026-05-02 20:12:28,39.85197,116.38562
西罗园,整租·西罗园二区 1室1厅 南,整租,西罗园二区,丰台区-西罗园-西罗园二区,57.22,1室1厅,南,,4600,80.4,,,https://bj.lianjia.com/zufang/BJ2159271092844232704.html,2026-05-02 20:12:28,39.857525,116.384902
西罗园,整租·汇达公寓 1室1厅 东,整租,汇达公寓,丰台区-西罗园-汇达公寓,67.30,1室1厅,东,,5200,77.3,,,https://bj.lianjia.com/zufang/BJ2140429604257529856.html,2026-05-02 20:12:28,39.842817,116.379676
西罗园,整租·西罗园四区 3室1厅 东/东南,整租,西罗园四区,丰台区-西罗园-西罗园四区,78.99,3室1厅,东/东南,,6300,79.8,,,https://bj.lianjia.com/zufang/BJ2152046514128551936.html,2026-05-02 20:12:28,39.861465,116.380947
西罗园,整租·西罗园南里 2室1厅 南/北,整租,西罗园南里,丰台区-西罗园-西罗园南里,60.70,2室1厅,南/北,,4700,77.4,,,https://bj.lianjia.com/zufang/BJ2007005276942630912.html,2026-05-02 20:12:28,39.838522,116.375714
西罗园,整租·华润小区 2室1厅 东,整租,华润小区,丰台区-西罗园-华润小区,68.40,2室1厅,东,,5560,81.3,,,https://bj.lianjia.com/zufang/BJ2154216002525593600.html,2026-05-02 20:12:28,39.85197,116.38562
西罗园,整租·西罗园二区 2室1厅 南,整租,西罗园二区,丰台区-西罗园-西罗园二区,74.15,2室1厅,南,,5600,75.5,,,https://bj.lianjia.com/zufang/BJ2114206822851149824.html,2026-05-02 20:12:28,39.857525,116.384902
西罗园,整租·京品小区 3室1厅 南/北,整租,京品小区,丰台区-西罗园-京品小区,117.56,3室1厅,南/北,,8500,72.3,,,https://bj.lianjia.com/zufang/BJ2092226301896163328.html,2026-05-02 20:12:28,39.833686,116.379634
西罗园,整租·西罗园四区 1室1厅 东/西,整租,西罗园四区,丰台区-西罗园-西罗园四区,40.00,1室1厅,东/西,,3800,95.0,,,https://bj.lianjia.com/zufang/BJ2006600129930330112.html,2026-05-02 20:12:28,39.861465,116.380947
西罗园,整租·西罗园三区 1室1厅 东南,整租,西罗园三区,丰台区-西罗园-西罗园三区,53.00,1室1厅,东南,,4200,79.2,,,https://bj.lianjia.com/zufang/BJ2140452825639944192.html,2026-05-02 20:12:28,39.859206,116.384268
西罗园,整租·西罗园二区 1室1厅 南,整租,西罗园二区,丰台区-西罗园-西罗园二区,50.04,1室1厅,南,,4200,83.9,,,https://bj.lianjia.com/zufang/BJ2128807501905264640.html,2026-05-02 20:12:28,39.857525,116.384902
西罗园,整租·西罗园南里 2室1厅 东/西,整租,西罗园南里,丰台区-西罗园-西罗园南里,55.11,2室1厅,东/西,,4400,79.8,,,https://bj.lianjia.com/zufang/BJ1901537529249660928.html,2026-05-02 20:12:28,39.838522,116.375714
西罗园,整租·西罗园南里 2室1厅 南/北,整租,西罗园南里,丰台区-西罗园-西罗园南里,51.20,2室1厅,南/北,,5000,97.7,,,https://bj.lianjia.com/zufang/BJ2132493589421228032.html,2026-05-02 20:12:28,39.838522,116.375714
西罗园,整租·华润小区 1室1厅 南,整租,华润小区,丰台区-西罗园-华润小区,49.27,1室1厅,南,,3700,75.1,,,https://bj.lianjia.com/zufang/BJ2148308450730311680.html,2026-05-02 20:12:28,39.85197,116.38562
西罗园,整租·西罗园南里 2室1厅 南,整租,西罗园南里,丰台区-西罗园-西罗园南里,52.80,2室1厅,南,,4200,79.5,,,https://bj.lianjia.com/zufang/BJ2003090523287453696.html,2026-05-02 20:12:28,39.838522,116.375714
西罗园,整租·西罗园四区 3室1厅 南/北,整租,西罗园四区,丰台区-西罗园-西罗园四区,85.17,3室1厅,南/北,,6200,72.8,,,https://bj.lianjia.com/zufang/BJ2145161893692571648.html,2026-05-02 20:12:28,39.861465,116.380947
西罗园,整租·西罗园四区 2室1厅 西南,整租,西罗园四区,丰台区-西罗园-西罗园四区,65.45,2室1厅,西南,,5530,84.5,,,https://bj.lianjia.com/zufang/BJ1905119429776113664.html,2026-05-02 20:12:28,39.861465,116.380947
西罗园,整租·汇达公寓 1室1厅 南,整租,汇达公寓,丰台区-西罗园-汇达公寓,61.74,1室1厅,南,,4900,79.4,,,https://bj.lianjia.com/zufang/BJ2021909642765926400.html,2026-05-02 20:12:28,39.842817,116.379676
西罗园,整租·西罗园四区 1室1厅 南/北,整租,西罗园四区,丰台区-西罗园-西罗园四区,42.70,1室1厅,南/北,,4000,93.7,,,https://bj.lianjia.com/zufang/BJ2156403331382116352.html,2026-05-02 20:12:28,39.861465,116.380947
西罗园,独栋·联众地产 宝汇苑 中间户88平全南央企直租宝汇苑木樨园8号线全南两居民水民电 2室2厅,独栋,联众地产 宝汇苑 中间户88平全南央企直租宝汇苑木樨园8号线全南两居民水民电,,88.16,2室2厅,,,5800-6300,,,,https://bj.lianjia.com/apartment/93996.html,2026-05-02 20:12:28,40.10331,116.31071
