region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xinminbieshu,整租·沿海丽水馨庭(公寓) 3室1厅 南,整租,沿海丽水馨庭(公寓),松江-莘闵别墅-沿海丽水馨庭(公寓),89.03,3室1厅,南,,4080,45.8,,,https://sh.lianjia.com/zufang/SH2150133180575776768.html,2026-04-23 14:50:08,,
xinminbieshu,整租·丽水华庭 4室2厅 复式 南/北,整租,丽水华庭,松江-莘闵别墅-丽水华庭,173.61,4室2厅,,,8000,46.1,,,https://sh.lianjia.com/zufang/SH2147329857715961856.html,2026-04-23 14:49:47,,
xinminbieshu,整租·上海康城 2室2厅 南,整租,上海康城,闵行-莘闵别墅-上海康城,90.59,2室2厅,南,,4500,49.7,,,https://sh.lianjia.com/zufang/SH2145072708621172736.html,2026-04-23 14:50:08,,
xinminbieshu,独栋·壹间公寓 新桥都会明兴路店-9栋 应届生专属好房！30平朝北静谧小居室，实习通勤超方便 1室1厅,独栋,壹间公寓 新桥都会明兴路店-9栋,,30.00,1室1厅,,,2280,76.0,,,https://sh.lianjia.com/apartment/59134.html,2026-04-23 14:49:53,,
xinminbieshu,整租·新南路壹号(公寓) 3室2厅 南/北,整租,新南路壹号(公寓),松江-莘闵别墅-新南路壹号(公寓),105.00,3室2厅,南/北,,5500,52.4,,,https://sh.lianjia.com/zufang/SH2157056297789292544.html,2026-04-23 14:50:05,,
xinminbieshu,整租·欣绿名苑 4室2厅 复式 南,整租,欣绿名苑,松江-莘闵别墅-欣绿名苑,198.11,4室2厅,,,9030,45.6,,,https://sh.lianjia.com/zufang/SH2049528259246292992.html,2026-04-23 14:49:47,,
xinminbieshu,整租·达安圣芭芭花园 4室3厅 复式 南,整租,达安圣芭芭花园,松江-莘闵别墅-达安圣芭芭花园,245.54,4室3厅,,,10000,40.7,,,https://sh.lianjia.com/zufang/SH2142136017837096960.html,2026-04-23 14:49:47,,
xinminbieshu,整租·沿海丽水馨庭(公寓) 3室2厅 东南,整租,沿海丽水馨庭(公寓),松江-莘闵别墅-沿海丽水馨庭(公寓),88.69,3室2厅,东南,,3800,42.8,,,https://sh.lianjia.com/zufang/SH2124451268213604352.html,2026-04-23 14:50:08,,
xinminbieshu,独栋·壹间公寓 新桥都会明兴路店 新桥镇公寓房·1楼朝南整租一室户·做饭方便·租期灵活 1室1厅,独栋,壹间公寓 新桥都会明兴路店,,35.00,1室1厅,,,2480,70.9,,,https://sh.lianjia.com/apartment/59165.html,2026-04-23 14:49:53,,
xinminbieshu,整租·新水桥公寓 6室2厅 南,整租,新水桥公寓,松江-莘闵别墅-新水桥公寓,122.39,6室2厅,南,,5500,44.9,,,https://sh.lianjia.com/zufang/SH1984915504069869568.html,2026-04-23 14:50:08,,
xinminbieshu,整租·新弘国际城(公寓) 3室2厅 南/北,整租,新弘国际城(公寓),松江-莘闵别墅-新弘国际城(公寓),89.00,3室2厅,南/北,,4500,50.6,,,https://sh.lianjia.com/zufang/SH1984871521960591360.html,2026-04-23 14:50:08,,
xinminbieshu,整租·上海康城 3室1厅 南,整租,上海康城,闵行-莘闵别墅-上海康城,103.00,3室1厅,南,,5000,48.5,,,https://sh.lianjia.com/zufang/SH2009582755926507520.html,2026-04-23 14:50:08,,
xinminbieshu,整租·同润家园 3室2厅 复式 南,整租,同润家园,松江-莘闵别墅-同润家园,179.86,3室2厅,,,7500,41.7,,,https://sh.lianjia.com/zufang/SH2126645578132619264.html,2026-04-23 14:50:08,,
xinminbieshu,整租·上海康城 4室2厅 南,整租,上海康城,闵行-莘闵别墅-上海康城,148.09,4室2厅,南,,5600,37.8,,,https://sh.lianjia.com/zufang/SH2147237624887115776.html,2026-04-23 14:49:47,,
