region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xisanqi1,整租·旗胜家园 2室1厅 南,整租,旗胜家园,昌平区-西三旗-旗胜家园,87.04,2室1厅,南,,6500,74.7,,,https://bj.lianjia.com/zufang/BJ2157500119354703872.html,2026-05-02 21:58:06,,
xisanqi1,整租·上奥世纪中心 1房间 东,整租,上奥世纪中心 1房间 东,昌平区-西三旗-上奥世纪中心,46.53,,,,3800,81.7,,,https://bj.lianjia.com/zufang/BJ2128777055410585600.html,2026-05-02 21:58:32,,
xisanqi1,整租·旗胜家园 2室1厅 南/北,整租,旗胜家园,昌平区-西三旗-旗胜家园,90.01,2室1厅,南/北,,5500,61.1,,,https://bj.lianjia.com/zufang/BJ2146131195769913344.html,2026-05-02 21:58:06,,
xisanqi1,整租·育新花园 1室1厅 南/北,整租,育新花园,海淀区-西三旗-育新花园,52.00,1室1厅,南/北,,5000,96.2,,,https://bj.lianjia.com/zufang/BJ2159561714889129984.html,2026-05-02 21:58:06,,
xisanqi1,整租·森林大第 3室2厅 南/北,整租,森林大第,昌平区-西三旗-森林大第,110.06,3室2厅,南/北,,6000,54.5,,,https://bj.lianjia.com/zufang/BJ2156660779976228864.html,2026-05-02 21:58:53,,
xisanqi1,独栋·云逸青年社区（北京） 西小口店（百斯特） 西三旗 霍营 西小口公寓 1室1厅,独栋,云逸青年社区（北京） 西小口店（百斯特） 西三旗 霍营 西小口公寓,,40.00,1室1厅,,,4700,117.5,,,https://bj.lianjia.com/apartment/105072.html,2026-05-02 21:58:06,,
xisanqi1,整租·富力桃园C区 2室1厅 东/北,整租,富力桃园C区,海淀区-西三旗-富力桃园,88.62,2室1厅,东/北,,6100,68.8,,,https://bj.lianjia.com/zufang/BJ2158210604693716992.html,2026-05-02 21:58:06,,
xisanqi1,整租·SOCO公社 2房间 南,整租,SOCO公社 2房间 南,海淀区-西三旗,53.00,,,,4300,81.1,,,https://bj.lianjia.com/zufang/BJ2145036429275693056.html,2026-05-02 21:58:06,,
xisanqi1,整租·硅谷先锋建材城东一里 3室1厅 南/北,整租,硅谷先锋建材城东一里,海淀区-西三旗-硅谷先锋建材城东一里,100.00,3室1厅,南/北,,5800,58.0,,,https://bj.lianjia.com/zufang/BJ2143664517588975616.html,2026-05-02 21:58:06,,
xisanqi1,整租·金隅翡丽爱公馆 2室1厅 西,整租,金隅翡丽爱公馆,海淀区-西三旗-金隅翡丽爱公馆,100.40,2室1厅,西,,6800,67.7,,,https://bj.lianjia.com/zufang/BJ2132432750295121920.html,2026-05-02 21:58:06,,
