region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xiwengzhuangzhen,整租·弗农小镇 3室1厅 南/北,整租,弗农小镇,密云区-溪翁庄镇-弗农小镇,97.73,3室1厅,南/北,,2800,28.7,,,https://bj.lianjia.com/zufang/BJ2144766329737969664.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·京溪小区 3室2厅 南/北,整租,京溪小区,密云区-溪翁庄镇-京溪小区,97.28,3室2厅,南/北,,1000,10.3,,,https://bj.lianjia.com/zufang/BJ2151617698000273408.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·麓秀 3室2厅 南/北,整租,麓秀,密云区-溪翁庄镇-麓秀,126.79,3室2厅,南/北,,2800,22.1,,,https://bj.lianjia.com/zufang/BJ2145524998624772096.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·奥园北京源墅 4室1厅 南/北,整租,奥园北京源墅,密云区-溪翁庄镇-奥园北京源墅,180.91,4室1厅,南/北,,3200,17.7,,,https://bj.lianjia.com/zufang/BJ2100108996982603776.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·阳光城溪山悦 3室1厅 南/北,整租,阳光城溪山悦,密云区-溪翁庄镇-阳光城溪山悦,140.00,3室1厅,南/北,,3300,23.6,,,https://bj.lianjia.com/zufang/BJ2002953894069534720.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·阳光城溪山悦 4室1厅 南/北,整租,阳光城溪山悦,密云区-溪翁庄镇-阳光城溪山悦,249.00,4室1厅,南/北,,6000,24.1,,,https://bj.lianjia.com/zufang/BJ2144269320459386880.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·弗农小镇 4室1厅 南/北,整租,弗农小镇,密云区-溪翁庄镇-弗农小镇,196.48,4室1厅,南/北,,10000,50.9,,,https://bj.lianjia.com/zufang/BJ2154464688841162752.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·京溪小区 3室2厅 南/北,整租,京溪小区,密云区-溪翁庄镇-京溪小区,150.13,3室2厅,南/北,,1700,11.3,,,https://bj.lianjia.com/zufang/BJ2139280807112474624.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·京溪小区 3室2厅 南/北,整租,京溪小区,密云区-溪翁庄镇-京溪小区,150.13,3室2厅,南/北,,1710,11.4,,,https://bj.lianjia.com/zufang/BJ1943904755176701952.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·京溪小区 3室2厅 南/北,整租,京溪小区,密云区-溪翁庄镇-京溪小区,150.13,3室2厅,南/北,,1500,10.0,,,https://bj.lianjia.com/zufang/BJ2064644110760804352.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·弗农小镇 3室2厅 南,整租,弗农小镇,密云区-溪翁庄镇-弗农小镇,97.74,3室2厅,南,,3000,30.7,,,https://bj.lianjia.com/zufang/BJ2067567287669358592.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·首创澜茵山三期 4室2厅 南/北,整租,首创澜茵山三期,密云区-溪翁庄镇-首创澜茵山三期,132.00,4室2厅,南/北,,3000,22.7,,,https://bj.lianjia.com/zufang/BJ2005198533178687488.html,2026-05-02 23:22:31,,
xiwengzhuangzhen,整租·京溪小区 10室4厅 复式 南/北,整租,京溪小区,密云区-溪翁庄镇-京溪小区,479.09,10室4厅,,,20000,41.7,,,https://bj.lianjia.com/zufang/BJ2066869673147760640.html,2026-05-02 23:22:31,,
