region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xuhuibinjiang,整租·百汇园一期 3室2厅 南,整租,百汇园一期,徐汇-徐汇滨江-百汇园一期,203.00,3室2厅,南,,20000,98.5,,,https://sh.lianjia.com/zufang/SH2132141957453971456.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·百汇园一期 3室2厅 南,整租,百汇园一期,徐汇-徐汇滨江-百汇园一期,181.00,3室2厅,南,,25000,138.1,,,https://sh.lianjia.com/zufang/SH2155991336648441856.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·尚海湾豪庭一期 3室2厅 南/北,整租,尚海湾豪庭一期,徐汇-徐汇滨江-尚海湾豪庭一期,147.00,3室2厅,南/北,,19000,129.3,,,https://sh.lianjia.com/zufang/SH1901208924032335872.html,2026-04-23 15:05:24,,
xuhuibinjiang,独栋·西岸中环汇 大木桥路店 大木桥路地铁口丨徐汇滨江西岸中环汇 高品质服务公寓出租 开间,独栋,西岸中环汇 大木桥路店,,60.00,,,,13000-17000,,,,https://sh.lianjia.com/apartment/94640.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·百汇园一期 3室1厅 南/北,整租,百汇园一期,徐汇-徐汇滨江-百汇园一期,177.00,3室1厅,南/北,,22500,127.1,,,https://sh.lianjia.com/zufang/SH2144630940616359936.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·樟树苑 2室1厅 南,整租,樟树苑,徐汇-徐汇滨江-樟树苑,110.80,2室1厅,南,,7400,66.8,,,https://sh.lianjia.com/zufang/SH2150511339515150336.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·御江廷 3室2厅 南,整租,御江廷,徐汇-徐汇滨江-御江廷,103.00,3室2厅,南,,19700,191.3,,,https://sh.lianjia.com/zufang/SH2144410011273527296.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·尚海湾豪庭三期 2室2厅 南,整租,尚海湾豪庭三期,徐汇-徐汇滨江-尚海湾豪庭三期,119.00,2室2厅,南,,21500,180.7,,,https://sh.lianjia.com/zufang/SH2154557426869731328.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·长峰小区 1室1厅 南,整租,长峰小区,徐汇-徐汇滨江-长峰小区,54.09,1室1厅,南,,4410,81.5,,,https://sh.lianjia.com/zufang/SH2127005388145426432.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·尚海湾豪庭三期 2室1厅 南,整租,尚海湾豪庭三期,徐汇-徐汇滨江-尚海湾豪庭三期,95.00,2室1厅,南,,17800,187.4,,,https://sh.lianjia.com/zufang/SH2061842789687099392.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·滨江小区 2室1厅 南,整租,滨江小区,徐汇-徐汇滨江-滨江小区,69.08,2室1厅,南,,6200,89.8,,,https://sh.lianjia.com/zufang/SH1917547566682079232.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·滨江小区 2室1厅 南,整租,滨江小区,徐汇-徐汇滨江-滨江小区,72.00,2室1厅,南,,6600,91.7,,,https://sh.lianjia.com/zufang/SH1873948166953369600.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·汇元玺 4室2厅 南/北,整租,汇元玺,徐汇-徐汇滨江-汇元玺,197.00,4室2厅,南/北,,48500,246.2,,,https://sh.lianjia.com/zufang/SH2146944373974106112.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·滨江小区 3室1厅 南,整租,滨江小区,徐汇-徐汇滨江-滨江小区,84.29,3室1厅,南,,8000,94.9,,,https://sh.lianjia.com/zufang/SH2028093294885470208.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·汇元玺 3室1厅 南,整租,汇元玺,徐汇-徐汇滨江-汇元玺,103.00,3室1厅,南,,17200,167.0,,,https://sh.lianjia.com/zufang/SH2149778587551531008.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·滨江小区 2室1厅 南/北,整租,滨江小区,徐汇-徐汇滨江-滨江小区,72.55,2室1厅,南/北,,5670,78.2,,,https://sh.lianjia.com/zufang/SH1880557357226786816.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·宝能·公馆1288 3室2厅 南,整租,宝能·公馆1288,徐汇-徐汇滨江-宝能,158.55,3室2厅,南,,31800,200.6,,,https://sh.lianjia.com/zufang/SH2157747824400269312.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·尚海湾豪庭三期 1室1厅 东南,整租,尚海湾豪庭三期,徐汇-徐汇滨江-尚海湾豪庭三期,65.92,1室1厅,东南,,15200,230.6,,,https://sh.lianjia.com/zufang/SH1998451060343046144.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·百汇园二期 1室1厅 南,整租,百汇园二期,徐汇-徐汇滨江-百汇园二期,96.00,1室1厅,南,,19800,206.2,,,https://sh.lianjia.com/zufang/SH2154894702820720640.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·百汇园二期 1室2厅 南,整租,百汇园二期,徐汇-徐汇滨江-百汇园二期,96.26,1室2厅,南,,17500,181.8,,,https://sh.lianjia.com/zufang/SH2130186830492991488.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·尚海湾豪庭一期 4室2厅 南,整租,尚海湾豪庭一期,徐汇-徐汇滨江-尚海湾豪庭一期,199.00,4室2厅,南,,29800,149.7,,,https://sh.lianjia.com/zufang/SH2115741965352960000.html,2026-04-23 15:05:24,,
xuhuibinjiang,整租·尚海湾豪庭三期 2室2厅 南,整租,尚海湾豪庭三期,徐汇-徐汇滨江-尚海湾豪庭三期,119.52,2室2厅,南,,23000,192.4,,,https://sh.lianjia.com/zufang/SH2152292204142395392.html,2026-04-23 15:05:24,,
