region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yayuncunxiaoying,整租·干杨树 3室1厅 南,整租,干杨树,朝阳区-亚运村小营-干杨树,107.85,3室1厅,南,,8000,74.2,,,https://bj.lianjia.com/zufang/BJ2150454427297775616.html,2026-05-02 21:22:51,,
yayuncunxiaoying,整租·嘉铭桐城F区 3室1厅 西北,整租,嘉铭桐城F区,朝阳区-亚运村小营-嘉铭桐城,122.98,3室1厅,西北,,11500,93.5,,,https://bj.lianjia.com/zufang/BJ2151653480350089216.html,2026-05-02 21:23:21,,
yayuncunxiaoying,整租·风格派 1室0厅 东,整租,风格派,朝阳区-亚运村小营-风格派,51.00,1室0厅,东,,5490,107.6,,,https://bj.lianjia.com/zufang/BJ2149132630023471104.html,2026-05-02 21:22:33,,
yayuncunxiaoying,整租·嘉铭桐城E区 1室1厅 东/西,整租,嘉铭桐城E区,朝阳区-亚运村小营-嘉铭桐城,79.00,1室1厅,东/西,,7000,88.6,,,https://bj.lianjia.com/zufang/BJ2158840805651906560.html,2026-05-02 21:22:33,,
yayuncunxiaoying,整租·育慧西里 2室1厅 南/北,整租,育慧西里,朝阳区-亚运村小营-育慧西里,55.32,2室1厅,南/北,,6200,112.1,,,https://bj.lianjia.com/zufang/BJ2151673842358026240.html,2026-05-02 21:23:21,,
yayuncunxiaoying,独栋·冠寓 北京亚运村关庄店 【近鼎城·近地铁】关庄站20米·鼎城中心50米·企业客户98折专享·望京/奥森旁·龙湖冠寓高品质公寓 开间,独栋,冠寓 北京亚运村关庄店 【近鼎城·近地铁】关庄站20米·鼎城中心50米·企业客户98折专享·望京/奥森旁·龙湖冠寓高品质公寓 开间,,21.42,,,,4352,203.2,,,https://bj.lianjia.com/apartment/13598.html,2026-05-02 21:22:39,,
yayuncunxiaoying,整租·鸿华家园 6室5厅 复式 东南/南/西南/北,整租,鸿华家园,朝阳区-亚运村小营-鸿华家园,494.50,6室5厅,,,60000,121.3,,,https://bj.lianjia.com/zufang/BJ2093261969174822912.html,2026-05-02 21:22:33,,
yayuncunxiaoying,整租·主场 1室0厅 北,整租,主场,朝阳区-亚运村小营-主场,61.95,1室0厅,北,,6400,103.3,,,https://bj.lianjia.com/zufang/BJ2158844757462220800.html,2026-05-02 21:22:33,,
yayuncunxiaoying,整租·世纪村东区 2室1厅 南/北,整租,世纪村东区,朝阳区-亚运村小营-世纪村东区,86.40,2室1厅,南/北,,7000,81.0,,,https://bj.lianjia.com/zufang/BJ2154931070527602688.html,2026-05-02 21:23:21,,
yayuncunxiaoying,整租·世纪村东区 3室1厅 东南,整租,世纪村东区,朝阳区-亚运村小营-世纪村东区,93.82,3室1厅,东南,,8900,94.9,,,https://bj.lianjia.com/zufang/BJ2160737272788418560.html,2026-05-02 21:22:33,,
yayuncunxiaoying,整租·育慧里一区 1室0厅 西,整租,育慧里一区,朝阳区-亚运村小营-育慧里一区,53.00,1室0厅,西,,5800,109.4,,,https://bj.lianjia.com/zufang/BJ2160640679804403712.html,2026-05-02 21:22:51,,
yayuncunxiaoying,整租·世纪村东区 2室1厅 南/北,整租,世纪村东区,朝阳区-亚运村小营-世纪村东区,70.99,2室1厅,南/北,,7500,105.6,,,https://bj.lianjia.com/zufang/BJ1756629419906039808.html,2026-05-02 21:22:33,,
yayuncunxiaoying,整租·育慧里二区 1室1厅 南,整租,育慧里二区,朝阳区-亚运村小营-育慧里二区,43.74,1室1厅,南,,5500,125.7,,,https://bj.lianjia.com/zufang/BJ2154511904096124928.html,2026-05-02 21:22:33,,
