region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yiheyuan,整租·北坞嘉园南里 2室1厅 南,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,85.00,2室1厅,南,,6600,77.6,,,https://bj.lianjia.com/zufang/BJ2153308997103386624.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·北坞嘉园南里 1室1厅 南/北,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,64.76,1室1厅,南/北,,5600,86.5,,,https://bj.lianjia.com/zufang/BJ2143643665946378240.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·北坞嘉园西里 3室1厅 南/北,整租,北坞嘉园西里,海淀区-颐和园-北坞嘉园西里,85.00,3室1厅,南/北,,7900,92.9,,,https://bj.lianjia.com/zufang/BJ2158173415326875648.html,2026-05-02 22:00:43,39.977431,116.239695
yiheyuan,整租·北坞嘉园西里 3室2厅 南/北,整租,北坞嘉园西里,海淀区-颐和园-北坞嘉园西里,96.00,3室2厅,南/北,,8200,85.4,,,https://bj.lianjia.com/zufang/BJ2153379467135811584.html,2026-05-02 22:00:43,39.977431,116.239695
yiheyuan,整租·骚子营 3室1厅 南/北,整租,骚子营,海淀区-颐和园-骚子营,123.00,3室1厅,南/北,,8000,65.0,,,https://bj.lianjia.com/zufang/BJ2152384079398436864.html,2026-05-02 22:00:43,39.988586,116.302668
yiheyuan,独栋·云逸青年社区（北京） 四季慧谷A店 0中介 整租复式LOTE 1室1厅,独栋,云逸青年社区（北京） 四季慧谷A店 0中介 整租复式LOTE,,35.00,1室1厅,,,4700,134.3,,,https://bj.lianjia.com/apartment/79740.html,2026-05-02 22:00:43,39.877626,116.401131
yiheyuan,整租·北坞嘉园南里 2室2厅 南/北,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,85.00,2室2厅,南/北,,7300,85.9,,,https://bj.lianjia.com/zufang/BJ2139283649328054272.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·北坞嘉园西里 2室2厅 南/北,整租,北坞嘉园西里,海淀区-颐和园-北坞嘉园西里,85.00,2室2厅,南/北,,8200,96.5,,,https://bj.lianjia.com/zufang/BJ2153798240632307712.html,2026-05-02 22:00:43,39.977431,116.239695
yiheyuan,整租·骚子营 2室1厅 南,整租,骚子营,海淀区-颐和园-骚子营,62.60,2室1厅,南,,5880,93.9,,,https://bj.lianjia.com/zufang/BJ2026662716487237632.html,2026-05-02 22:00:43,39.988586,116.302668
yiheyuan,整租·北坞嘉园西里 2室1厅 南/北,整租,北坞嘉园西里,海淀区-颐和园-北坞嘉园西里,85.00,2室1厅,南/北,,8600,101.2,,,https://bj.lianjia.com/zufang/BJ2152811080756232192.html,2026-05-02 22:00:43,39.977431,116.239695
yiheyuan,整租·北坞嘉园南里 2室2厅 南/北,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,85.00,2室2厅,南/北,,6900,81.2,,,https://bj.lianjia.com/zufang/BJ2150943571941785600.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·北坞嘉园北里 1室1厅 南/北,整租,北坞嘉园北里,海淀区-颐和园-北坞嘉园北里,64.38,1室1厅,南/北,,5300,82.3,,,https://bj.lianjia.com/zufang/BJ2147337273501286400.html,2026-05-02 22:00:43,39.978561,116.244571
yiheyuan,整租·北坞嘉园南里 2室1厅 南/北,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,85.00,2室1厅,南/北,,7500,88.2,,,https://bj.lianjia.com/zufang/BJ2154862551291133952.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·邮局宿舍 2室1厅 南,整租,邮局宿舍,海淀区-颐和园-邮局宿舍,72.66,2室1厅,南,,7200,99.1,,,https://bj.lianjia.com/zufang/BJ2159969722160906240.html,2026-05-02 22:00:43,40.010646,116.280268
yiheyuan,整租·北坞嘉园北里 2室2厅 南/北,整租,北坞嘉园北里,海淀区-颐和园-北坞嘉园北里,96.50,2室2厅,南/北,,8300,86.0,,,https://bj.lianjia.com/zufang/BJ2016886132171603968.html,2026-05-02 22:00:43,39.978561,116.244571
yiheyuan,整租·骚子营 1室1厅 南/北,整租,骚子营,海淀区-颐和园-骚子营,52.01,1室1厅,南/北,,6000,115.4,,,https://bj.lianjia.com/zufang/BJ2078153056557465600.html,2026-05-02 22:00:43,39.988586,116.302668
yiheyuan,整租·北坞嘉园南里 2室1厅 南/北,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,85.00,2室1厅,南/北,,7100,83.5,,,https://bj.lianjia.com/zufang/BJ2147226337650147328.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·邮局宿舍 1室1厅 西北,整租,邮局宿舍,海淀区-颐和园-邮局宿舍,58.90,1室1厅,西北,,5100,86.6,,,https://bj.lianjia.com/zufang/BJ2159540223208325120.html,2026-05-02 22:00:43,40.010646,116.280268
yiheyuan,整租·颐和园宿舍 2室1厅 南/北,整租,颐和园宿舍,海淀区-颐和园-颐和园宿舍,62.00,2室1厅,南/北,,7100,114.5,,,https://bj.lianjia.com/zufang/BJ2128399648312786944.html,2026-05-02 22:00:43,39.997067,116.264061
yiheyuan,整租·北坞嘉园西里 2室2厅 南/北,整租,北坞嘉园西里,海淀区-颐和园-北坞嘉园西里,85.00,2室2厅,南/北,,7000,82.4,,,https://bj.lianjia.com/zufang/BJ2157311614771003392.html,2026-05-02 22:00:43,39.977431,116.239695
yiheyuan,整租·骚子营 2室1厅 南/北,整租,骚子营,海淀区-颐和园-骚子营,60.91,2室1厅,南/北,,5200,85.4,,,https://bj.lianjia.com/zufang/BJ1677988584537194496.html,2026-05-02 22:00:43,39.988586,116.302668
yiheyuan,整租·北坞嘉园南里 2室1厅 南/北,整租,北坞嘉园南里,海淀区-颐和园-北坞嘉园南里,85.00,2室1厅,南/北,,7500,88.2,,,https://bj.lianjia.com/zufang/BJ2159508522495115264.html,2026-05-02 22:00:43,40.001796,116.270668
yiheyuan,整租·燕北园 2室1厅 南/北,整租,燕北园,海淀区-颐和园-燕北园,61.10,2室1厅,南/北,,7600,124.4,,,https://bj.lianjia.com/zufang/BJ2141473085235134464.html,2026-05-02 22:00:43,39.988586,116.302668
yiheyuan,整租·北坞嘉园西里 1室1厅 南/北,整租,北坞嘉园西里,海淀区-颐和园-北坞嘉园西里,56.15,1室1厅,南/北,,5000,89.0,,,https://bj.lianjia.com/zufang/BJ1679398822289080320.html,2026-05-02 22:00:43,39.977431,116.239695
yiheyuan,整租·燕北园 2室1厅 东/西,整租,燕北园,海淀区-颐和园-燕北园,57.90,2室1厅,东/西,,5500,95.0,,,https://bj.lianjia.com/zufang/BJ2140314305910800384.html,2026-05-02 22:00:43,39.988586,116.302668
yiheyuan,整租·邮局宿舍 3室1厅 东/西,整租,邮局宿舍,海淀区-颐和园-邮局宿舍,71.40,3室1厅,东/西,,6600,92.4,,,https://bj.lianjia.com/zufang/BJ1975917192998289408.html,2026-05-02 22:00:43,40.010646,116.280268
yiheyuan,整租·北坞嘉园北里 2室2厅 南/北,整租,北坞嘉园北里,海淀区-颐和园-北坞嘉园北里,85.30,2室2厅,南/北,,7000,82.1,,,https://bj.lianjia.com/zufang/BJ2155523172798038016.html,2026-05-02 22:00:43,39.978561,116.244571
