region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yizhuang1,整租·金色漫香林六期 3房间 南,整租,金色漫香林六期 3房间 南,大兴区-亦庄-金色漫香林六期,90.00,,,,5400,60.0,,,https://bj.lianjia.com/zufang/BJ2151314015479922688.html,2026-05-02 21:18:09,39.820806,116.511368
yizhuang1,整租·君安国际 3房间 东南,整租,君安国际 3房间 东南,北京经济技术开发区-亦庄-君安国际,106.33,,,,7500,70.5,,,https://bj.lianjia.com/zufang/BJ2045012915706134528.html,2026-05-02 21:19:42,39.787886,116.512852
yizhuang1,整租·远洋天著二期 5室2厅 复式 东,整租,远洋天著二期,北京经济技术开发区-亦庄-远洋天著二期,312.12,5室2厅,,,32000,102.5,,,https://bj.lianjia.com/zufang/BJ2141118509713719296.html,2026-05-02 21:18:09,39.819799,116.525334
yizhuang1,整租·融创亦庄壹号 3室2厅 南/北,整租,融创亦庄壹号,北京经济技术开发区-亦庄-融创亦庄壹号,88.85,3室2厅,南/北,,8000,90.0,,,https://bj.lianjia.com/zufang/BJ2156766278994362368.html,2026-05-02 21:18:35,39.799155,116.571073
yizhuang1,整租·浉城百丽 2室1厅 南/北,整租,浉城百丽,北京经济技术开发区-亦庄-浉城百丽,131.56,2室1厅,南/北,,6500,49.4,,,https://bj.lianjia.com/zufang/BJ2145098991858089984.html,2026-05-02 21:20:23,39.791266,116.492734
yizhuang1,"独栋·蜂客公寓 蜂客公寓兴盛国际店 【舒适型】年租最高可减2999！随时可入住落地窗、荣京东街地铁900米,大族广场,中航技广场 开间",独栋,"蜂客公寓 蜂客公寓兴盛国际店 【舒适型】年租最高可减2999！随时可入住落地窗、荣京东街地铁900米,大族广场,中航技广场 开间",,38.00,,,,3630,95.5,,,https://bj.lianjia.com/apartment/25351.html,2026-05-02 21:18:22,,
yizhuang1,整租·林肯公园 5房间 东/北,整租,林肯公园 5房间 东/北,北京经济技术开发区-亦庄-林肯公园,219.91,,,,15000,68.2,,,https://bj.lianjia.com/zufang/BJ2149744136117288960.html,2026-05-02 21:18:09,39.810377,116.508085
yizhuang1,整租·长新花园 7室2厅 复式 南/北,整租,长新花园,北京经济技术开发区-亦庄-长新花园,342.80,7室2厅,,,20000,58.3,,,https://bj.lianjia.com/zufang/BJ2125156061206806528.html,2026-05-02 21:18:09,39.798837,116.501899
yizhuang1,整租·力宝广场 1房间 西北,整租,力宝广场 1房间 西北,北京经济技术开发区-亦庄-力宝广场,43.64,,,,4000,91.7,,,https://bj.lianjia.com/zufang/BJ2150602036616364032.html,2026-05-02 21:20:23,39.805362,116.502081
yizhuang1,整租·君安国际 6房间 南,整租,君安国际 6房间 南,北京经济技术开发区-亦庄-君安国际,206.81,,,,15000,72.5,,,https://bj.lianjia.com/zufang/BJ2100520166201753600.html,2026-05-02 21:18:09,39.787886,116.512852
yizhuang1,整租·小康东里 3室2厅 南/北,整租,小康东里,北京经济技术开发区-亦庄-小康东里,103.88,3室2厅,南/北,,6300,60.6,,,https://bj.lianjia.com/zufang/BJ2157753500505735168.html,2026-05-02 21:19:01,39.82087,116.5252
yizhuang1,整租·金色漫香林二期 2室1厅 南/北,整租,金色漫香林二期,大兴区-亦庄-金色漫香林二期,90.00,2室1厅,南/北,,6000,66.7,,,https://bj.lianjia.com/zufang/BJ1930963074198536192.html,2026-05-02 21:20:09,39.820806,116.511368
yizhuang1,整租·林肯公园B区 4房间 北,整租,林肯公园B区 4房间 北,北京经济技术开发区-亦庄-林肯公园,120.00,,,,7700,64.2,,,https://bj.lianjia.com/zufang/BJ2144993827738353664.html,2026-05-02 21:18:09,39.804515,116.49524
yizhuang1,整租·林肯公园B区 4房间 西南,整租,林肯公园B区 4房间 西南,北京经济技术开发区-亦庄-林肯公园,122.00,,,,8000,65.6,,,https://bj.lianjia.com/zufang/BJ2143918026045521920.html,2026-05-02 21:18:32,39.804515,116.49524
