region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
youanmennei11,整租·光源逸景宴秋园 3室1厅 东/北,整租,光源逸景宴秋园,西城区-右安门内-光源逸景宴秋园,80.00,3室1厅,东/北,,8200,102.5,,,https://bj.lianjia.com/zufang/BJ2154885136385048576.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·光源逸景玉棠园 4室1厅 南/北,整租,光源逸景玉棠园,西城区-右安门内-光源逸景玉棠园,112.00,4室1厅,南/北,,10700,95.5,,,https://bj.lianjia.com/zufang/BJ2144821310876811264.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·清芷园 3室1厅 南/北,整租,清芷园,西城区-右安门内-清芷园,179.09,3室1厅,南/北,,14000,78.2,,,https://bj.lianjia.com/zufang/BJ2154879804720021504.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·光源逸景玉棠园 2室1厅 南/西,整租,光源逸景玉棠园,西城区-右安门内-光源逸景玉棠园,62.00,2室1厅,南/西,,6000,96.8,,,https://bj.lianjia.com/zufang/BJ2148729396024836096.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·光源逸景玉棠园 4室1厅 南/北,整租,光源逸景玉棠园,西城区-右安门内-光源逸景玉棠园,104.35,4室1厅,南/北,,10500,100.6,,,https://bj.lianjia.com/zufang/BJ2152635404904300544.html,2026-05-02 20:26:02,39.870463,116.358274
youanmennei11,独栋·融寓 陶然亭店 【金融街】【品牌公寓直租】【家具电器齐全、拎包入住】 开间,独栋,融寓 陶然亭店 【金融街】【品牌公寓直租】【家具电器齐全、拎包入住】 开间,,24.00,,,,4280,178.3,,,https://bj.lianjia.com/apartment/89013.html,2026-05-02 20:25:44,39.904841,116.177464
youanmennei11,整租·光源逸景玉棠园 1室1厅 东,整租,光源逸景玉棠园,西城区-右安门内-光源逸景玉棠园,51.81,1室1厅,东,,5300,102.3,,,https://bj.lianjia.com/zufang/BJ2138992278717333504.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·光源逸景玉棠园 1室1厅 西,整租,光源逸景玉棠园,西城区-右安门内-光源逸景玉棠园,56.40,1室1厅,西,,6000,106.4,,,https://bj.lianjia.com/zufang/BJ2150135606045310976.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·光源逸景玉棠园 1室1厅 东,整租,光源逸景玉棠园,西城区-右安门内-光源逸景玉棠园,51.81,1室1厅,东,,5600,108.1,,,https://bj.lianjia.com/zufang/BJ2146535538331484160.html,2026-05-02 20:25:41,39.870463,116.358274
youanmennei11,整租·半步桥6号院 2室1厅 南/北,整租,半步桥6号院,西城区-右安门内-半步桥,76.50,2室1厅,南/北,,7300,95.4,,,https://bj.lianjia.com/zufang/BJ2131319347497402368.html,2026-05-02 20:25:41,39.873159,116.361883
