region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
右安门外,整租·佑安府 4室3厅 南,整租,佑安府,丰台区-右安门外-佑安府,190.00,4室3厅,南,,22000,115.8,,,https://bj.lianjia.com/zufang/BJ2141176639260721152.html,2026-05-02 20:23:52,39.863084,116.372172
右安门外,整租·佑安府 2室1厅 南/北,整租,佑安府,丰台区-右安门外-佑安府,89.02,2室1厅,南/北,,10300,115.7,,,https://bj.lianjia.com/zufang/BJ2144008010916167680.html,2026-05-02 20:23:52,39.863084,116.372172
右安门外,整租·佑安府 7室6厅 南/北,整租,佑安府,丰台区-右安门外-佑安府,500.00,7室6厅,南/北,,60000,120.0,,,https://bj.lianjia.com/zufang/BJ2103113092899536896.html,2026-05-02 20:23:52,39.863084,116.372172
右安门外,整租·昆仑域 4室2厅 南/北,整租,昆仑域,丰台区-右安门外-昆仑域,160.59,4室2厅,南/北,,29000,180.6,,,https://bj.lianjia.com/zufang/BJ2122538852093526016.html,2026-05-02 20:23:52,39.863084,116.372172
右安门外,整租·百合园 2室1厅 东,整租,百合园,丰台区-右安门外-百合园,71.06,2室1厅,东,,6000,84.4,,,https://bj.lianjia.com/zufang/BJ2152245991619690496.html,2026-05-02 20:23:52,40.387836,116.853158
右安门外,独栋·嘉阁宜居 佑安府 南二环14号线西铁营地铁站100米 民水民电 宠物友好 2室1厅,独栋,嘉阁宜居 佑安府 南二环14号线西铁营地铁站100米 民水民电 宠物友好,,90.00,2室1厅,,,12680-13220,,,,https://bj.lianjia.com/apartment/89281.html,2026-05-02 20:23:52,39.865034,116.246433
右安门外,整租·佑安府 5室3厅 南,整租,佑安府,丰台区-右安门外-佑安府,295.00,5室3厅,南,,60000,203.4,,,https://bj.lianjia.com/zufang/BJ2145834585986957312.html,2026-05-02 20:23:52,39.863084,116.372172
右安门外,整租·中国玺 3室2厅 南/北,整租,中国玺,丰台区-右安门外-中国玺,147.00,3室2厅,南/北,,16500,112.2,,,https://bj.lianjia.com/zufang/BJ2143590951904346112.html,2026-05-02 20:23:52,39.863084,116.372172
右安门外,整租·玉林里小区 2室1厅 东/南/西/北,整租,玉林里小区,丰台区-右安门外-玉林里小区,54.87,2室1厅,东/南/西/北,,5000,91.1,,,https://bj.lianjia.com/zufang/BJ1861348628040253440.html,2026-05-02 20:23:52,39.866276,116.353018
右安门外,整租·亚林上苑 1室1厅 东,整租,亚林上苑,丰台区-右安门外-亚林上苑,58.45,1室1厅,东,,6500,111.2,,,https://bj.lianjia.com/zufang/BJ2158893248888700928.html,2026-05-02 20:23:52,39.863084,116.372172
