region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
岳各庄,整租·民岳家园 1室1厅 西,整租,民岳家园,丰台区-岳各庄-民岳家园,54.28,1室1厅,西,,4200,77.4,,,https://bj.lianjia.com/zufang/BJ2156268514048999424.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·中堂 3室1厅 南/北,整租,中堂,丰台区-岳各庄-中堂,139.79,3室1厅,南/北,,8000,57.2,,,https://bj.lianjia.com/zufang/BJ2147967850977951744.html,2026-05-02 22:17:19,39.879595,116.276634
岳各庄,整租·民岳家园三期 2室1厅 东/西,整租,民岳家园三期,丰台区-岳各庄-民岳家园三期,75.00,2室1厅,东/西,,5000,66.7,,,https://bj.lianjia.com/zufang/BJ2154154986445996032.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·西府景园 3室2厅 南/北,整租,西府景园,丰台区-岳各庄-西府景园,119.39,3室2厅,南/北,,7200,60.3,,,https://bj.lianjia.com/zufang/BJ2150948488962113536.html,2026-05-02 22:17:19,39.882197,116.263499
岳各庄,整租·大成时代中心 1室1厅 东北,整租,大成时代中心,丰台区-岳各庄-大成时代中心,80.00,1室1厅,东北,,5000,62.5,,,https://bj.lianjia.com/zufang/BJ1989295999482331136.html,2026-05-02 22:18:00,39.877306,116.277483
岳各庄,整租·西府颐园 2室1厅 南,整租,西府颐园,丰台区-岳各庄-西府颐园,92.00,2室1厅,南,,6260,68.0,,,https://bj.lianjia.com/zufang/BJ1900798047089065984.html,2026-05-02 22:17:19,39.882197,116.263499
岳各庄,整租·万科紫台 3室2厅 南/北,整租,万科紫台,丰台区-岳各庄-万科紫台,167.64,3室2厅,南/北,,14000,83.5,,,https://bj.lianjia.com/zufang/BJ2142278217145253888.html,2026-05-02 22:17:19,39.879239,116.258971
岳各庄,整租·民岳家园 1室1厅 东,整租,民岳家园,丰台区-岳各庄-民岳家园,53.97,1室1厅,东,,4000,74.1,,,https://bj.lianjia.com/zufang/BJ2151567378725470208.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·大成郡 3室2厅 西北,整租,大成郡,丰台区-岳各庄-大成郡,120.40,3室2厅,西北,,9800,81.4,,,https://bj.lianjia.com/zufang/BJ2038581300184481792.html,2026-05-02 22:18:00,39.886636,116.262268
岳各庄,整租·中堂 3室1厅 南/北,整租,中堂,丰台区-岳各庄-中堂,130.00,3室1厅,南/北,,8500,65.4,,,https://bj.lianjia.com/zufang/BJ2152326390005891072.html,2026-05-02 22:17:19,39.879595,116.276634
岳各庄,整租·大井中里 2室1厅 南/北,整租,大井中里,丰台区-岳各庄-大井中里,63.48,2室1厅,南/北,,4900,77.2,,,https://bj.lianjia.com/zufang/BJ2139616741565661184.html,2026-05-02 22:17:19,39.869406,116.269608
岳各庄,整租·珠江峰景 1室1厅 西南,整租,珠江峰景,丰台区-岳各庄-珠江峰景,72.08,1室1厅,西南,,4725,65.6,,,https://bj.lianjia.com/zufang/BJ2110252808853782528.html,2026-05-02 22:17:19,39.879434,116.260206
岳各庄,整租·民岳家园 2室1厅 东北,整租,民岳家园,丰台区-岳各庄-民岳家园,100.14,2室1厅,东北,,6000,59.9,,,https://bj.lianjia.com/zufang/BJ2151280343523524608.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·中堂 3室1厅 南/北,整租,中堂,丰台区-岳各庄-中堂,129.95,3室1厅,南/北,,8800,67.7,,,https://bj.lianjia.com/zufang/BJ2092597730680504320.html,2026-05-02 22:17:19,39.879595,116.276634
岳各庄,整租·大成郡 2室1厅 东/西,整租,大成郡,丰台区-岳各庄-大成郡,108.70,2室1厅,东/西,,8200,75.4,,,https://bj.lianjia.com/zufang/BJ2150269493912272896.html,2026-05-02 22:18:06,39.886636,116.262268
岳各庄,整租·珠江峰景 1室1厅 北,整租,珠江峰景,丰台区-岳各庄-珠江峰景,44.32,1室1厅,北,,4190,94.5,,,https://bj.lianjia.com/zufang/BJ1844690790857572352.html,2026-05-02 22:17:19,39.879434,116.260206
岳各庄,整租·紫熙台 9房间 南/北,整租,紫熙台 9房间 南/北,丰台区-岳各庄-紫熙台,341.29,,,,39000,114.3,,,https://bj.lianjia.com/zufang/BJ2074756018474057728.html,2026-05-02 22:17:19,39.879366,116.272248
岳各庄,整租·大成郡 2室2厅 东,整租,大成郡,丰台区-岳各庄-大成郡,106.00,2室2厅,东,,8500,80.2,,,https://bj.lianjia.com/zufang/BJ2130652096389709824.html,2026-05-02 22:17:19,39.886636,116.262268
岳各庄,整租·大成郡 3室2厅 南/北,整租,大成郡,丰台区-岳各庄-大成郡,122.74,3室2厅,南/北,,10000,81.5,,,https://bj.lianjia.com/zufang/BJ2148789208808947712.html,2026-05-02 22:18:00,39.886636,116.262268
岳各庄,整租·丰体时代花园 2室1厅 南,整租,丰体时代花园,丰台区-岳各庄-丰体时代花园,95.58,2室1厅,南,,5300,55.5,,,https://bj.lianjia.com/zufang/BJ2157801202488705024.html,2026-05-02 22:17:19,39.866,116.264313
岳各庄,整租·中堂 3室2厅 南/北,整租,中堂,丰台区-岳各庄-中堂,153.84,3室2厅,南/北,,10000,65.0,,,https://bj.lianjia.com/zufang/BJ2142187648758841344.html,2026-05-02 22:17:19,39.879595,116.276634
岳各庄,整租·珠江峰景 3室1厅 南/北,整租,珠江峰景,丰台区-岳各庄-珠江峰景,120.06,3室1厅,南/北,,6900,57.5,,,https://bj.lianjia.com/zufang/BJ2145515623331921920.html,2026-05-02 22:17:19,39.879434,116.260206
岳各庄,整租·大成郡 3室2厅 南/北,整租,大成郡,丰台区-岳各庄-大成郡,136.20,3室2厅,南/北,,11500,84.4,,,https://bj.lianjia.com/zufang/BJ2140006208075988992.html,2026-05-02 22:17:19,39.886636,116.262268
岳各庄,整租·大井南里 2室1厅 南/北,整租,大井南里,丰台区-岳各庄-大井南里,53.60,2室1厅,南/北,,5200,97.0,,,https://bj.lianjia.com/zufang/BJ2159982307694346240.html,2026-05-02 22:17:19,39.869406,116.269608
岳各庄,整租·大成郡 4室2厅 南/北,整租,大成郡,丰台区-岳各庄-大成郡,218.23,4室2厅,南/北,,20000,91.6,,,https://bj.lianjia.com/zufang/BJ2146960658011258880.html,2026-05-02 22:17:19,39.886636,116.262268
岳各庄,整租·大成时代公馆 2房间 东,整租,大成时代公馆 2房间 东,丰台区-岳各庄-大成时代公馆,89.32,,,,5200,58.2,,,https://bj.lianjia.com/zufang/BJ2111668971932483584.html,2026-05-02 22:17:19,39.887431,116.265513
岳各庄,整租·民岳家园三期 2室1厅 东,整租,民岳家园三期,丰台区-岳各庄-民岳家园三期,70.28,2室1厅,东,,4790,68.2,,,https://bj.lianjia.com/zufang/BJ1829037668642586624.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·珠江峰景 3室2厅 南/北,整租,珠江峰景,丰台区-岳各庄-珠江峰景,129.95,3室2厅,南/北,,6200,47.7,,,https://bj.lianjia.com/zufang/BJ2158876892566913024.html,2026-05-02 22:18:00,39.879434,116.260206
岳各庄,整租·民岳家园三期 2室1厅 东南,整租,民岳家园三期,丰台区-岳各庄-民岳家园三期,115.00,2室1厅,东南,,6300,54.8,,,https://bj.lianjia.com/zufang/BJ2142549393734107136.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·民岳家园三期 2室1厅 南,整租,民岳家园三期,丰台区-岳各庄-民岳家园三期,87.70,2室1厅,南,,5760,65.7,,,https://bj.lianjia.com/zufang/BJ1804042950129221632.html,2026-05-02 22:17:19,39.878506,116.264878
岳各庄,整租·民岳家园 1室1厅 东,整租,民岳家园,丰台区-岳各庄-民岳家园,54.00,1室1厅,东,,4000,74.1,,,https://bj.lianjia.com/zufang/BJ2141144014605254656.html,2026-05-02 22:17:22,39.878506,116.264878
岳各庄,整租·中堂 2室1厅 南/北,整租,中堂,丰台区-岳各庄-中堂,114.51,2室1厅,南/北,,6600,57.6,,,https://bj.lianjia.com/zufang/BJ2156245717750906880.html,2026-05-02 22:18:00,39.879595,116.276634
岳各庄,整租·紫辰院 4房间 西/北,整租,紫辰院 4房间 西/北,丰台区-岳各庄-紫辰院,88.82,,,,7600,85.6,,,https://bj.lianjia.com/zufang/BJ2128040810728390656.html,2026-05-02 22:17:22,39.880926,116.271538
岳各庄,整租·靛厂锦园 2室1厅 南/北,整租,靛厂锦园,丰台区-岳各庄-靛厂锦园,88.00,2室1厅,南/北,,5500,62.5,,,https://bj.lianjia.com/zufang/BJ2154099957437562880.html,2026-05-02 22:17:22,39.886869,116.273078
岳各庄,整租·中堂 2室2厅 南/北,整租,中堂,丰台区-岳各庄-中堂,113.41,2室2厅,南/北,,5900,52.0,,,https://bj.lianjia.com/zufang/BJ2159266493320134656.html,2026-05-02 22:18:00,39.879595,116.276634
岳各庄,整租·丰体时代花园 1室1厅 南,整租,丰体时代花园,丰台区-岳各庄-丰体时代花园,33.45,1室1厅,南,,4460,133.3,,,https://bj.lianjia.com/zufang/BJ1898182246595035136.html,2026-05-02 22:17:22,39.866,116.264313
岳各庄,整租·梅市口路甲12号院 3室1厅 东南,整租,梅市口路甲12号院,丰台区-岳各庄-梅市口路甲,123.00,3室1厅,东南,,7000,56.9,,,https://bj.lianjia.com/zufang/BJ2154184707166699520.html,2026-05-02 22:17:22,39.87626,116.264235
岳各庄,整租·民岳家园 2室1厅 东南,整租,民岳家园,丰台区-岳各庄-民岳家园,94.00,2室1厅,东南,,5600,59.6,,,https://bj.lianjia.com/zufang/BJ2153037578830348288.html,2026-05-02 22:17:22,39.878506,116.264878
岳各庄,整租·民岳家园 3室1厅 南/北,整租,民岳家园,丰台区-岳各庄-民岳家园,108.32,3室1厅,南/北,,7000,64.6,,,https://bj.lianjia.com/zufang/BJ2155718293824995328.html,2026-05-02 22:18:00,39.878506,116.264878
岳各庄,整租·中堂 1室1厅 南/北,整租,中堂,丰台区-岳各庄-中堂,66.00,1室1厅,南/北,,5200,78.8,,,https://bj.lianjia.com/zufang/BJ2151199415069573120.html,2026-05-02 22:17:22,39.879595,116.276634
岳各庄,整租·民岳家园 3室1厅 西南/北,整租,民岳家园,丰台区-岳各庄-民岳家园,114.64,3室1厅,西南/北,,7000,61.1,,,https://bj.lianjia.com/zufang/BJ2118200419556524032.html,2026-05-02 22:17:22,39.878506,116.264878
岳各庄,整租·大成郡 1室1厅 东南,整租,大成郡,丰台区-岳各庄-大成郡,80.84,1室1厅,东南,,4700,58.1,,,https://bj.lianjia.com/zufang/BJ2083778804848787456.html,2026-05-02 22:18:06,39.886636,116.262268
岳各庄,整租·北京城建龙樾天元 2室1厅 东/南,整租,北京城建龙樾天元,丰台区-岳各庄-北京城建龙樾天元,80.75,2室1厅,东/南,,8100,100.3,,,https://bj.lianjia.com/zufang/BJ2148695057815830528.html,2026-05-02 22:17:22,39.872936,116.267043
岳各庄,整租·大井南里 2室1厅 南/北,整租,大井南里,丰台区-岳各庄-大井南里,51.19,2室1厅,南/北,,5000,97.7,,,https://bj.lianjia.com/zufang/BJ2159570260594786304.html,2026-05-02 22:17:22,39.869406,116.269608
岳各庄,整租·西府兰庭 3室1厅 南/北,整租,西府兰庭,丰台区-岳各庄-西府兰庭,145.66,3室1厅,南/北,,10000,68.7,,,https://bj.lianjia.com/zufang/BJ2156632644761157632.html,2026-05-02 22:18:00,39.882197,116.263499
岳各庄,整租·民岳家园三期 2室1厅 西,整租,民岳家园三期,丰台区-岳各庄-民岳家园三期,75.04,2室1厅,西,,5260,70.1,,,https://bj.lianjia.com/zufang/BJ1792765408936198144.html,2026-05-02 22:17:22,39.878506,116.264878
岳各庄,整租·珠江峰景 1室1厅 东,整租,珠江峰景,丰台区-岳各庄-珠江峰景,53.00,1室1厅,东,,4200,79.2,,,https://bj.lianjia.com/zufang/BJ2112858579097616384.html,2026-05-02 22:17:22,39.879434,116.260206
岳各庄,整租·丰体时代花园 1室1厅 西北,整租,丰体时代花园,丰台区-岳各庄-丰体时代花园,50.30,1室1厅,西北,,4500,89.5,,,https://bj.lianjia.com/zufang/BJ2144285020255158272.html,2026-05-02 22:17:22,39.866,116.264313
岳各庄,整租·丰体时代花园 1室0厅 南,整租,丰体时代花园,丰台区-岳各庄-丰体时代花园,33.45,1室0厅,南,,3600,107.6,,,https://bj.lianjia.com/zufang/BJ1778450419358367744.html,2026-05-02 22:18:00,39.866,116.264313
