region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yuetan,整租·三里河三区 3室1厅 南/北,整租,三里河三区,西城区-月坛-三里河三区,76.40,3室1厅,南/北,,7500,98.2,,,https://bj.lianjia.com/zufang/BJ2153867007492096000.html,2026-05-02 20:24:32,39.910606,116.335798
yuetan,整租·三里河一区 3室1厅 东/西,整租,三里河一区,西城区-月坛-三里河一区,66.60,3室1厅,东/西,,6300,94.6,,,https://bj.lianjia.com/zufang/BJ2053082397863313408.html,2026-05-02 20:24:14,39.910606,116.335798
yuetan,整租·三里河一区 1室1厅 南,整租,三里河一区,西城区-月坛-三里河一区,58.90,1室1厅,南,,5800,98.5,,,https://bj.lianjia.com/zufang/BJ2159217955777282048.html,2026-05-02 20:25:05,39.910606,116.335798
yuetan,整租·铁二区 2室1厅 南,整租,铁二区,西城区-月坛-铁二区,60.70,2室1厅,南,,7500,123.6,,,https://bj.lianjia.com/zufang/BJ2153788290661089280.html,2026-05-02 20:24:14,39.905366,116.342038
yuetan,整租·月坛北街25号院 2室1厅 南/北,整租,月坛北街25号院,西城区-月坛-月坛北街,49.60,2室1厅,南/北,,6300,127.0,,,https://bj.lianjia.com/zufang/BJ1874719518614355968.html,2026-05-02 20:25:25,39.920286,116.329638
yuetan,独栋·北京安家 物资部大院店 T318超赞公寓LOFT复式，厨卫全甘家口 地铁/海军阜外医 1室1厅,独栋,北京安家 物资部大院店 T318超赞公寓LOFT复式，厨卫全甘家口 地铁/海军阜外医,,26.00,1室1厅,,,5350,205.8,,,https://bj.lianjia.com/apartment/98638.html,2026-05-02 20:24:14,39.955415,116.468351
yuetan,整租·月坛北街25号院 1室1厅 南/北,整租,月坛北街25号院,西城区-月坛-月坛北街,43.30,1室1厅,南/北,,6300,145.5,,,https://bj.lianjia.com/zufang/BJ2152293323740545024.html,2026-05-02 20:24:14,39.920286,116.329638
yuetan,整租·南礼士路 3室1厅 东/西,整租,南礼士路,西城区-月坛-南礼士路,81.50,3室1厅,东/西,,11200,137.4,,,https://bj.lianjia.com/zufang/BJ2049752624097394688.html,2026-05-02 20:24:32,39.911416,116.346921
yuetan,整租·月坛南街小四道口 1室1厅 东,整租,月坛南街小四道口,西城区-月坛-月坛南街小四道口,41.50,1室1厅,东,,5800,139.8,,,https://bj.lianjia.com/zufang/BJ2021176199811694592.html,2026-05-02 20:25:32,39.914946,116.341211
yuetan,整租·铁二区 2室1厅 南/北,整租,铁二区,西城区-月坛-铁二区,60.50,2室1厅,南/北,,7600,125.6,,,https://bj.lianjia.com/zufang/BJ2118636953455820800.html,2026-05-02 20:24:14,39.905366,116.342038
yuetan,整租·三里河东路 1室1厅 南,整租,三里河东路,西城区-月坛-三里河东路,47.40,1室1厅,南,,7500,158.2,,,https://bj.lianjia.com/zufang/BJ2111821490558074880.html,2026-05-02 20:24:14,39.915186,116.339068
yuetan,整租·复兴门北大街 3室1厅 西南/北,整租,复兴门北大街,西城区-月坛-复兴门北大街,71.60,3室1厅,西南/北,,9700,135.5,,,https://bj.lianjia.com/zufang/BJ2151513597757358080.html,2026-05-02 20:24:14,39.911716,116.349968
yuetan,整租·月坛西街乙2号院 3室1厅 南/北,整租,月坛西街乙2号院,西城区-月坛-月坛西街乙,71.20,3室1厅,南/北,,12300,172.8,,,https://bj.lianjia.com/zufang/BJ2146539548685893632.html,2026-05-02 20:24:14,39.916366,116.343978
yuetan,整租·铁二区 1室1厅 南/北,整租,铁二区,西城区-月坛-铁二区,46.80,1室1厅,南/北,,6500,138.9,,,https://bj.lianjia.com/zufang/BJ2153765587686260736.html,2026-05-02 20:24:14,39.905366,116.342038
yuetan,整租·三里河三区 1室1厅 南,整租,三里河三区,西城区-月坛-三里河三区,48.00,1室1厅,南,,6400,133.3,,,https://bj.lianjia.com/zufang/BJ2022603884190498816.html,2026-05-02 20:25:32,39.910606,116.335798
yuetan,整租·南礼士路甲62号院 2室1厅 南,整租,南礼士路甲62号院,西城区-月坛-南礼士路甲,56.10,2室1厅,南,,6930,123.5,,,https://bj.lianjia.com/zufang/BJ1846439724625952768.html,2026-05-02 20:24:14,39.908076,116.347738
yuetan,整租·三里河二区 2室1厅 南/北,整租,三里河二区,西城区-月坛-三里河二区,55.40,2室1厅,南/北,,7800,140.8,,,https://bj.lianjia.com/zufang/BJ2153370719860293632.html,2026-05-02 20:24:32,39.910606,116.335798
yuetan,整租·三里河一区 2室1厅 东/南/西,整租,三里河一区,西城区-月坛-三里河一区,70.00,2室1厅,东/南/西,,8800,125.7,,,https://bj.lianjia.com/zufang/BJ2158830835791298560.html,2026-05-02 20:24:32,39.910606,116.335798
