region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
yuquanlu11,整租·金隅山墅 4室2厅 复式 南/北,整租,金隅山墅,海淀区-玉泉路-金隅山墅,224.00,4室2厅,,,18000,80.4,,,https://bj.lianjia.com/zufang/BJ2143962656636141568.html,2026-05-02 21:59:44,,
yuquanlu11,整租·玉海园二里 2室1厅 南/北,整租,玉海园二里,海淀区-玉泉路-玉海园二里,64.29,2室1厅,南/北,,5700,88.7,,,https://bj.lianjia.com/zufang/BJ2049511913666117632.html,2026-05-02 22:00:37,,
yuquanlu11,整租·玉泉新城B区 2室1厅 南/北,整租,玉泉新城B区,石景山区-玉泉路-玉泉新城,103.10,2室1厅,南/北,,7900,76.6,,,https://bj.lianjia.com/zufang/BJ2146905906808356864.html,2026-05-02 21:59:44,,
yuquanlu11,整租·北太平路18号院 3室2厅 东,整租,北太平路18号院,海淀区-玉泉路-北太平路,122.00,3室2厅,东,,8900,73.0,,,https://bj.lianjia.com/zufang/BJ2143945504881377280.html,2026-05-02 21:59:44,,
yuquanlu11,整租·金隅瑞和园 1室0厅 南,整租,金隅瑞和园,海淀区-玉泉路-金隅瑞和园,38.78,1室0厅,南,,3500,90.3,,,https://bj.lianjia.com/zufang/BJ2146291900921937920.html,2026-05-02 22:00:37,,
yuquanlu11,整租·玉泉新城A区 2室1厅 北,整租,玉泉新城A区,海淀区-玉泉路-玉泉新城,96.30,2室1厅,北,,7030,73.0,,,https://bj.lianjia.com/zufang/BJ1862140240932634624.html,2026-05-02 21:59:44,,
yuquanlu11,整租·玉泉路228号家属楼 3室1厅 南/北,整租,玉泉路228号家属楼,石景山区-玉泉路-玉泉路,72.70,3室1厅,南/北,,5400,74.3,,,https://bj.lianjia.com/zufang/BJ2094041904239869952.html,2026-05-02 21:59:44,,
yuquanlu11,整租·金隅瑞和园 1室0厅 南,整租,金隅瑞和园,海淀区-玉泉路-金隅瑞和园,38.78,1室0厅,南,,3600,92.8,,,https://bj.lianjia.com/zufang/BJ2149707491661840384.html,2026-05-02 21:59:44,,
yuquanlu11,整租·园林小区 2室1厅 南,整租,园林小区,石景山区-玉泉路-园林小区,81.04,2室1厅,南,,5700,70.3,,,https://bj.lianjia.com/zufang/BJ2144096807372718080.html,2026-05-02 21:59:44,,
yuquanlu11,整租·玉泉新城A区 1室1厅 南,整租,玉泉新城A区,海淀区-玉泉路-玉泉新城,55.00,1室1厅,南,,5200,94.5,,,https://bj.lianjia.com/zufang/BJ2157828453104091136.html,2026-05-02 21:59:44,,
yuquanlu11,整租·金隅瑞和园 1室1厅 南/北,整租,金隅瑞和园,海淀区-玉泉路-金隅瑞和园,56.00,1室1厅,南/北,,4500,80.4,,,https://bj.lianjia.com/zufang/BJ2095970744084201472.html,2026-05-02 21:59:44,,
yuquanlu11,整租·玉景阳光 1室1厅 西,整租,玉景阳光,石景山区-玉泉路-玉景阳光,47.97,1室1厅,西,,5050,105.3,,,https://bj.lianjia.com/zufang/BJ1873345502565629952.html,2026-05-02 22:00:34,,
yuquanlu11,整租·玉海园三里 4室2厅 复式 南/北,整租,玉海园三里,海淀区-玉泉路-玉海园三里,136.05,4室2厅,,,8600,63.2,,,https://bj.lianjia.com/zufang/BJ2035686958902018048.html,2026-05-02 21:59:44,,
