region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhaoyangqita,整租·将府锦苑5号院 2室1厅 南/北,整租,将府锦苑5号院,朝阳区-朝阳其它-将府锦苑,101.67,2室1厅,南/北,,6300,62.0,,,https://bj.lianjia.com/zufang/BJ2156708629519007744.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·将府锦苑5号院 2室1厅 南,整租,将府锦苑5号院,朝阳区-朝阳其它-将府锦苑,74.85,2室1厅,南,,6150,82.2,,,https://bj.lianjia.com/zufang/BJ2154192148407255040.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·建发·望京养云 4室1厅 南/北,整租,建发·望京养云,朝阳区-朝阳其它-建发,124.02,4室1厅,南/北,,10000,80.6,,,https://bj.lianjia.com/zufang/BJ2132683930011172864.html,2026-05-02 21:27:16,39.992986,116.491528
zhaoyangqita,整租·京投发展·北熙区 2室1厅 南,整租,京投发展·北熙区,朝阳区-朝阳其它-京投发展,80.32,2室1厅,南,,8000,99.6,,,https://bj.lianjia.com/zufang/BJ2150645775200157696.html,2026-05-02 21:27:16,39.956411,116.45696
zhaoyangqita,整租·将府锦苑2号院 2室1厅 南/北,整租,将府锦苑2号院,朝阳区-朝阳其它-将府锦苑,100.00,2室1厅,南/北,,7500,75.0,,,https://bj.lianjia.com/zufang/BJ2151972749369671680.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,独栋·天盛嘉寓 瑞宝公寓 独栋青年社区公寓、45平米朝南的大一居室、整租、大外窗、阳光无遮挡，独立厨卫 1室1厅,独栋,天盛嘉寓 瑞宝公寓 独栋青年社区公寓、45平米朝南的大一居室、整租、大外窗、阳光无遮挡，独立厨卫,,45.00,1室1厅,,,3000,66.7,,,https://bj.lianjia.com/apartment/103709.html,2026-05-02 21:27:16,40.053296,116.402568
zhaoyangqita,整租·华樾国际领尚 3室1厅 南,整租,华樾国际领尚,朝阳区-朝阳其它-华樾国际领尚,96.00,3室1厅,南,,8500,88.5,,,https://bj.lianjia.com/zufang/BJ2151574815150964736.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·晏河湾家园二区 2室1厅 南,整租,晏河湾家园二区,朝阳区-朝阳其它-晏河湾家园二区,79.45,2室1厅,南,,6500,81.8,,,https://bj.lianjia.com/zufang/BJ2155695532020858880.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·建发·望京养云 3室2厅 南/北,整租,建发·望京养云,朝阳区-朝阳其它-建发,123.00,3室2厅,南/北,,10000,81.3,,,https://bj.lianjia.com/zufang/BJ2158146454189768704.html,2026-05-02 21:27:16,39.992986,116.491528
zhaoyangqita,整租·德贤御府 4室1厅 南/北,整租,德贤御府,朝阳区-朝阳其它-德贤御府,145.25,4室1厅,南/北,,13000,89.5,,,https://bj.lianjia.com/zufang/BJ2127615318778970112.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·晏河湾家园六区 2室1厅 南,整租,晏河湾家园六区,朝阳区-朝阳其它-晏河湾家园六区,79.56,2室1厅,南,,6300,79.2,,,https://bj.lianjia.com/zufang/BJ2160312846292877312.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·晏河湾家园七区 2室1厅 南/北,整租,晏河湾家园七区,朝阳区-朝阳其它-晏河湾家园七区,80.89,2室1厅,南/北,,5700,70.5,,,https://bj.lianjia.com/zufang/BJ1890325790290083840.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·和光悦府 4室2厅 南/北,整租,和光悦府,朝阳区-朝阳其它-和光悦府,121.80,4室2厅,南/北,,13600,111.7,,,https://bj.lianjia.com/zufang/BJ2160703810262007808.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·德贤御府 3室1厅 南/北,整租,德贤御府,朝阳区-朝阳其它-德贤御府,88.00,3室1厅,南/北,,8700,98.9,,,https://bj.lianjia.com/zufang/BJ2156351608462508032.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·建发·望京养云 4室2厅 南/北,整租,建发·望京养云,朝阳区-朝阳其它-建发,124.00,4室2厅,南/北,,10400,83.9,,,https://bj.lianjia.com/zufang/BJ2009921705480290304.html,2026-05-02 21:27:16,39.992986,116.491528
zhaoyangqita,整租·晏河湾家园一区 1室1厅 东/西,整租,晏河湾家园一区,朝阳区-朝阳其它-晏河湾家园一区,55.87,1室1厅,东/西,,5000,89.5,,,https://bj.lianjia.com/zufang/BJ2152759536912433152.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·华樾国际 4室1厅 南/北,整租,华樾国际,朝阳区-朝阳其它-华樾国际,126.00,4室1厅,南/北,,13800,109.5,,,https://bj.lianjia.com/zufang/BJ2154058538572316672.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·晏河湾家园五区 2室1厅 南/北,整租,晏河湾家园五区,朝阳区-朝阳其它-晏河湾家园五区,80.00,2室1厅,南/北,,6000,75.0,,,https://bj.lianjia.com/zufang/BJ1890357843345801216.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·将府锦苑5号院 2室1厅 南/北,整租,将府锦苑5号院,朝阳区-朝阳其它-将府锦苑,101.00,2室1厅,南/北,,6500,64.4,,,https://bj.lianjia.com/zufang/BJ2155247425223131136.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·将府锦苑5号院 1室1厅 南,整租,将府锦苑5号院,朝阳区-朝阳其它-将府锦苑,51.56,1室1厅,南,,4800,93.1,,,https://bj.lianjia.com/zufang/BJ2160661090130722816.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·将府锦苑2号院 2室1厅 南,整租,将府锦苑2号院,朝阳区-朝阳其它-将府锦苑,75.70,2室1厅,南,,6300,83.2,,,https://bj.lianjia.com/zufang/BJ2159578417463296000.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·建发·望京养云 4室1厅 南/北,整租,建发·望京养云,朝阳区-朝阳其它-建发,123.00,4室1厅,南/北,,10500,85.4,,,https://bj.lianjia.com/zufang/BJ2156253048828067840.html,2026-05-02 21:27:16,39.992986,116.491528
zhaoyangqita,整租·龙樾合玺 4室2厅 南,整租,龙樾合玺,朝阳区-朝阳其它-龙樾合玺,126.63,4室2厅,南,,13500,106.6,,,https://bj.lianjia.com/zufang/BJ2152726601333211136.html,2026-05-02 21:27:16,39.938192,116.469265
zhaoyangqita,整租·将府锦苑2号院 1室1厅 南,整租,将府锦苑2号院,朝阳区-朝阳其它-将府锦苑,51.57,1室1厅,南,,5000,97.0,,,https://bj.lianjia.com/zufang/BJ1879507498667343872.html,2026-05-02 21:27:16,39.938192,116.469265
