region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhelin,整租·海韵馨苑 2室1厅 南/北,整租,海韵馨苑,奉贤-柘林-海韵馨苑,99.28,2室1厅,南/北,,2500,25.2,,,https://sh.lianjia.com/zufang/SH2012114453729902592.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 3室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,132.14,3室2厅,南,,2600,19.7,,,https://sh.lianjia.com/zufang/SH2116022383901933568.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 2室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,99.60,2室2厅,南,,2520,25.3,,,https://sh.lianjia.com/zufang/SH2015278787087826944.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 2室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,106.53,2室2厅,南,,2940,27.6,,,https://sh.lianjia.com/zufang/SH2143336294837649408.html,2026-04-23 17:41:32,,
zhelin,整租·中国中铁世纪尚城 3室2厅 南,整租,中国中铁世纪尚城,奉贤-柘林-中国中铁世纪尚城,117.48,3室2厅,南,,3500,29.8,,,https://sh.lianjia.com/zufang/SH2110680361477341184.html,2026-04-23 17:41:32,,
zhelin,整租·中国中铁世纪尚城 2室2厅 南/北,整租,中国中铁世纪尚城,奉贤-柘林-中国中铁世纪尚城,72.93,2室2厅,南/北,,2200,30.2,,,https://sh.lianjia.com/zufang/SH2154176412125233152.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 3室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,225.73,3室2厅,南,,4200,18.6,,,https://sh.lianjia.com/zufang/SH2015044638544494592.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 2室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,99.81,2室2厅,南,,2200,22.0,,,https://sh.lianjia.com/zufang/SH2154089124577935360.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 3室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,131.35,3室2厅,南,,2700,20.6,,,https://sh.lianjia.com/zufang/SH2137736103426260992.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 2室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,110.59,2室2厅,南,,2700,24.4,,,https://sh.lianjia.com/zufang/SH2141828712138539008.html,2026-04-23 17:41:32,,
zhelin,整租·如意璟园 2室2厅 南,整租,如意璟园,奉贤-柘林-如意璟园,98.00,2室2厅,南,,2300,23.5,,,https://sh.lianjia.com/zufang/SH2154861922145533952.html,2026-04-23 17:41:32,,
zhelin,整租·绿地铂晶舍 3室2厅 南,整租,绿地铂晶舍,奉贤-柘林-绿地铂晶舍,89.45,3室2厅,南,,2300,25.7,,,https://sh.lianjia.com/zufang/SH2154878876898033664.html,2026-04-23 17:41:32,,
zhelin,整租·中国中铁世纪尚城 2室1厅 南,整租,中国中铁世纪尚城,奉贤-柘林-中国中铁世纪尚城,73.00,2室1厅,南,,2400,32.9,,,https://sh.lianjia.com/zufang/SH2150604043452416000.html,2026-04-23 17:41:32,,
zhelin,整租·海岸景苑 2室2厅 南,整租,海岸景苑,奉贤-柘林-海岸景苑,92.83,2室2厅,南,,1800,19.4,,,https://sh.lianjia.com/zufang/SH2118624070353289216.html,2026-04-23 17:41:32,,
zhelin,整租·绿地铂晶舍 3室2厅 南,整租,绿地铂晶舍,奉贤-柘林-绿地铂晶舍,132.02,3室2厅,南,,2600,19.7,,,https://sh.lianjia.com/zufang/SH2108154368632029184.html,2026-04-23 17:41:32,,
zhelin,整租·乐怡苑(奉贤) 3室2厅 南,整租,乐怡苑(奉贤),奉贤-柘林-乐怡苑(奉贤),127.00,3室2厅,南,,2700,21.3,,,https://sh.lianjia.com/zufang/SH2115329735734067200.html,2026-04-23 17:41:32,,
zhelin,整租·绿地铂晶舍 2室1厅 东南,整租,绿地铂晶舍,奉贤-柘林-绿地铂晶舍,85.52,2室1厅,东南,,1800,21.0,,,https://sh.lianjia.com/zufang/SH2151189798298058752.html,2026-04-23 17:41:32,,
zhelin,整租·中国中铁世纪尚城 2室1厅 南,整租,中国中铁世纪尚城,奉贤-柘林-中国中铁世纪尚城,73.26,2室1厅,南,,2300,31.4,,,https://sh.lianjia.com/zufang/SH2146623318390734848.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 4室1厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,103.56,4室1厅,南,,2600,25.1,,,https://sh.lianjia.com/zufang/SH2150452910872330240.html,2026-04-23 17:41:32,,
zhelin,整租·如意雅园 3室1厅 南,整租,如意雅园,奉贤-柘林-如意雅园,103.00,3室1厅,南,,2400,23.3,,,https://sh.lianjia.com/zufang/SH2137785678782529536.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 4室1厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,132.51,4室1厅,南,,3000,22.6,,,https://sh.lianjia.com/zufang/SH2150968862156259328.html,2026-04-23 17:41:32,,
zhelin,整租·绿地铂晶舍 3室1厅 南,整租,绿地铂晶舍,奉贤-柘林-绿地铂晶舍,95.52,3室1厅,南,,2400,25.1,,,https://sh.lianjia.com/zufang/SH2146507538651152384.html,2026-04-23 17:41:32,,
zhelin,整租·海岸景苑 3室2厅 南/北,整租,海岸景苑,奉贤-柘林-海岸景苑,125.76,3室2厅,南/北,,2500,19.9,,,https://sh.lianjia.com/zufang/SH2143280760625299456.html,2026-04-23 17:41:32,,
zhelin,整租·如意璟园 2室1厅 南,整租,如意璟园,奉贤-柘林-如意璟园,100.00,2室1厅,南,,1950,19.5,,,https://sh.lianjia.com/zufang/SH2154568069408620544.html,2026-04-23 17:41:32,,
zhelin,整租·乐怡苑(奉贤) 2室2厅 南,整租,乐怡苑(奉贤),奉贤-柘林-乐怡苑(奉贤),95.56,2室2厅,南,,2100,22.0,,,https://sh.lianjia.com/zufang/SH2091096423121551360.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 4室2厅 复式 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,225.00,4室2厅,,,6000,26.7,,,https://sh.lianjia.com/zufang/SH2149764032930775040.html,2026-04-23 17:41:32,,
zhelin,整租·海岸景苑 2室1厅 南,整租,海岸景苑,奉贤-柘林-海岸景苑,93.00,2室1厅,南,,2100,22.6,,,https://sh.lianjia.com/zufang/SH2143583886989328384.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 3室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,220.00,3室2厅,南,,5000,22.7,,,https://sh.lianjia.com/zufang/SH2144454697786802176.html,2026-04-23 17:41:32,,
zhelin,整租·海韵馨苑 2室2厅 南,整租,海韵馨苑,奉贤-柘林-海韵馨苑,106.53,2室2厅,南,,2700,25.3,,,https://sh.lianjia.com/zufang/SH2153326693262032896.html,2026-04-23 17:41:32,,
zhelin,整租·绿地铂晶舍 3室2厅 南,整租,绿地铂晶舍,奉贤-柘林-绿地铂晶舍,131.00,3室2厅,南,,2600,19.8,,,https://sh.lianjia.com/zufang/SH2141472991609880576.html,2026-04-23 17:41:32,,
