region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhenguang,整租·阳光威尼斯(三期) 2室1厅 东/西,整租,阳光威尼斯(三期),普陀-真光-阳光威尼斯(三期),76.00,2室1厅,东/西,,4830,63.6,,,https://sh.lianjia.com/zufang/SH2034172325644992512.html,2026-04-23 15:33:10,,
zhenguang,整租·富颐星成公馆 1室1厅 西,整租,富颐星成公馆,普陀-真光-富颐星成公馆,55.00,1室1厅,西,,4300,78.2,,,https://sh.lianjia.com/zufang/SH2157125203774144512.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯AB区 2室2厅 南/北,整租,阳光威尼斯AB区,普陀-真光-阳光威尼斯,96.95,2室2厅,南/北,,6000,61.9,,,https://sh.lianjia.com/zufang/SH2020498476172836864.html,2026-04-23 15:33:10,,
zhenguang,独栋·致寓青年暖家 真如店 超大露台超低折扣，全屋定制，智能家电，管家贴心服务居住更安心，随时可看房。 1室1厅,独栋,致寓青年暖家 真如店,,21.00,1室1厅,,,4199,200.0,,,https://sh.lianjia.com/apartment/88801.html,2026-04-23 15:33:10,,
zhenguang,整租·富颐星成公馆 1室1厅 东,整租,富颐星成公馆,普陀-真光-富颐星成公馆,55.31,1室1厅,东,,4300,77.7,,,https://sh.lianjia.com/zufang/SH1875430407143424000.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯C区 1室1厅 南,整租,阳光威尼斯C区,普陀-真光-阳光威尼斯,58.46,1室1厅,南,,4200,71.8,,,https://sh.lianjia.com/zufang/SH2151985026055536640.html,2026-04-23 15:33:10,,
zhenguang,整租·清涧二街坊 2室1厅 南/北,整租,清涧二街坊,普陀-真光-清涧二街坊,68.00,2室1厅,南/北,,4600,67.6,,,https://sh.lianjia.com/zufang/SH2130262371669639168.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯C区 3室2厅 南,整租,阳光威尼斯C区,普陀-真光-阳光威尼斯,120.00,3室2厅,南,,6500,54.2,,,https://sh.lianjia.com/zufang/SH2007802563763634176.html,2026-04-23 15:33:10,,
zhenguang,整租·中鼎豪园 3室2厅 南,整租,中鼎豪园,普陀-真光-中鼎豪园,117.67,3室2厅,南,,7455,63.4,,,https://sh.lianjia.com/zufang/SH2010209823383093248.html,2026-04-23 15:33:10,,
zhenguang,整租·真光十小区 1室1厅 南,整租,真光十小区,普陀-真光-真光十小区,48.00,1室1厅,南,,3780,78.8,,,https://sh.lianjia.com/zufang/SH1828668056973344768.html,2026-04-23 15:33:10,,
zhenguang,整租·清涧七街坊 1室1厅 南,整租,清涧七街坊,普陀-真光-清涧七街坊,50.63,1室1厅,南,,4690,92.6,,,https://sh.lianjia.com/zufang/SH1869669301863055360.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯(三期) 2室1厅 东/西,整租,阳光威尼斯(三期),普陀-真光-阳光威尼斯(三期),76.00,2室1厅,东/西,,5250,69.1,,,https://sh.lianjia.com/zufang/SH2030954843035664384.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯(三期) 3室1厅 南,整租,阳光威尼斯(三期),普陀-真光-阳光威尼斯(三期),110.05,3室1厅,南,,8759,79.6,,,https://sh.lianjia.com/zufang/SH1850078721822687232.html,2026-04-23 15:33:10,,
zhenguang,整租·清涧三街坊 2室1厅 南,整租,清涧三街坊,普陀-真光-清涧三街坊,79.00,2室1厅,南,,5775,73.1,,,https://sh.lianjia.com/zufang/SH2009537968833822720.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯(三期) 2室2厅 东/西,整租,阳光威尼斯(三期),普陀-真光-阳光威尼斯(三期),90.49,2室2厅,东/西,,6100,67.4,,,https://sh.lianjia.com/zufang/SH2140659073811480576.html,2026-04-23 15:33:10,,
zhenguang,整租·真光九街坊 1室1厅 南,整租,真光九街坊,普陀-真光-真光九街坊,37.48,1室1厅,南,,4430,118.2,,,https://sh.lianjia.com/zufang/SH2897504097328431104.html,2026-04-23 15:33:10,,
zhenguang,整租·真光新村第二小区 1室1厅 南,整租,真光新村第二小区,普陀-真光-真光新村第二小区,51.00,1室1厅,南,,3780,74.1,,,https://sh.lianjia.com/zufang/SH2154514994006327296.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯C区 2室1厅 南,整租,阳光威尼斯C区,普陀-真光-阳光威尼斯,78.74,2室1厅,南,,4800,61.0,,,https://sh.lianjia.com/zufang/SH2142111698830491648.html,2026-04-23 15:33:10,,
zhenguang,整租·长征家苑 1室1厅 南,整租,长征家苑,普陀-真光-长征家苑,63.13,1室1厅,南,,6160,97.6,,,https://sh.lianjia.com/zufang/SH2153833288127479808.html,2026-04-23 15:33:10,,
zhenguang,整租·真光九街坊 1室1厅 南/北,整租,真光九街坊,普陀-真光-真光九街坊,41.10,1室1厅,南/北,,3255,79.2,,,https://sh.lianjia.com/zufang/SH1858737847926784000.html,2026-04-23 15:33:10,,
zhenguang,整租·真光七街坊 1室1厅 南,整租,真光七街坊,普陀-真光-真光七街坊,36.10,1室1厅,南,,4230,117.2,,,https://sh.lianjia.com/zufang/SH1756320812933054464.html,2026-04-23 15:33:10,,
zhenguang,整租·富颐星成公馆 1室1厅 东,整租,富颐星成公馆,普陀-真光-富颐星成公馆,58.49,1室1厅,东,,4300,73.5,,,https://sh.lianjia.com/zufang/SH2037143261360947200.html,2026-04-23 15:33:10,,
zhenguang,整租·长征家苑 1室1厅 南,整租,长征家苑,普陀-真光-长征家苑,63.84,1室1厅,南,,5890,92.3,,,https://sh.lianjia.com/zufang/SH1987826849102692352.html,2026-04-23 15:33:10,,
zhenguang,整租·阳光威尼斯(二期) 2室2厅 南,整租,阳光威尼斯(二期),普陀-真光-阳光威尼斯(二期),104.00,2室2厅,南,,6300,60.6,,,https://sh.lianjia.com/zufang/SH2122984579206742016.html,2026-04-23 15:33:10,,
zhenguang,整租·昆仑花苑 5室3厅 南,整租,昆仑花苑,普陀-真光-昆仑花苑,114.00,5室3厅,南,,9000,78.9,,,https://sh.lianjia.com/zufang/SH2127970919715438592.html,2026-04-23 15:33:10,,
zhenguang,整租·清涧四街坊 3室1厅 南,整租,清涧四街坊,普陀-真光-清涧四街坊,89.00,3室1厅,南,,5400,60.7,,,https://sh.lianjia.com/zufang/SH2139297896913174528.html,2026-04-23 15:33:10,,
zhenguang,整租·真光新村第五小区 2室1厅 南,整租,真光新村第五小区,普陀-真光-真光新村第五小区,62.75,2室1厅,南,,4600,73.3,,,https://sh.lianjia.com/zufang/SH2139746587054702592.html,2026-04-23 15:33:10,,
