region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhiwuyuan,整租·华沁家园 1室1厅 南,整租,华沁家园,徐汇-植物园-华沁家园,55.59,1室1厅,南,,4935,88.8,,,https://sh.lianjia.com/zufang/SH2037460286394335232.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·罗秀三村 3室1厅 南,整租,罗秀三村,徐汇-植物园-罗秀三村,76.54,3室1厅,南,,6200,81.0,,,https://sh.lianjia.com/zufang/SH2150542171206320128.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华沁家园 2室1厅 南,整租,华沁家园,徐汇-植物园-华沁家园,89.89,2室1厅,南,,6720,74.8,,,https://sh.lianjia.com/zufang/SH2051980325365481472.html,2026-04-23 15:09:18,,
zhiwuyuan,独栋·CCB建融家园 城开·汇社区 近上中国际，近徐汇万科，双独立套卫，民用水电燃，没有中介费，近西岸。 2室1厅,独栋,CCB建融家园 城开·汇社区,,75.00,2室1厅,,,9990,133.2,,,https://sh.lianjia.com/apartment/54263.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·中恒苑 2室1厅 南,整租,中恒苑,徐汇-植物园-中恒苑,59.30,2室1厅,南,,4935,83.2,,,https://sh.lianjia.com/zufang/SH2026954469949833216.html,2026-04-23 15:09:18,,
zhiwuyuan,独栋·魔方公寓 徐汇滨江店 近15号线罗秀路地铁 带院子的精装一室 家电齐全 开间,独栋,魔方公寓 徐汇滨江店,,30.00,,,,4460,148.7,,,https://sh.lianjia.com/apartment/78337.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·罗秀三村 2室1厅 南,整租,罗秀三村,徐汇-植物园-罗秀三村,48.97,2室1厅,南,,4800,98.0,,,https://sh.lianjia.com/zufang/SH2156980970002055168.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华沁家园 2室1厅 南,整租,华沁家园,徐汇-植物园-华沁家园,90.27,2室1厅,南,,7800,86.4,,,https://sh.lianjia.com/zufang/SH2143632473165135872.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·罗秀三村 1室1厅 南,整租,罗秀三村,徐汇-植物园-罗秀三村,36.97,1室1厅,南,,3500,94.7,,,https://sh.lianjia.com/zufang/SH2148378088205975552.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·罗秀三村 1室1厅 南,整租,罗秀三村,徐汇-植物园-罗秀三村,38.55,1室1厅,南,,4294,111.4,,,https://sh.lianjia.com/zufang/SH2020349335396417536.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·园南新村 2室1厅 东南,整租,园南新村,徐汇-植物园-园南新村,69.91,2室1厅,东南,,5000,71.5,,,https://sh.lianjia.com/zufang/SH1989629934879899648.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·园南新村 2室1厅 南,整租,园南新村,徐汇-植物园-园南新村,56.40,2室1厅,南,,4400,78.0,,,https://sh.lianjia.com/zufang/SH2039369433343852544.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·罗秀三村 2室1厅 南/北,整租,罗秀三村,徐汇-植物园-罗秀三村,62.00,2室1厅,南/北,,5300,85.5,,,https://sh.lianjia.com/zufang/SH1938917338338295808.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华滨家园 2室2厅 南,整租,华滨家园,徐汇-植物园-华滨家园,89.64,2室2厅,南,,7900,88.1,,,https://sh.lianjia.com/zufang/SH2138961927974420480.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·园南新村 3室1厅 南/北,整租,园南新村,徐汇-植物园-园南新村,72.20,3室1厅,南/北,,6667,92.3,,,https://sh.lianjia.com/zufang/SH2138207632379346944.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华沁家园 2室2厅 南,整租,华沁家园,徐汇-植物园-华沁家园,89.66,2室2厅,南,,7200,80.3,,,https://sh.lianjia.com/zufang/SH2144820981330345984.html,2026-04-23 15:09:18,,
zhiwuyuan,独栋·壹间公寓 上海南站店 [漕河泾国企新开业公寓] 阳台户型 管家直租 可月付 1室1厅,独栋,壹间公寓 上海南站店,,37.00,1室1厅,,,4803,129.8,,,https://sh.lianjia.com/apartment/78639.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·东泉小区 1室1厅 南,整租,东泉小区,徐汇-植物园-东泉小区,47.86,1室1厅,南,,4700,98.2,,,https://sh.lianjia.com/zufang/SH2143590883331670016.html,2026-04-23 15:09:18,,
zhiwuyuan,独栋·壹间公寓 汇青苑·壹间 西岸高质量社区，绿意环绕，近南站日月光，特价促 1室1厅,独栋,壹间公寓 汇青苑·壹间,,45.00,1室1厅,,,5658,125.7,,,https://sh.lianjia.com/apartment/78505.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·天龙苑 3室1厅 南,整租,天龙苑,徐汇-植物园-天龙苑,108.66,3室1厅,南,,9300,85.6,,,https://sh.lianjia.com/zufang/SH1678062680256020480.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华滨家园 1室1厅 南,整租,华滨家园,徐汇-植物园-华滨家园,55.62,1室1厅,南,,5300,95.3,,,https://sh.lianjia.com/zufang/SH2147180026926202880.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·龙华花园 5室2厅 南,整租,龙华花园,徐汇-植物园-龙华花园,266.25,5室2厅,南,,30000,112.7,,,https://sh.lianjia.com/zufang/SH2113157909369061376.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华滨家园 2室2厅 南,整租,华滨家园,徐汇-植物园-华滨家园,90.23,2室2厅,南,,7800,86.4,,,https://sh.lianjia.com/zufang/SH2139350725073829888.html,2026-04-23 15:09:18,,
zhiwuyuan,整租·华沁家园 1室1厅 南,整租,华沁家园,徐汇-植物园-华沁家园,56.19,1室1厅,南,,5300,94.3,,,https://sh.lianjia.com/zufang/SH2146118394162708480.html,2026-04-23 15:09:18,,
