region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhongshangongyuan,整租·中阳小区 1室1厅 东/南,整租,中阳小区,长宁-中山公园-中阳小区,41.97,1室1厅,东/南,,4500,107.2,,,https://sh.lianjia.com/zufang/SH2147967483678556160.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·新时空国际商务广场 1室1厅 西,整租,新时空国际商务广场,长宁-中山公园-新时空国际商务广场,41.00,1室1厅,西,,4800,117.1,,,https://sh.lianjia.com/zufang/SH2155960864727891968.html,2026-04-23 13:19:50,,
zhongshangongyuan,整租·万华小区 2室1厅 南,整租,万华小区,长宁-中山公园-万华小区,66.79,2室1厅,南,,7500,112.3,,,https://sh.lianjia.com/zufang/SH2153734078115872768.html,2026-04-23 13:21:11,,
zhongshangongyuan,独栋·绿庭寓 中山公园店 长租公寓 干湿分离 无中介 家电齐全 开间,独栋,绿庭寓 中山公园店 长租公寓 干湿分离,,37.00,,,,4590-4650,,,,https://sh.lianjia.com/apartment/33162.html,2026-04-23 13:18:38,,
zhongshangongyuan,整租·家化小区 2室1厅 东/西,整租,家化小区,长宁-中山公园-家化小区,68.77,2室1厅,东/西,,6400,93.1,,,https://sh.lianjia.com/zufang/SH2154929949083959296.html,2026-04-23 13:21:01,,
zhongshangongyuan,整租·宁康小区 2室1厅 南,整租,宁康小区,长宁-中山公园-宁康小区,58.16,2室1厅,南,,5999,103.1,,,https://sh.lianjia.com/zufang/SH2156335221111259136.html,2026-04-23 13:21:11,,
zhongshangongyuan,整租·虹桥国际大厦 2室2厅 南/北,整租,虹桥国际大厦,长宁-中山公园-虹桥国际大厦,109.60,2室2厅,南/北,,11500,104.9,,,https://sh.lianjia.com/zufang/SH2152672213201846272.html,2026-04-23 13:19:02,,
zhongshangongyuan,整租·万航小区 2室1厅 南,整租,万航小区,长宁-中山公园-万航小区,60.83,2室1厅,南,,6300,103.6,,,https://sh.lianjia.com/zufang/SH1733733365258911744.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·绿地海怡公寓 1室1厅 东南,整租,绿地海怡公寓,长宁-中山公园-绿地海怡公寓,59.30,1室1厅,东南,,7000,118.0,,,https://sh.lianjia.com/zufang/SH1753783995415396352.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·武夷路337弄 1室1厅 南,整租,武夷路337弄,长宁-中山公园-武夷路,33.49,1室1厅,南,,3990,119.1,,,https://sh.lianjia.com/zufang/SH1682954675499827200.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·华阳路298弄 1室1厅 南/西,整租,华阳路298弄,长宁-中山公园-华阳路,30.50,1室1厅,南/西,,4000,131.1,,,https://sh.lianjia.com/zufang/SH1683328409024856064.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·强家渡小区 2室1厅 南,整租,强家渡小区,长宁-中山公园-强家渡小区,54.09,2室1厅,南,,5000,92.4,,,https://sh.lianjia.com/zufang/SH1813454436605886464.html,2026-04-23 13:21:11,,
zhongshangongyuan,整租·虹康昭晖苑 2室2厅 南/北,整租,虹康昭晖苑,长宁-中山公园-虹康昭晖苑,142.61,2室2厅,南/北,,18000,126.2,,,https://sh.lianjia.com/zufang/SH2152647592893218816.html,2026-04-23 13:18:38,,
zhongshangongyuan,整租·兆丰花园 2室2厅 东,整租,兆丰花园,长宁-中山公园-兆丰花园,139.02,2室2厅,东,,12500,89.9,,,https://sh.lianjia.com/zufang/SH2028092488866070528.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·遵义小区 1室1厅 东,整租,遵义小区,长宁-中山公园-遵义小区,31.23,1室1厅,东,,4800,153.7,,,https://sh.lianjia.com/zufang/SH2153026522523369472.html,2026-04-23 13:19:02,,
zhongshangongyuan,整租·新时空国际商务广场 1室1厅 东,整租,新时空国际商务广场,长宁-中山公园-新时空国际商务广场,40.62,1室1厅,东,,4500,110.8,,,https://sh.lianjia.com/zufang/SH2058940061612769280.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·宣化路227号 1室1厅 南,整租,宣化路227号,长宁-中山公园-宣化路,34.97,1室1厅,南,,4350,124.4,,,https://sh.lianjia.com/zufang/SH1978426497127415808.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·愚园公馆 2室1厅 南,整租,愚园公馆,长宁-中山公园-愚园公馆,157.55,2室1厅,南,,23500,149.2,,,https://sh.lianjia.com/zufang/SH2106781832258256896.html,2026-04-23 13:18:38,,
zhongshangongyuan,整租·新衡公寓 1室1厅 南,整租,新衡公寓,长宁-中山公园-新衡公寓,42.62,1室1厅,南,,6500,152.5,,,https://sh.lianjia.com/zufang/SH2153052974048346112.html,2026-04-23 13:19:02,,
zhongshangongyuan,整租·春天花园 2室1厅 南,整租,春天花园,长宁-中山公园-春天花园,106.00,2室1厅,南,,12500,117.9,,,https://sh.lianjia.com/zufang/SH2153734596028530688.html,2026-04-23 13:19:02,,
zhongshangongyuan,整租·绿地海怡公寓 2室1厅 东南,整租,绿地海怡公寓,长宁-中山公园-绿地海怡公寓,68.58,2室1厅,东南,,8500,123.9,,,https://sh.lianjia.com/zufang/SH2154545385337520128.html,2026-04-23 13:18:38,,
zhongshangongyuan,整租·国泰大厦 3室1厅 南,整租,国泰大厦,长宁-中山公园-国泰大厦,86.99,3室1厅,南,,9000,103.5,,,https://sh.lianjia.com/zufang/SH2155975530107633664.html,2026-04-23 13:18:59,,
zhongshangongyuan,整租·海华小区 1室2厅 东南,整租,海华小区,长宁-中山公园-海华小区,69.87,1室2厅,东南,,6214,88.9,,,https://sh.lianjia.com/zufang/SH1773995162804944896.html,2026-04-23 13:18:42,,
zhongshangongyuan,整租·天山三村 2室1厅 南,整租,天山三村,长宁-中山公园-天山三村,68.19,2室1厅,南,,6700,98.3,,,https://sh.lianjia.com/zufang/SH2151278720462094336.html,2026-04-23 13:19:02,,
zhongshangongyuan,整租·新时空国际商务广场 1室1厅 西南,整租,新时空国际商务广场,长宁-中山公园-新时空国际商务广场,41.30,1室1厅,西南,,4200,101.7,,,https://sh.lianjia.com/zufang/SH2013565985218363392.html,2026-04-23 13:18:42,,
zhongshangongyuan,独栋·阳光智寓 阳光智寓（娄山关路） 筑梦小居豪华房一房一厅(202/402) 1室1厅,独栋,阳光智寓 阳光智寓（娄山关路）,,50.00,1室1厅,,,8000-9000,,,,https://sh.lianjia.com/apartment/33269.html,2026-04-23 13:18:42,,
zhongshangongyuan,整租·新时空国际商务广场 1室1厅 东南,整租,新时空国际商务广场,长宁-中山公园-新时空国际商务广场,41.00,1室1厅,东南,,4400,107.3,,,https://sh.lianjia.com/zufang/SH1983416430753742848.html,2026-04-23 13:21:11,,
zhongshangongyuan,独栋·恩泽物业 中山公园店 近中山公园+复式外窗房+海粟文化广场 1室1厅,独栋,恩泽物业 中山公园店 近中山公园+复式外窗房+海粟文化广场,,28.00,1室1厅,,,3880,138.6,,,https://sh.lianjia.com/apartment/40917.html,2026-04-23 13:18:42,,
zhongshangongyuan,整租·宁康小区 2室1厅 南/北,整租,宁康小区,长宁-中山公园-宁康小区,57.97,2室1厅,南/北,,5900,101.8,,,https://sh.lianjia.com/zufang/SH2027258373803606016.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·茅台路200弄 1室1厅 南,整租,茅台路200弄,长宁-中山公园-茅台路,47.00,1室1厅,南,,6120,130.2,,,https://sh.lianjia.com/zufang/SH1748196854991945728.html,2026-04-23 13:21:05,,
zhongshangongyuan,整租·安化路300弄 1室0厅 东,整租,安化路300弄,长宁-中山公园-安化路,40.50,1室0厅,东,,4935,121.9,,,https://sh.lianjia.com/zufang/SH2020052314542309376.html,2026-04-23 13:21:11,,
zhongshangongyuan,独栋·美寓公寓 中山西路店 长宁拼多多首选国企公寓 年底特惠 无中介 1室1厅,独栋,美寓公寓 中山西路店,,35.00,1室1厅,,,4499,128.5,,,https://sh.lianjia.com/apartment/104695.html,2026-04-23 13:18:42,,
zhongshangongyuan,整租·天山三村 2室1厅 南,整租,天山三村,长宁-中山公园-天山三村,56.75,2室1厅,南,,6900,121.6,,,https://sh.lianjia.com/zufang/SH1882763800852037632.html,2026-04-23 13:18:45,,
zhongshangongyuan,整租·新风小区 1室1厅 南,整租,新风小区,长宁-中山公园-新风小区,29.90,1室1厅,南,,4515,151.0,,,https://sh.lianjia.com/zufang/SH2024126789508399104.html,2026-04-23 13:21:11,,
zhongshangongyuan,独栋·baseLIVING 玉屏南路店 中山公园商圈甄选一室一厅，南向落地窗带一步式阳台，户型方正，静谧轻奢，配置桑拿房 1室1厅,独栋,baseLIVING 玉屏南路店,,70.00,1室1厅,,,16000,228.6,,,https://sh.lianjia.com/apartment/84892.html,2026-04-23 13:18:45,,
zhongshangongyuan,整租·三泾南宅 1室0厅 南,整租,三泾南宅,长宁-中山公园-三泾南宅,36.00,1室0厅,南,,4900,136.1,,,https://sh.lianjia.com/zufang/SH2068373074478104576.html,2026-04-23 13:21:05,,
