region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
中央别墅区,整租·龙湾别墅 6室3厅 东/南/西/北,整租,龙湾别墅,顺义区-中央别墅区-龙湾别墅,365.05,6室3厅,东/南/西/北,,130000,356.1,,,https://bj.lianjia.com/zufang/BJ2111746160724017152.html,2026-05-02 21:23:38,40.062014,116.541484
中央别墅区,整租·会展誉景 3房间 南,整租,会展誉景 3房间 南,顺义区-中央别墅区-会展誉景,98.27,,,,5300,53.9,,,https://bj.lianjia.com/zufang/BJ2140757210781712384.html,2026-05-02 21:26:39,40.062014,116.541484
中央别墅区,整租·优山美地B区 5室3厅 复式 南/北,整租,优山美地B区,顺义区-中央别墅区-优山美地,960.49,5室3厅,,,150000,156.2,,,https://bj.lianjia.com/zufang/BJ2107784613781831680.html,2026-05-02 21:25:34,40.062014,116.541484
中央别墅区,整租·懋源璟橒 7室5厅 东/南/西/北,整租,懋源璟橒,顺义区-中央别墅区-懋源璟橒,750.00,7室5厅,东/南/西/北,,130000,173.3,,,https://bj.lianjia.com/zufang/BJ2158805547120328704.html,2026-05-02 21:24:30,40.062014,116.541484
中央别墅区,整租·京奥港枫泉花园 2室1厅 南/北,整租,京奥港枫泉花园,顺义区-中央别墅区-京奥港枫泉花园,72.09,2室1厅,南/北,,4600,63.8,,,https://bj.lianjia.com/zufang/BJ2156638027634442240.html,2026-05-02 21:26:34,40.062014,116.541484
中央别墅区,独栋·众邦苑 孙河店 阳光大户型 开间,独栋,众邦苑 孙河店 阳光大户型 开间,,25.00,,,,1999,80.0,,,https://bj.lianjia.com/apartment/47166.html,2026-05-02 21:23:38,39.847129,116.558006
中央别墅区,整租·观唐 6室4厅 南/北,整租,观唐,朝阳区-中央别墅区-观唐,900.00,6室4厅,南/北,,160000,177.8,,,https://bj.lianjia.com/zufang/BJ2126580780342706176.html,2026-05-02 21:23:59,39.930106,116.471618
中央别墅区,整租·优山美地B区 5室3厅 复式 南/北,整租,优山美地B区,顺义区-中央别墅区-优山美地,790.72,5室3厅,,,118000,149.2,,,https://bj.lianjia.com/zufang/BJ1959533894176866304.html,2026-05-02 21:23:38,40.062014,116.541484
中央别墅区,整租·京奥港枫泉花园 2室1厅 南/北,整租,京奥港枫泉花园,顺义区-中央别墅区-京奥港枫泉花园,73.37,2室1厅,南/北,,4100,55.9,,,https://bj.lianjia.com/zufang/BJ2062194658976464896.html,2026-05-02 21:26:39,40.062014,116.541484
中央别墅区,整租·香江花园 6室4厅 东/西,整租,香江花园,朝阳区-中央别墅区-香江花园,450.00,6室4厅,东/西,,130000,288.9,,,https://bj.lianjia.com/zufang/BJ2115055092540375040.html,2026-05-02 21:25:34,39.930106,116.471618
