region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhoupu,整租·万科翡翠公园五期 3室3厅 东南,整租,万科翡翠公园五期,浦东-张江-万科翡翠公园五期,148.89,3室3厅,东南,,21000,141.0,,,https://sh.lianjia.com/zufang/SH2155588429230899200.html,2026-04-23 10:38:09,31.18254,121.60851
zhoupu,整租·梧桐国际 1室1厅 南,整租,梧桐国际,浦东-周浦-梧桐国际,66.00,1室1厅,南,,3570,54.1,,,https://sh.lianjia.com/zufang/SH2108522445370556416.html,2026-04-23 10:37:55,,
zhoupu,整租·印象春城 2室2厅 南/北,整租,印象春城,浦东-周浦-印象春城,115.00,2室2厅,南/北,,4800,41.7,,,https://sh.lianjia.com/zufang/SH2101606422272802816.html,2026-04-23 10:36:51,,
zhoupu,整租·金桥碧云澧悦 3室1厅 南,整租,金桥碧云澧悦,浦东-周浦-金桥碧云澧悦,99.00,3室1厅,南,,7200,72.7,,,https://sh.lianjia.com/zufang/SH2139600056691458048.html,2026-04-23 10:36:51,,
zhoupu,独栋·星灿里 浦东周浦店 原生态裸心风格 开间,独栋,星灿里 浦东周浦店 原生态裸心风格 开间,,20.00,,,,2000-2100,,,,https://sh.lianjia.com/apartment/33668.html,2026-04-23 10:36:56,,
zhoupu,整租·金桥碧云澧悦 3室1厅 南/北,整租,金桥碧云澧悦,浦东-周浦-金桥碧云澧悦,93.00,3室1厅,南/北,,7000,75.3,,,https://sh.lianjia.com/zufang/SH2147691248675192832.html,2026-04-23 10:36:51,,
zhoupu,整租·万达广场(周浦) 1室1厅 东,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),61.28,1室1厅,东,,3360,54.8,,,https://sh.lianjia.com/zufang/SH2017558289016946688.html,2026-04-23 10:37:55,,
zhoupu,整租·御沁园东区 4室2厅 南,整租,御沁园东区,浦东-周浦-御沁园东区,160.29,4室2厅,南,,7300,45.5,,,https://sh.lianjia.com/zufang/SH2149783208479162368.html,2026-04-23 10:36:51,,
zhoupu,整租·立雪苑小区 3室2厅 南,整租,立雪苑小区,浦东-周浦-立雪苑小区,144.34,3室2厅,南,,6000,41.6,,,https://sh.lianjia.com/zufang/SH1804006231422009344.html,2026-04-23 10:36:51,,
zhoupu,独栋·窝趣轻社区 周浦地铁站轻社区 明窗一室户开春特惠公寓直租 1室1厅,独栋,窝趣轻社区 周浦地铁站轻社区,,38.00,1室1厅,,,1300-1950,,,,https://sh.lianjia.com/apartment/47089.html,2026-04-23 10:36:51,,
zhoupu,整租·印象生活广场 3室1厅 东,整租,印象生活广场,浦东-周浦-印象生活广场,50.40,3室1厅,东,,3400,67.5,,,https://sh.lianjia.com/zufang/SH1732040099694116864.html,2026-04-23 10:37:55,,
zhoupu,独栋·张江医谷酒店式公寓 医谷公寓 近医学园区 一室一厅 带健身房 电梯房 单人间 1室1厅,独栋,张江医谷酒店式公寓 医谷公寓 近医学园区,,31.00,1室1厅,,,2550,82.3,,,https://sh.lianjia.com/apartment/73645.html,2026-04-23 10:36:56,,
zhoupu,整租·汇福家园泰丰里 2室1厅 南,整租,汇福家园泰丰里,浦东-周浦-汇福家园泰丰里,78.63,2室1厅,南,,3800,48.3,,,https://sh.lianjia.com/zufang/SH1847582248426012672.html,2026-04-23 10:37:55,,
zhoupu,整租·汇福家园健康里 2室1厅 南,整租,汇福家园健康里,浦东-周浦-汇福家园健康里,83.47,2室1厅,南,,3800,45.5,,,https://sh.lianjia.com/zufang/SH2154254681654689792.html,2026-04-23 10:38:04,,
zhoupu,整租·明天华城 2室2厅 南,整租,明天华城,浦东-周浦-明天华城,97.35,2室2厅,南,,5300,54.4,,,https://sh.lianjia.com/zufang/SH2143281665173094400.html,2026-04-23 10:38:04,,
zhoupu,整租·沈西小区 9室3厅 南/北,整租,沈西小区,浦东-周浦-沈西小区,450.00,9室3厅,南/北,,35000,77.8,,,https://sh.lianjia.com/zufang/SH2039309948483010560.html,2026-04-23 10:36:51,,
zhoupu,独栋·118空间 周浦店 18号线沈梅路、特价外窗、带独卫、朝南采光好 开间,独栋,118空间 周浦店,,28.00,,,,1400,50.0,,,https://sh.lianjia.com/apartment/31223.html,2026-04-23 10:36:56,,
zhoupu,整租·印象春城 1室1厅 南,整租,印象春城,浦东-周浦-印象春城,63.71,1室1厅,南,,4500,70.6,,,https://sh.lianjia.com/zufang/SH2153010980395679744.html,2026-04-23 10:38:04,,
zhoupu,整租·万达广场(周浦) 1室0厅 南,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),55.00,1室0厅,南,,3200,58.2,,,https://sh.lianjia.com/zufang/SH2129139216322396160.html,2026-04-23 10:36:51,,
zhoupu,独栋·贤诺公寓 沈梅路店 露天阳台小户型 可随时看房 1室1厅,独栋,贤诺公寓 沈梅路店 露天阳台小户型,,27.00,1室1厅,,,2380,88.1,,,https://sh.lianjia.com/apartment/65268.html,2026-04-23 10:36:56,,
zhoupu,整租·瑞和苑 2室1厅 南,整租,瑞和苑,浦东-周浦-瑞和苑,75.47,2室1厅,南,,4400,58.3,,,https://sh.lianjia.com/zufang/SH2153094087547289600.html,2026-04-23 10:38:04,,
zhoupu,整租·德浦锦庭 3室2厅 南/北,整租,德浦锦庭,浦东-周浦-德浦锦庭,92.00,3室2厅,南/北,,5500,59.8,,,https://sh.lianjia.com/zufang/SH2147215479373037568.html,2026-04-23 10:37:55,,
zhoupu,整租·逸亭佳苑 3室2厅 南/北,整租,逸亭佳苑,浦东-周浦-逸亭佳苑,190.65,3室2厅,南/北,,6000,31.5,,,https://sh.lianjia.com/zufang/SH2118279145182986240.html,2026-04-23 10:36:51,,
zhoupu,整租·万达广场(周浦) 1室1厅 北,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),57.42,1室1厅,北,,3200,55.7,,,https://sh.lianjia.com/zufang/SH2121514172704358400.html,2026-04-23 10:37:43,,
zhoupu,整租·南郊花园(公寓) 3室2厅 南,整租,南郊花园(公寓),浦东-周浦-南郊花园(公寓),119.20,3室2厅,南,,6200,52.0,,,https://sh.lianjia.com/zufang/SH2148340179029458944.html,2026-04-23 10:37:43,,
zhoupu,整租·龙威茗庭 2室2厅 南,整租,龙威茗庭,浦东-周浦-龙威茗庭,96.00,2室2厅,南,,5200,54.2,,,https://sh.lianjia.com/zufang/SH2150441115814199296.html,2026-04-23 10:37:07,,
zhoupu,独栋·浦峻澜庭 周浦店 支持3个月短租，新年火爆活动价，免费班车，地铁18号线免费班车接送，电梯高层 1室1厅,独栋,浦峻澜庭 周浦店,,25.00,1室1厅,,,2650,106.0,,,https://sh.lianjia.com/apartment/79855.html,2026-04-23 10:36:56,,
zhoupu,整租·印象春城 2室2厅 南/北,整租,印象春城,浦东-周浦-印象春城,89.03,2室2厅,南/北,,4600,51.7,,,https://sh.lianjia.com/zufang/SH1916886931329777664.html,2026-04-23 10:37:55,,
zhoupu,整租·印象春城 2室2厅 南,整租,印象春城,浦东-周浦-印象春城,88.37,2室2厅,南,,4500,50.9,,,https://sh.lianjia.com/zufang/SH2114997491681198080.html,2026-04-23 10:36:54,,
zhoupu,整租·繁荣安居 2室2厅 南/北,整租,繁荣安居,浦东-周浦-繁荣安居,87.78,2室2厅,南/北,,4600,52.4,,,https://sh.lianjia.com/zufang/SH1890733387124047872.html,2026-04-23 10:37:55,,
zhoupu,独栋·微居公寓 周浦店 地铁口整租特价精装一室户 开间,独栋,微居公寓 周浦店,,25.03,,,,2400,95.9,,,https://sh.lianjia.com/apartment/96651.html,2026-04-23 10:36:54,,
zhoupu,整租·万达广场(周浦) 1室1厅 西,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),54.00,1室1厅,西,,3200,59.3,,,https://sh.lianjia.com/zufang/SH1984920696886657024.html,2026-04-23 10:37:59,,
zhoupu,整租·万达广场(周浦) 1室1厅 东,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),61.00,1室1厅,东,,3500,57.4,,,https://sh.lianjia.com/zufang/SH2155666160102670336.html,2026-04-23 10:36:54,,
zhoupu,整租·金龙新苑 2室2厅 南,整租,金龙新苑,浦东-周浦-金龙新苑,108.95,2室2厅,南,,4515,41.4,,,https://sh.lianjia.com/zufang/SH2071544420150280192.html,2026-04-23 10:37:55,,
zhoupu,独栋·小上海精品酒店式公寓 小上海店 周浦站小上海步行街一居室 1室1厅,独栋,小上海精品酒店式公寓 小上海店,,20.00,1室1厅,,,1400,70.0,,,https://sh.lianjia.com/apartment/82647.html,2026-04-23 10:36:54,,
zhoupu,整租·万达广场(周浦) 1室1厅 西,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),50.65,1室1厅,西,,3300,65.2,,,https://sh.lianjia.com/zufang/SH2055218760469446656.html,2026-04-23 10:37:43,,
zhoupu,整租·瑞浦嘉苑 2室1厅 南,整租,瑞浦嘉苑,浦东-周浦-瑞浦嘉苑,67.74,2室1厅,南,,3600,53.1,,,https://sh.lianjia.com/zufang/SH1846845026949136384.html,2026-04-23 10:37:55,,
zhoupu,独栋·贤诺公寓 周浦店 带小院平层外窗 1室1厅,独栋,贤诺公寓 周浦店 带小院平层外窗,,30.00,1室1厅,,,2500,83.3,,,https://sh.lianjia.com/apartment/98375.html,2026-04-23 10:36:56,,
zhoupu,整租·东南一村 2室1厅 南/北,整租,东南一村,浦东-周浦-东南一村,52.00,2室1厅,南/北,,2600,50.0,,,https://sh.lianjia.com/zufang/SH2017539106652815360.html,2026-04-23 10:37:43,,
zhoupu,整租·万达广场(周浦) 1室1厅 南,整租,万达广场(周浦),浦东-周浦-万达广场(周浦),40.84,1室1厅,南,,3100,75.9,,,https://sh.lianjia.com/zufang/SH2152014846500012032.html,2026-04-23 10:36:54,,
zhoupu,整租·欧风家园南区 3室2厅 南/北,整租,欧风家园南区,浦东-周浦-欧风家园南区,95.06,3室2厅,南/北,,5100,53.7,,,https://sh.lianjia.com/zufang/SH2127804109242236928.html,2026-04-23 10:36:54,,
zhoupu,整租·印象春城 2室1厅 南,整租,印象春城,浦东-周浦-印象春城,91.00,2室1厅,南,,5200,57.1,,,https://sh.lianjia.com/zufang/SH2022237038471806976.html,2026-04-23 10:37:59,,
zhoupu,整租·印象春城 1室1厅 南,整租,印象春城,浦东-周浦-印象春城,64.70,1室1厅,南,,4000,61.8,,,https://sh.lianjia.com/zufang/SH2137176692769161216.html,2026-04-23 10:36:54,,
zhoupu,整租·汇福家园德康里 3室1厅 南,整租,汇福家园德康里,浦东-周浦-汇福家园德康里,78.00,3室1厅,南,,3570,45.8,,,https://sh.lianjia.com/zufang/SH2027008689499537408.html,2026-04-23 10:37:55,,
zhoupu,整租·安阁苑 2室1厅 南,整租,安阁苑,浦东-周浦-安阁苑,78.02,2室1厅,南,,3890,49.9,,,https://sh.lianjia.com/zufang/SH2007508124008710144.html,2026-04-23 10:37:55,,
zhoupu,整租·东南三村 2室1厅 南,整租,东南三村,浦东-周浦-东南三村,50.60,2室1厅,南,,3500,69.2,,,https://sh.lianjia.com/zufang/SH2156045675735810048.html,2026-04-23 10:36:54,,
zhoupu,整租·中金海棠湾（二期） 3室2厅 南/北,整租,中金海棠湾（二期）,浦东-周浦-中金海棠湾,153.84,3室2厅,南/北,,7000,45.5,,,https://sh.lianjia.com/zufang/SH2156062455011213312.html,2026-04-23 10:36:54,,
zhoupu,整租·瑞和苑 2室1厅 南/北,整租,瑞和苑,浦东-周浦-瑞和苑,75.00,2室1厅,南/北,,4100,54.7,,,https://sh.lianjia.com/zufang/SH2153688205277265920.html,2026-04-23 10:36:54,,
zhoupu,整租·印象生活广场 1室1厅 东,整租,印象生活广场,浦东-周浦-印象生活广场,48.00,1室1厅,东,,3500,72.9,,,https://sh.lianjia.com/zufang/SH2128781636056121344.html,2026-04-23 10:36:56,,
