region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhuanghang,整租·景源名墅 3室2厅 南,整租,景源名墅,奉贤-庄行-景源名墅,131.46,3室2厅,南,,2730,20.8,,,https://sh.lianjia.com/zufang/SH2156704291476209664.html,2026-04-23 17:41:37,,
zhuanghang,整租·景源名墅 3室2厅 南,整租,景源名墅,奉贤-庄行-景源名墅,118.90,3室2厅,南,,3100,26.1,,,https://sh.lianjia.com/zufang/SH2115020047750529024.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号 2室2厅 南,整租,佳兆业8号,奉贤-庄行-佳兆业,86.39,2室2厅,南,,2700,31.3,,,https://sh.lianjia.com/zufang/SH1900097248717438976.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号 2室2厅 南,整租,佳兆业8号,奉贤-庄行-佳兆业,89.34,2室2厅,南,,2500,28.0,,,https://sh.lianjia.com/zufang/SH2154164606770085888.html,2026-04-23 17:41:37,,
zhuanghang,整租·东原璞阅 3室1厅 南,整租,东原璞阅,奉贤-庄行-东原璞阅,124.09,3室1厅,南,,3000,24.2,,,https://sh.lianjia.com/zufang/SH2158482421207531520.html,2026-04-23 17:41:37,,
zhuanghang,整租·景源名墅 2室2厅 复式 南,整租,景源名墅,奉贤-庄行-景源名墅,112.07,2室2厅,,,2400,21.4,,,https://sh.lianjia.com/zufang/SH2137593310376624128.html,2026-04-23 17:41:37,,
zhuanghang,整租·东原璞阅 3室2厅 南,整租,东原璞阅,奉贤-庄行-东原璞阅,88.82,3室2厅,南,,3000,33.8,,,https://sh.lianjia.com/zufang/SH2121459996179824640.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号(公寓) 3室2厅 南,整租,佳兆业8号(公寓),奉贤-庄行-佳兆业,87.56,3室2厅,南,,2500,28.6,,,https://sh.lianjia.com/zufang/SH2145745737286156288.html,2026-04-23 17:41:37,,
zhuanghang,整租·景源名墅 4室2厅 南,整租,景源名墅,奉贤-庄行-景源名墅,150.24,4室2厅,南,,3800,25.3,,,https://sh.lianjia.com/zufang/SH2139308207057666048.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号 3室2厅 南,整租,佳兆业8号,奉贤-庄行-佳兆业,88.00,3室2厅,南,,2700,30.7,,,https://sh.lianjia.com/zufang/SH2110271995592572928.html,2026-04-23 17:41:37,,
zhuanghang,整租·丽水湾 2室1厅 南,整租,丽水湾,奉贤-庄行-丽水湾,89.98,2室1厅,南,,1700,18.9,,,https://sh.lianjia.com/zufang/SH2143402719409340416.html,2026-04-23 17:41:37,,
zhuanghang,整租·大名城·映雨江南 3室2厅 南,整租,大名城·映雨江南,奉贤-庄行-大名城,109.26,3室2厅,南,,1700,15.6,,,https://sh.lianjia.com/zufang/SH2121864877256474624.html,2026-04-23 17:41:37,,
zhuanghang,整租·东原璞阅 3室2厅 南,整租,东原璞阅,奉贤-庄行-东原璞阅,88.82,3室2厅,南,,3100,34.9,,,https://sh.lianjia.com/zufang/SH2154407174313345024.html,2026-04-23 17:41:37,,
zhuanghang,整租·景源名墅 5室3厅 复式 南,整租,景源名墅,奉贤-庄行-景源名墅,334.00,5室3厅,,,4000,12.0,,,https://sh.lianjia.com/zufang/SH2147183981236322304.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号(别墅) 4室2厅 南,整租,佳兆业8号(别墅),奉贤-庄行-佳兆业,182.72,4室2厅,南,,4300,23.5,,,https://sh.lianjia.com/zufang/SH2126980046915633152.html,2026-04-23 17:41:37,,
zhuanghang,整租·大名城·映雨江南 3室2厅 南,整租,大名城·映雨江南,奉贤-庄行-大名城,95.73,3室2厅,南,,2800,29.2,,,https://sh.lianjia.com/zufang/SH2153010219381161984.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号(别墅) 3室1厅 南,整租,佳兆业8号(别墅),奉贤-庄行-佳兆业,210.00,3室1厅,南,,3425,16.3,,,https://sh.lianjia.com/zufang/SH2106724583162773504.html,2026-04-23 17:41:37,,
zhuanghang,整租·佳兆业8号 2室2厅 南,整租,佳兆业8号,奉贤-庄行-佳兆业,89.66,2室2厅,南,,2500,27.9,,,https://sh.lianjia.com/zufang/SH2157843688946925568.html,2026-04-23 17:41:37,,
zhuanghang,整租·大名城·映雨江南 3室2厅 南/北,整租,大名城·映雨江南,奉贤-庄行-大名城,101.03,3室2厅,南/北,,1700,16.8,,,https://sh.lianjia.com/zufang/SH2145138969191383040.html,2026-04-23 17:41:37,,
zhuanghang,整租·大名城·映雨江南 3室2厅 南,整租,大名城·映雨江南,奉贤-庄行-大名城,109.56,3室2厅,南,,2650,24.2,,,https://sh.lianjia.com/zufang/SH2149319803867758592.html,2026-04-23 17:41:37,,
zhuanghang,整租·景源名墅 3室2厅 南,整租,景源名墅,奉贤-庄行-景源名墅,112.00,3室2厅,南,,2800,25.0,,,https://sh.lianjia.com/zufang/SH2150877126004310016.html,2026-04-23 17:41:37,,
zhuanghang,整租·大名城·映雨江南 3室1厅 南,整租,大名城·映雨江南,奉贤-庄行-大名城,109.26,3室1厅,南,,2400,22.0,,,https://sh.lianjia.com/zufang/SH2158078946413903872.html,2026-04-23 17:41:37,,
