region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zhuanqiao,整租·汤臣豪园一期 4室2厅 复式 南,整租,汤臣豪园一期,浦东-张江-汤臣豪园一期,257.23,4室2厅,,,26000,101.1,,,https://sh.lianjia.com/zufang/SH2154797458205442048.html,2026-04-23 14:52:22,31.20196,121.58431
zhuanqiao,整租·汤臣豪园一期 4室2厅 南,整租,汤臣豪园一期,浦东-张江-汤臣豪园一期,188.63,4室2厅,南,,25000,132.5,,,https://sh.lianjia.com/zufang/SH2140457501286465536.html,2026-04-23 14:52:22,31.20196,121.58431
zhuanqiao,整租·东郊紫园 4室2厅 复式 南,整租,东郊紫园,浦东-张江-东郊紫园,377.41,4室2厅,,,50000,132.5,,,https://sh.lianjia.com/zufang/SH2075535813352882176.html,2026-04-23 14:52:22,31.18155,121.61996
zhuanqiao,整租·东郊紫园 5室2厅 复式 南,整租,东郊紫园,浦东-张江-东郊紫园,377.00,5室2厅,,,40000,106.1,,,https://sh.lianjia.com/zufang/SH2153059674553843712.html,2026-04-23 14:52:22,31.18155,121.61996
zhuanqiao,整租·东郊紫园 5室3厅 复式 南,整租,东郊紫园,浦东-张江-东郊紫园,456.00,5室3厅,,,58800,128.9,,,https://sh.lianjia.com/zufang/SH1991443717344460800.html,2026-04-23 14:52:22,31.18155,121.61996
zhuanqiao,整租·万科翡翠公园三期 4室2厅 南,整租,万科翡翠公园三期,浦东-张江-万科翡翠公园三期,211.30,4室2厅,南,,20000,94.7,,,https://sh.lianjia.com/zufang/SH2146820704148914176.html,2026-04-23 14:52:22,31.18231,121.60579
zhuanqiao,整租·万科翡翠公园四期 4室2厅 南/北,整租,万科翡翠公园四期,浦东-张江-万科翡翠公园四期,179.82,4室2厅,南/北,,25000,139.0,,,https://sh.lianjia.com/zufang/SH2150263552722599936.html,2026-04-23 14:52:22,31.18133,121.60655
zhuanqiao,整租·汤臣豪园(二期) 4室2厅 复式 南,整租,汤臣豪园(二期),浦东-张江-汤臣豪园(二期),226.99,4室2厅,,,22000,96.9,,,https://sh.lianjia.com/zufang/SH2096606769806573568.html,2026-04-23 14:52:22,31.20453,121.59298
zhuanqiao,整租·枫泽苑 3室1厅 南,整租,枫泽苑,闵行-颛桥-枫泽苑,124.00,3室1厅,南,,5000,40.3,,,https://sh.lianjia.com/zufang/SH2145512180940800000.html,2026-04-23 14:51:15,,
zhuanqiao,整租·南郊别墅(别墅) 4室2厅 南,整租,南郊别墅(别墅),闵行-颛桥-南郊别墅(别墅),456.92,4室2厅,南,,29000,63.5,,,https://sh.lianjia.com/zufang/SH2142487463287848960.html,2026-04-23 14:51:15,,
zhuanqiao,整租·剑桥馨苑 2室1厅 南,整租,剑桥馨苑,闵行-颛桥-剑桥馨苑,98.09,2室1厅,南,,5000,51.0,,,https://sh.lianjia.com/zufang/SH1883023461161369600.html,2026-04-23 14:52:14,,
zhuanqiao,独栋·冠寓 上海闵行天街店一期 保租房/可短租/可办居住证/可押一付一/春节租金直降200 1室1厅,独栋,冠寓 上海闵行天街店一期,,25.00,1室1厅,,,2500,100.0,,,https://sh.lianjia.com/apartment/26346.html,2026-04-23 14:51:15,,
