region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
紫竹桥,整租·长丰园三区 2室1厅 南/北,整租,长丰园三区,大兴区-科技园区-长丰园三区,96.00,2室1厅,南/北,,4400,45.8,,,https://bj.lianjia.com/zufang/BJ1936298928639049728.html,2026-05-02 22:02:25,39.78441,116.49502
紫竹桥,整租·花家地小区 2室1厅 东/西,整租,花家地小区,朝阳区-望京-花家地小区,57.96,2室1厅,东/西,,5000,86.3,,,https://bj.lianjia.com/zufang/BJ2153504258035548160.html,2026-05-02 22:02:25,39.981763,116.462119
紫竹桥,整租·观音寺新区 2室1厅 南/北,整租,观音寺新区,大兴区-观音寺-观音寺新区,105.63,2室1厅,南/北,,4000,37.9,,,https://bj.lianjia.com/zufang/BJ2096453409778434048.html,2026-05-02 22:02:25,39.726229,116.344616
紫竹桥,整租·八大处副食楼 2室1厅 南/北,整租,八大处副食楼,石景山区-苹果园-八大处副食楼,52.80,2室1厅,南/北,,4275,81.0,,,https://bj.lianjia.com/zufang/BJ1907415160046223360.html,2026-05-02 22:02:25,39.955597,116.179258
紫竹桥,整租·花家地南里 2室1厅 东南,整租,花家地南里,朝阳区-望京-花家地南里,49.08,2室1厅,东南,,5300,108.0,,,https://bj.lianjia.com/zufang/BJ1879419837369810944.html,2026-05-02 22:02:25,39.978184,116.465087
紫竹桥,整租·花家地南里 2室1厅 南,整租,花家地南里,朝阳区-望京-花家地南里,64.00,2室1厅,南,,5300,82.8,,,https://bj.lianjia.com/zufang/BJ2159494747234762752.html,2026-05-02 22:02:25,39.978184,116.465087
紫竹桥,整租·花家地南里 2室1厅 南/北,整租,花家地南里,朝阳区-望京-花家地南里,71.28,2室1厅,南/北,,5600,78.6,,,https://bj.lianjia.com/zufang/BJ2108568990660952064.html,2026-05-02 22:02:25,39.978184,116.465087
紫竹桥,整租·花家地南里 2室1厅 南,整租,花家地南里,朝阳区-望京-花家地南里,56.42,2室1厅,南,,5400,95.7,,,https://bj.lianjia.com/zufang/BJ1865006900144242688.html,2026-05-02 22:02:25,39.978184,116.465087
紫竹桥,整租·财智公馆 2室1厅 东南,整租,财智公馆,海淀区-紫竹桥-财智公馆,70.69,2室1厅,东南,,8000,113.2,,,https://bj.lianjia.com/zufang/BJ2159201604870340608.html,2026-05-02 22:01:16,39.944536,116.307438
紫竹桥,整租·车道沟东路4号院 2室1厅 东/西,整租,车道沟东路4号院,海淀区-紫竹桥-车道沟东路,60.99,2室1厅,东/西,,6200,101.7,,,https://bj.lianjia.com/zufang/BJ2130919712136101888.html,2026-05-02 22:02:21,39.946214,116.298778
