region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
zuoanmen1,整租·左安浦园 1室1厅 北,整租,左安浦园,东城区-左安门-左安浦园,49.36,1室1厅,北,,4000,81.0,,,https://bj.lianjia.com/zufang/BJ2140663626522951680.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 2室1厅 东南,整租,左安浦园,东城区-左安门-左安浦园,66.43,2室1厅,东南,,5100,76.8,,,https://bj.lianjia.com/zufang/BJ1974394828602998784.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安溪园 4室2厅 南/北,整租,左安溪园,东城区-左安门-左安溪园,175.92,4室2厅,南/北,,17500,99.5,,,https://bj.lianjia.com/zufang/BJ2148765627530084352.html,2026-05-02 20:13:07,,
zuoanmen1,整租·向新西里 2室1厅 南/北,整租,向新西里,东城区-左安门-向新西里,61.29,2室1厅,南/北,,5200,84.8,,,https://bj.lianjia.com/zufang/BJ2096215367918551040.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 1室1厅 东北,整租,左安浦园,东城区-左安门-左安浦园,74.79,1室1厅,东北,,5700,76.2,,,https://bj.lianjia.com/zufang/BJ2151608263559348224.html,2026-05-02 20:13:07,,
zuoanmen1,独栋·邦寓 方庄站1000米蒲黄榆站2公里4站路直达北京南站 方庄站1000米蒲黄榆站2公里4站路直达北京南站 1室1厅,独栋,邦寓 方庄站1000米蒲黄榆站2公里4站路直达北京南站 方庄站1000米蒲黄榆站2公里4站路直达北京南站,,25.00,1室1厅,,,3600,144.0,,,https://bj.lianjia.com/apartment/105833.html,2026-05-02 20:13:07,,
zuoanmen1,整租·长青园 1室1厅 东/西,整租,长青园,东城区-左安门-长青园,39.25,1室1厅,东/西,,4500,114.6,,,https://bj.lianjia.com/zufang/BJ2142851956081688576.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 1室1厅 东/南,整租,左安浦园,东城区-左安门-左安浦园,57.94,1室1厅,东/南,,4900,84.6,,,https://bj.lianjia.com/zufang/BJ2158465726883561472.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 1室0厅 北,整租,左安浦园,东城区-左安门-左安浦园,49.36,1室0厅,北,,4200,85.1,,,https://bj.lianjia.com/zufang/BJ2154514986016178176.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安漪园 2室1厅 南/北,整租,左安漪园,东城区-左安门-左安漪园,120.00,2室1厅,南/北,,11500,95.8,,,https://bj.lianjia.com/zufang/BJ2153172036082466816.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 1室1厅 北,整租,左安浦园,东城区-左安门-左安浦园,49.36,1室1厅,北,,4500,91.2,,,https://bj.lianjia.com/zufang/BJ2123374088096317440.html,2026-05-02 20:13:07,,
zuoanmen1,整租·东四块玉南街30号院 2室1厅 南/北,整租,东四块玉南街30号院,东城区-左安门-东四块玉南街,57.84,2室1厅,南/北,,5000,86.4,,,https://bj.lianjia.com/zufang/BJ2154543582583717888.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安漪园 2室1厅 西南/东北,整租,左安漪园,东城区-左安门-左安漪园,96.96,2室1厅,西南/东北,,9000,92.8,,,https://bj.lianjia.com/zufang/BJ2142113241583583232.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 1室0厅 北,整租,左安浦园,东城区-左安门-左安浦园,49.36,1室0厅,北,,4300,87.1,,,https://bj.lianjia.com/zufang/BJ2144751371205738496.html,2026-05-02 20:13:07,,
zuoanmen1,整租·龙潭北里 3室1厅 南,整租,龙潭北里,东城区-左安门-龙潭北里,62.12,3室1厅,南,,5000,80.5,,,https://bj.lianjia.com/zufang/BJ2154158560538263552.html,2026-05-02 20:13:07,,
zuoanmen1,独栋·云逸青年社区（北京） 左浦园店 直租 方庄 潘家园 广渠门内 蒲黄榆站 潘家园西站 1室1厅,独栋,云逸青年社区（北京） 左浦园店 直租 方庄 潘家园 广渠门内 蒲黄榆站 潘家园西站,,25.00,1室1厅,,,4000,160.0,,,https://bj.lianjia.com/apartment/107017.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安漪园 3室1厅 东/北,整租,左安漪园,东城区-左安门-左安漪园,113.27,3室1厅,东/北,,9900,87.4,,,https://bj.lianjia.com/zufang/BJ2137953407934136320.html,2026-05-02 20:13:07,,
zuoanmen1,整租·龙潭北里 2室1厅 南,整租,龙潭北里,东城区-左安门-龙潭北里,66.10,2室1厅,南,,6500,98.3,,,https://bj.lianjia.com/zufang/BJ2109908073895165952.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安浦园 1室1厅 东,整租,左安浦园,东城区-左安门-左安浦园,67.36,1室1厅,东,,5200,77.2,,,https://bj.lianjia.com/zufang/BJ2153854593010761728.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安漪园 3室1厅 东/南,整租,左安漪园,东城区-左安门-左安漪园,114.00,3室1厅,东/南,,12000,105.3,,,https://bj.lianjia.com/zufang/BJ2146095236907008000.html,2026-05-02 20:13:07,,
zuoanmen1,整租·左安漪园 3室1厅 南/北,整租,左安漪园,东城区-左安门-左安漪园,136.84,3室1厅,南/北,,15000,109.6,,,https://bj.lianjia.com/zufang/BJ2153084300264734720.html,2026-05-02 20:13:07,,
zuoanmen1,整租·龙潭北里 2室1厅 东,整租,龙潭北里,东城区-左安门-龙潭北里,44.30,2室1厅,东,,4300,97.1,,,https://bj.lianjia.com/zufang/BJ1974703731010174976.html,2026-05-02 20:13:07,,
