region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
aoti,整租·嘉润铭座 4室2厅 南,整租,嘉润铭座,萧山区-奥体-嘉润铭座,290.85,4室2厅,南,,20000,68.8,,,https://hz.lianjia.com/zufang/HZ2155986134503522304.html,2026-05-03 22:56:23,30.241464,120.249893
aoti,整租·众安IOC潮悦公馆（杭州国际办公中心） 2室2厅 南,整租,众安IOC潮悦公馆（杭州国际办公中心）,萧山区-奥体-众安,60.00,2室2厅,南,,2800,46.7,,,https://hz.lianjia.com/zufang/HZ2153446974588715008.html,2026-05-03 22:56:16,30.23868,120.23038
aoti,整租·龙湖春江彼岸 3室2厅 南,整租,龙湖春江彼岸,滨江区-奥体-龙湖春江彼岸,105.15,3室2厅,南,,6200,59.0,,,https://hz.lianjia.com/zufang/HZ2148178607007072256.html,2026-05-03 22:56:23,30.229164,120.221424
aoti,独栋·居也公寓 奥体店 【朝南带阳台采光好 】押一付一 无中介费 包物业网络 开间,独栋,居也公寓 奥体店 【朝南带阳台采光好 】押一付一 无中介费 包物业网络 开间,,40.00,,,,4300,107.5,,,https://hz.lianjia.com/apartment/80853.html,2026-05-03 22:55:08,30.282045,119.707223
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,88.53,3室2厅,南,,5000,56.5,,,https://hz.lianjia.com/zufang/HZ1941728721949949952.html,2026-05-03 22:56:23,30.229164,120.221424
aoti,独栋·爱租 嘉润公馆店 【高端体验】管家服务免费维修品牌直租商圈林立 1室1厅,独栋,爱租 嘉润公馆店 【高端体验】管家服务免费维修品牌直租商圈林立,,64.00,1室1厅,,,4000,62.5,,,https://hz.lianjia.com/apartment/106680.html,2026-05-03 22:55:11,30.27422,120.165
aoti,整租·旭江华庭 4室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,126.02,4室2厅,南,,7000,55.5,,,https://hz.lianjia.com/zufang/HZ2161028680002830336.html,2026-05-03 22:56:23,30.229164,120.221424
aoti,整租·龙湖春江彼岸 3室2厅 南,整租,龙湖春江彼岸,滨江区-奥体-龙湖春江彼岸,105.00,3室2厅,南,,6800,64.8,,,https://hz.lianjia.com/zufang/HZ2155269057878687744.html,2026-05-03 22:56:16,30.229164,120.221424
aoti,整租·旭江华庭 2室1厅 南/北,整租,旭江华庭,滨江区-奥体-旭江华庭,89.00,2室1厅,南/北,,5800,65.2,,,https://hz.lianjia.com/zufang/HZ1905205431437885440.html,2026-05-03 22:56:23,30.229164,120.221424
aoti,整租·嘉润铭座 1室1厅 北,整租,嘉润铭座,萧山区-奥体-嘉润铭座,62.70,1室1厅,北,,3700,59.0,,,https://hz.lianjia.com/zufang/HZ2000883105866448896.html,2026-05-03 22:56:23,30.241464,120.249893
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,87.00,3室2厅,南,,6000,69.0,,,https://hz.lianjia.com/zufang/HZ2158803603475660800.html,2026-05-03 22:55:31,30.229164,120.221424
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,87.80,3室2厅,南,,6500,74.0,,,https://hz.lianjia.com/zufang/HZ2154143361949237248.html,2026-05-03 22:55:08,30.229164,120.221424
aoti,整租·嘉润铭座 4室2厅 东南/南,整租,嘉润铭座,萧山区-奥体-嘉润铭座,270.00,4室2厅,东南/南,,18500,68.5,,,https://hz.lianjia.com/zufang/HZ2122930762519937024.html,2026-05-03 22:55:08,30.241464,120.249893
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,89.00,3室2厅,南,,6200,69.7,,,https://hz.lianjia.com/zufang/HZ2150791597967540224.html,2026-05-03 22:55:08,30.229164,120.221424
aoti,整租·嘉润铭座 1室1厅 北,整租,嘉润铭座,萧山区-奥体-嘉润铭座,62.70,1室1厅,北,,4000,63.8,,,https://hz.lianjia.com/zufang/HZ2153525031450181632.html,2026-05-03 22:55:08,30.241464,120.249893
aoti,整租·深蓝国际中心 1室1厅 北,整租,深蓝国际中心,萧山区-奥体-深蓝国际中心,85.96,1室1厅,北,,4300,50.0,,,https://hz.lianjia.com/zufang/HZ2156625383045201920.html,2026-05-03 22:55:08,30.241464,120.249893
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,88.00,3室2厅,南,,6900,78.4,,,https://hz.lianjia.com/zufang/HZ2159605727956566016.html,2026-05-03 22:55:31,30.229164,120.221424
aoti,整租·臻奥院一期 4室2厅 南,整租,臻奥院一期,滨江区-奥体-臻奥院一期,138.00,4室2厅,南,,14500,105.1,,,https://hz.lianjia.com/zufang/HZ2154879031038705664.html,2026-05-03 22:56:16,30.224956,120.227394
aoti,整租·嘉润铭座 4室2厅 东,整租,嘉润铭座,萧山区-奥体-嘉润铭座,300.00,4室2厅,东,,25000,83.3,,,https://hz.lianjia.com/zufang/HZ2159505701213306880.html,2026-05-03 22:55:25,30.241464,120.249893
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,89.00,3室2厅,南,,6100,68.5,,,https://hz.lianjia.com/zufang/HZ2157066890898309120.html,2026-05-03 22:55:11,30.229164,120.221424
aoti,整租·深蓝国际中心 1室1厅 南,整租,深蓝国际中心,萧山区-奥体-深蓝国际中心,42.00,1室1厅,南,,3500,83.3,,,https://hz.lianjia.com/zufang/HZ1909895735915053056.html,2026-05-03 22:56:23,30.241464,120.249893
aoti,整租·深蓝国际中心 1室1厅 西北,整租,深蓝国际中心,萧山区-奥体-深蓝国际中心,45.00,1室1厅,西北,,3300,73.3,,,https://hz.lianjia.com/zufang/HZ2017133482332913664.html,2026-05-03 22:56:23,30.241464,120.249893
aoti,整租·深蓝国际中心 2室2厅 东北,整租,深蓝国际中心,萧山区-奥体-深蓝国际中心,86.00,2室2厅,东北,,4500,52.3,,,https://hz.lianjia.com/zufang/HZ2116376282131333120.html,2026-05-03 22:55:11,30.241464,120.249893
aoti,整租·深蓝国际中心 1室1厅 南,整租,深蓝国际中心,萧山区-奥体-深蓝国际中心,63.35,1室1厅,南,,4300,67.9,,,https://hz.lianjia.com/zufang/HZ1993891096098242560.html,2026-05-03 22:56:23,30.241464,120.249893
aoti,合租·龙湖春江彼岸 4居室 北卧,合租,龙湖春江彼岸 4居室 北卧,滨江区-奥体-龙湖春江彼岸,6.11,,,,1090,178.4,,,https://hz.lianjia.com/zufang/HZ2130176329125986304.html,2026-05-03 22:55:11,30.227699,120.221945
aoti,整租·宝盛世纪中心 1室1厅 西南,整租,宝盛世纪中心,萧山区-奥体-宝盛世纪中心,37.37,1室1厅,西南,,2800,74.9,,,https://hz.lianjia.com/zufang/HZ2141121632314327040.html,2026-05-03 22:56:23,30.184391,120.254751
aoti,合租·龙湖春江彼岸 5居室 东卧,合租,龙湖春江彼岸 5居室 东卧,滨江区-奥体-龙湖春江彼岸,11.58,,,,1639,141.5,,,https://hz.lianjia.com/zufang/HZ2147326392855953408.html,2026-05-03 22:55:11,30.227699,120.221945
aoti,整租·臻奥院二期 4室2厅 南,整租,臻奥院二期,滨江区-奥体-臻奥院二期,182.00,4室2厅,南,,23000,126.4,,,https://hz.lianjia.com/zufang/HZ2138117362254086144.html,2026-05-03 22:55:11,30.224455,120.226943
aoti,整租·龙湖春江彼岸 3室2厅 南,整租,龙湖春江彼岸,滨江区-奥体-龙湖春江彼岸,88.88,3室2厅,南,,5500,61.9,,,https://hz.lianjia.com/zufang/HZ2155975974678691840.html,2026-05-03 22:55:11,30.229164,120.221424
aoti,独栋·爱租 宝盛中心店 【房东直租】 高端品质 大落地窗 干湿分离 品牌直租 1室1厅,独栋,爱租 宝盛中心店 【房东直租】 高端品质 大落地窗 干湿分离 品牌直租,,42.00,1室1厅,,,3200,76.2,,,https://hz.lianjia.com/apartment/106721.html,2026-05-03 22:55:11,30.49608,120.239034
aoti,整租·众安IOC潮悦公馆（杭州国际办公中心） 3室1厅 南,整租,众安IOC潮悦公馆（杭州国际办公中心）,萧山区-奥体-众安,63.95,3室1厅,南,,5850,91.5,,,https://hz.lianjia.com/zufang/HZ2155163657913237504.html,2026-05-03 22:55:11,30.23868,120.23038
aoti,合租·龙湖春江彼岸 5居室 北卧,合租,龙湖春江彼岸 5居室 北卧,滨江区-奥体-龙湖春江彼岸,6.43,,,,1290,200.6,,,https://hz.lianjia.com/zufang/HZ2153157798886637568.html,2026-05-03 22:55:11,30.227699,120.221945
aoti,整租·嘉润铭座 5室1厅 东/南,整租,嘉润铭座,萧山区-奥体-嘉润铭座,331.16,5室1厅,东/南,,25200,76.1,,,https://hz.lianjia.com/zufang/HZ2158212139863506944.html,2026-05-03 22:55:25,30.241464,120.249893
aoti,整租·嘉润铭座 5室2厅 南,整租,嘉润铭座,萧山区-奥体-嘉润铭座,293.00,5室2厅,南,,21000,71.7,,,https://hz.lianjia.com/zufang/HZ2158539723411292160.html,2026-05-03 22:55:25,30.241464,120.249893
aoti,合租·龙湖春江彼岸 4居室 南卧,合租,龙湖春江彼岸 4居室 南卧,滨江区-奥体-龙湖春江彼岸,11.12,,,,1790,161.0,,,https://hz.lianjia.com/zufang/HZ1864242410209411072.html,2026-05-03 22:55:11,30.223021,120.228559
aoti,整租·众安IOC潮悦公馆（杭州国际办公中心） 3室1厅 南,整租,众安IOC潮悦公馆（杭州国际办公中心）,萧山区-奥体-众安,60.00,3室1厅,南,,6780,113.0,,,https://hz.lianjia.com/zufang/HZ2141004541854744576.html,2026-05-03 22:55:11,30.23868,120.23038
aoti,整租·嘉润铭座 4室2厅 南/东北,整租,嘉润铭座,萧山区-奥体-嘉润铭座,300.00,4室2厅,南/东北,,25000,83.3,,,https://hz.lianjia.com/zufang/HZ2155606172441247744.html,2026-05-03 22:55:11,30.241464,120.249893
aoti,整租·龙湖春江彼岸 4室2厅 南,整租,龙湖春江彼岸,滨江区-奥体-龙湖春江彼岸,160.00,4室2厅,南,,8000,50.0,,,https://hz.lianjia.com/zufang/HZ2117095902102421504.html,2026-05-03 22:55:11,30.229164,120.221424
aoti,整租·滨江观品 5室2厅 南,整租,滨江观品,萧山区-奥体-滨江观品,195.00,5室2厅,南,,20000,102.6,,,https://hz.lianjia.com/zufang/HZ2142129571577724928.html,2026-05-03 22:55:11,30.241464,120.249893
aoti,整租·莱蒙水榭春天 3室2厅 东南,整租,莱蒙水榭春天,滨江区-奥体-莱蒙水榭春天,84.00,3室2厅,东南,,6000,71.4,,,https://hz.lianjia.com/zufang/HZ2032708479470272512.html,2026-05-03 22:56:23,30.229164,120.221424
aoti,整租·旭江华庭 3室2厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,84.00,3室2厅,南,,6000,71.4,,,https://hz.lianjia.com/zufang/HZ2154500316450521088.html,2026-05-03 22:55:14,30.229164,120.221424
aoti,整租·莱蒙水榭春天 3室2厅 南,整租,莱蒙水榭春天,滨江区-奥体-莱蒙水榭春天,84.40,3室2厅,南,,4800,56.9,,,https://hz.lianjia.com/zufang/HZ2004180374539730944.html,2026-05-03 22:56:23,30.229164,120.221424
aoti,整租·旭江华庭 3室1厅 南,整租,旭江华庭,滨江区-奥体-旭江华庭,89.05,3室1厅,南,,5930,66.6,,,https://hz.lianjia.com/zufang/HZ2155201276969746432.html,2026-05-03 22:55:14,30.229164,120.221424
aoti,整租·保亿绿城奥邸国际 4室2厅 南,整租,保亿绿城奥邸国际,萧山区-奥体-保亿绿城奥邸国际,186.00,4室2厅,南,,21000,112.9,,,https://hz.lianjia.com/zufang/HZ1889995094455484416.html,2026-05-03 22:56:23,30.184391,120.254751
aoti,整租·嘉润铭座 1室1厅 东,整租,嘉润铭座,萧山区-奥体-嘉润铭座,61.85,1室1厅,东,,4000,64.7,,,https://hz.lianjia.com/zufang/HZ2005275987360612352.html,2026-05-03 22:56:23,30.241464,120.249893
