region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
caihongcheng,整租·滨江宝龙城市广场 1室0厅 南,整租,滨江宝龙城市广场,滨江区-彩虹城-滨江宝龙城市广场,47.67,1室0厅,南,,2800,58.7,,,https://hz.lianjia.com/zufang/HZ2122541338401439744.html,2026-05-03 23:08:04,30.19378,120.14961
caihongcheng,整租·银杏汇 4室2厅 南,整租,银杏汇,滨江区-彩虹城-银杏汇,203.00,4室2厅,南,,20000,98.5,,,https://hz.lianjia.com/zufang/HZ2140759144305524736.html,2026-05-03 23:04:40,30.19378,120.14961
caihongcheng,整租·六合天寓 3室2厅 南,整租,六合天寓,滨江区-彩虹城-六合天寓,139.74,3室2厅,南,,5000,35.8,,,https://hz.lianjia.com/zufang/HZ2141099749762138112.html,2026-05-03 23:08:04,30.19378,120.14961
caihongcheng,独栋·杭州雅曼公寓 腾虎科技大厦店 超大户型，独厨独卫，采购好 1室1厅,独栋,杭州雅曼公寓 腾虎科技大厦店 超大户型，独厨独卫，采购好,,50.00,1室1厅,,,3000,60.0,,,https://hz.lianjia.com/apartment/51031.html,2026-05-03 23:04:44,30.348543,120.290942
caihongcheng,整租·钱江彩虹城 4室2厅 南,整租,钱江彩虹城,滨江区-彩虹城-钱江彩虹城,155.86,4室2厅,南,,6100,39.1,,,https://hz.lianjia.com/zufang/HZ2150245913291915264.html,2026-05-03 23:08:04,30.19378,120.14961
caihongcheng,独栋·泊寓 滨江智造谷店 可月付可短租静谧整租一居室 开间,独栋,泊寓 滨江智造谷店 可月付可短租静谧整租一居室 开间,,30.29,,,,2458,81.1,,,https://hz.lianjia.com/apartment/89933.html,2026-05-03 23:04:40,30.211896,120.266045
caihongcheng,整租·现代印象广场 2室1厅 南,整租,现代印象广场,滨江区-彩虹城-现代印象广场,74.82,2室1厅,南,,3600,48.1,,,https://hz.lianjia.com/zufang/HZ2150614120712372224.html,2026-05-03 23:08:04,30.19378,120.14961
caihongcheng,整租·高润云杉郡 1室1厅 西北,整租,高润云杉郡,滨江区-彩虹城-高润云杉郡,42.00,1室1厅,西北,,2300,54.8,,,https://hz.lianjia.com/zufang/HZ2142579902681972736.html,2026-05-03 23:04:40,30.19378,120.14961
caihongcheng,整租·城市之光 3室2厅 南,整租,城市之光,滨江区-彩虹城-城市之光,88.68,3室2厅,南,,5000,56.4,,,https://hz.lianjia.com/zufang/HZ2052748803433299968.html,2026-05-03 23:04:40,30.19378,120.14961
caihongcheng,独栋·麦粒公寓 九州中心店 大学生优惠大放送，精装公寓，押一付一 1室1厅,独栋,麦粒公寓 九州中心店 大学生优惠大放送，精装公寓，押一付一,,35.00,1室1厅,,,2280,65.1,,,https://hz.lianjia.com/apartment/62638.html,2026-05-03 23:04:44,30.172958,120.323014
