region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
changhe,整租·半岛国际 3室2厅 南,整租,半岛国际,滨江区-长河-半岛国际,131.58,3室2厅,南,,7700,58.5,,,https://hz.lianjia.com/zufang/HZ2151960530443567104.html,2026-05-03 23:12:39,30.145923,120.204191
changhe,整租·江南国美家园 2室1厅 东/北,整租,江南国美家园,滨江区-长河-江南国美家园,80.00,2室1厅,东/北,,3150,39.4,,,https://hz.lianjia.com/zufang/HZ2153790489977946112.html,2026-05-03 23:10:29,30.20479,120.205938
changhe,整租·锦绣江南 3室2厅 南,整租,锦绣江南,滨江区-长河-锦绣江南,163.89,3室2厅,南,,6800,41.5,,,https://hz.lianjia.com/zufang/HZ2149504674707800064.html,2026-05-03 23:08:14,30.145923,120.204191
changhe,独栋·保利和寓 保利和寓（天汇店） 五一特惠/带健身房咖啡厅/复式loft30平/高品质公寓/可短租地铁/月付 1室1厅,独栋,保利和寓 保利和寓（天汇店） 五一特惠/带健身房咖啡厅/复式loft30平/高品质公寓/可短租地铁/月付,,40.00,1室1厅,,,4320-4500,,,,https://hz.lianjia.com/apartment/54105.html,2026-05-03 23:08:35,,
changhe,整租·傲旋城 1室1厅 东,整租,傲旋城,滨江区-长河-傲旋城,61.26,1室1厅,东,,4000,65.3,,,https://hz.lianjia.com/zufang/HZ2094666457081184256.html,2026-05-03 23:12:31,30.145923,120.204191
changhe,独栋·和居公寓 西子店 公寓直租，精装公寓，一室一厅独立卫浴，健身房24小时免费开放，随时看房 1室1厅,独栋,和居公寓 西子店 公寓直租，精装公寓，一室一厅独立卫浴，健身房24小时免费开放，随时看房,,40.00,1室1厅,,,2800,70.0,,,https://hz.lianjia.com/apartment/7606.html,2026-05-03 23:08:19,30.172958,120.323014
changhe,整租·傲旋城 2室1厅 北,整租,傲旋城,滨江区-长河-傲旋城,65.19,2室1厅,北,,4100,62.9,,,https://hz.lianjia.com/zufang/HZ2083549500042903552.html,2026-05-03 23:12:31,30.145923,120.204191
changhe,整租·红门家园 2室2厅 南,整租,红门家园,滨江区-长河-红门家园,115.00,2室2厅,南,,6000,52.2,,,https://hz.lianjia.com/zufang/HZ2159289323365597184.html,2026-05-03 23:11:13,30.145923,120.204191
changhe,整租·同人春江时代花园 3室2厅 南/北,整租,同人春江时代花园,滨江区-长河-同人春江时代花园,165.33,3室2厅,南/北,,7300,44.2,,,https://hz.lianjia.com/zufang/HZ2148356943918399488.html,2026-05-03 23:12:31,30.204958,120.186156
changhe,独栋·中海友里公寓 萌宠社区 朝南两室/网易600米/实习生可合租/民用水电7天起 2室1厅,独栋,中海友里公寓 萌宠社区 朝南两室/网易600米/实习生可合租/民用水电7天起,,53.00,2室1厅,,,5500-5900,,,,https://hz.lianjia.com/apartment/58500.html,2026-05-03 23:08:17,30.282045,119.707223
