region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
dajiangdong,精选公寓·朗诗寓,精选公寓,朗诗寓,,,,,,980,,,31套热租 >,https://hz.lianjia.com/zufang/dajiangdong/ab200302036000,2026-05-03 21:52:07,30.191105,120.26202
dajiangdong,整租·龙润城 1室1厅 南,整租,龙润城,钱塘区-大江东-龙润城,46.00,1室1厅,南,,1300,28.3,,,https://hz.lianjia.com/zufang/HZ1873035774740398080.html,2026-05-03 22:06:43,30.30562,120.490413
dajiangdong,整租·德意空港国际 2室1厅 南,整租,德意空港国际,萧山区-大江东-德意空港国际,89.00,2室1厅,南,,1850,20.8,,,https://hz.lianjia.com/zufang/HZ2137518317965934592.html,2026-05-03 21:52:07,30.253031,120.477611
dajiangdong,整租·德信空港城 1室1厅 东南,整租,德信空港城,萧山区-大江东-德信空港城,49.00,1室1厅,东南,,1300,26.5,,,https://hz.lianjia.com/zufang/HZ1896470175822118912.html,2026-05-03 22:06:43,30.253031,120.477611
dajiangdong,独栋·hello+公寓 空港澜天一店 【飘窗户型，养宠更安全】无中介费 1室1厅,独栋,hello+公寓 空港澜天一店 【飘窗户型，养宠更安全】无中介费,,40.00,1室1厅,,,1070-1280,,,,https://hz.lianjia.com/apartment/37669.html,2026-05-03 21:52:07,30.248392,119.8348
dajiangdong,整租·龙湖江与城江与锦城 4室1厅 南,整租,龙湖江与城江与锦城,钱塘区-大江东-龙湖江与城江与锦城,139.52,4室1厅,南,,3400,24.4,,,https://hz.lianjia.com/zufang/HZ2119038579731595264.html,2026-05-03 22:06:59,30.30562,120.490413
dajiangdong,整租·帝凯帝景园 3室2厅 南,整租,帝凯帝景园,钱塘区-大江东-帝凯帝景园,130.77,3室2厅,南,,2500,19.1,,,https://hz.lianjia.com/zufang/HZ2154066531082829824.html,2026-05-03 22:06:59,30.278135,120.622417
dajiangdong,整租·德信空港城 2室2厅 西,整租,德信空港城,萧山区-大江东-德信空港城,40.00,2室2厅,西,,1350,33.8,,,https://hz.lianjia.com/zufang/HZ2076928883738804224.html,2026-05-03 22:00:32,30.253031,120.477611
dajiangdong,整租·东哲钱塘滙 1室1厅 南,整租,东哲钱塘滙,钱塘区-大江东-东哲钱塘滙,42.04,1室1厅,南,,1500,35.7,,,https://hz.lianjia.com/zufang/HZ2154455756181602304.html,2026-05-03 22:06:59,30.349476,120.564831
dajiangdong,整租·蓬悦嘉园二区 2室1厅 南,整租,蓬悦嘉园二区,钱塘区-大江东-蓬悦嘉园二区,72.06,2室1厅,南,,2350,32.6,,,https://hz.lianjia.com/zufang/HZ2153844468954955776.html,2026-05-03 21:52:07,30.281125,120.517382
