region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gaojiaoyuanquxi,整租·四季风景苑 2室1厅 南,整租,四季风景苑,钱塘区-高教园区西-四季风景苑,88.87,2室1厅,南,,3000,33.8,,,https://hz.lianjia.com/zufang/HZ1963123272849555456.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,整租·四季名门城市公寓 3室2厅 南/北,整租,四季名门城市公寓,钱塘区-高教园区西-四季名门城市公寓,138.50,3室2厅,南/北,,4300,31.0,,,https://hz.lianjia.com/zufang/HZ2160288313305464832.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,整租·文苑风情 1室1厅 南,整租,文苑风情,钱塘区-高教园区西-文苑风情,49.10,1室1厅,南,,1900,38.7,,,https://hz.lianjia.com/zufang/HZ2092601049599705088.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,独栋·柚米 杭州下沙大学城柚米寓 限时特价【仅年租】无服务费无中介费。1号线文泽路地铁口 和达城附近月付拎包入住 1室1厅,独栋,柚米 杭州下沙大学城柚米寓 限时特价【仅年租】无服务费无中介费。1号线文泽路地铁口 和达城附近月付拎包入住,,30.00,1室1厅,,,1715,57.2,,,https://hz.lianjia.com/apartment/5006.html,2026-05-03 22:08:31,,
gaojiaoyuanquxi,整租·文苑风情 3室1厅 南,整租,文苑风情,钱塘区-高教园区西-文苑风情,130.78,3室1厅,南,,4100,31.4,,,https://hz.lianjia.com/zufang/HZ2149840727884955648.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,整租·盛泰时代山 2室1厅 南,整租,盛泰时代山,钱塘区-高教园区西-盛泰时代山,56.58,2室1厅,南,,2600,46.0,,,https://hz.lianjia.com/zufang/HZ2118918372342104064.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,整租·盛泰时代山 2室1厅 南,整租,盛泰时代山,钱塘区-高教园区西-盛泰时代山,56.00,2室1厅,南,,2900,51.8,,,https://hz.lianjia.com/zufang/HZ2122174701320011776.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,整租·文苑风情 1室1厅 东南,整租,文苑风情,钱塘区-高教园区西-文苑风情,46.37,1室1厅,东南,,2000,43.1,,,https://hz.lianjia.com/zufang/HZ1849467089731977216.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,整租·文苑风情 1室1厅 西南,整租,文苑风情,钱塘区-高教园区西-文苑风情,46.37,1室1厅,西南,,2000,43.1,,,https://hz.lianjia.com/zufang/HZ1725744343345528832.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,合租·清雅苑 5居室 南卧,合租,清雅苑 5居室 南卧,钱塘区-高教园区西-清雅苑,20.53,,,,1990,96.9,,,https://hz.lianjia.com/zufang/HZ2159177425223680000.html,2026-05-03 22:08:27,30.318264,120.338656
gaojiaoyuanquxi,整租·湖印光年府 3室2厅 南,整租,湖印光年府,钱塘区-高教园区西-湖印光年府,106.00,3室2厅,南,,6500,61.3,,,https://hz.lianjia.com/zufang/HZ2160307004923445248.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,合租·文苑风情 2居室 南卧,合租,文苑风情 2居室 南卧,钱塘区-高教园区西-文苑风情,11.43,,,,1430,125.1,,,https://hz.lianjia.com/zufang/HZ2139063071593725952.html,2026-05-03 22:08:27,30.318264,120.338656
gaojiaoyuanquxi,整租·湖印光年府 4室2厅 南,整租,湖印光年府,钱塘区-高教园区西-湖印光年府,127.00,4室2厅,南,,7800,61.4,,,https://hz.lianjia.com/zufang/HZ2157071258901020672.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,合租·福雷德广场 4居室 南卧,合租,福雷德广场 4居室 南卧,钱塘区-高教园区西-福雷德广场,17.80,,,,1590,89.3,,,https://hz.lianjia.com/zufang/HZ2143571604347551744.html,2026-05-03 22:08:27,30.318264,120.338656
gaojiaoyuanquxi,合租·清雅苑 4居室 北卧,合租,清雅苑 4居室 北卧,钱塘区-高教园区西-清雅苑,8.00,,,,1190,148.8,,,https://hz.lianjia.com/zufang/HZ2162038510670839808.html,2026-05-03 22:08:27,30.31057,120.38736
gaojiaoyuanquxi,整租·湖印光年府 4室2厅 南/北,整租,湖印光年府,钱塘区-高教园区西-湖印光年府,127.00,4室2厅,南/北,,8000,63.0,,,https://hz.lianjia.com/zufang/HZ2157471922793742336.html,2026-05-03 22:09:13,30.317822,120.339494
gaojiaoyuanquxi,合租·清雅苑 4居室 南卧,合租,清雅苑 4居室 南卧,钱塘区-高教园区西-清雅苑,13.14,,,,1490,113.4,,,https://hz.lianjia.com/zufang/HZ2155589135480389632.html,2026-05-03 22:08:27,30.318264,120.338656
gaojiaoyuanquxi,整租·西子阳光星城 1室1厅 南,整租,西子阳光星城,钱塘区-高教园区西-西子阳光星城,49.45,1室1厅,南,,2050,41.5,,,https://hz.lianjia.com/zufang/HZ2144007354016858112.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,整租·和达城 1室1厅 西南,整租,和达城,钱塘区-高教园区西-和达城,51.00,1室1厅,西南,,2300,45.1,,,https://hz.lianjia.com/zufang/HZ2149063572238368768.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,整租·西子阳光星城 1室1厅 南,整租,西子阳光星城,钱塘区-高教园区西-西子阳光星城,55.00,1室1厅,南,,2000,36.4,,,https://hz.lianjia.com/zufang/HZ2093992464862937088.html,2026-05-03 22:08:27,30.317822,120.339494
gaojiaoyuanquxi,整租·绿城燕语春风居 4室2厅 南,整租,绿城燕语春风居,钱塘区-高教园区西-绿城燕语春风居,130.00,4室2厅,南,,9200,70.8,,,https://hz.lianjia.com/zufang/HZ2144002233061081088.html,2026-05-03 22:08:31,30.317822,120.339494
gaojiaoyuanquxi,整租·四季风景苑 1室1厅 南,整租,四季风景苑,钱塘区-高教园区西-四季风景苑,58.00,1室1厅,南,,2600,44.8,,,https://hz.lianjia.com/zufang/HZ2148764583907557376.html,2026-05-03 22:08:31,30.317822,120.339494
gaojiaoyuanquxi,整租·和达城 1室1厅 西,整租,和达城,钱塘区-高教园区西-和达城,53.00,1室1厅,西,,2700,50.9,,,https://hz.lianjia.com/zufang/HZ2155216845764820992.html,2026-05-03 22:08:31,30.317822,120.339494
gaojiaoyuanquxi,合租·清雅苑 4居室 西南卧,合租,清雅苑 4居室 西南卧,钱塘区-高教园区西-清雅苑,6.29,,,,930,147.9,,,https://hz.lianjia.com/zufang/HZ2155671772588933120.html,2026-05-03 22:08:27,30.31888,120.34126
gaojiaoyuanquxi,合租·清雅苑 4居室 北卧,合租,清雅苑 4居室 北卧,钱塘区-高教园区西-清雅苑,6.80,,,,1060,155.9,,,https://hz.lianjia.com/zufang/HZ2152675066662354944.html,2026-05-03 22:08:27,30.31057,120.38736
gaojiaoyuanquxi,合租·文苑风情 3居室 北卧,合租,文苑风情 3居室 北卧,钱塘区-高教园区西-文苑风情,10.81,,,,1130,104.5,,,https://hz.lianjia.com/zufang/HZ2156731169851310080.html,2026-05-03 22:08:27,30.31057,120.38736
gaojiaoyuanquxi,整租·和达城 1室1厅 南,整租,和达城,钱塘区-高教园区西-和达城,40.12,1室1厅,南,,2300,57.3,,,https://hz.lianjia.com/zufang/HZ2112806303721062400.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,合租·和达城 4居室 南卧,合租,和达城 4居室 南卧,钱塘区-高教园区西-和达城,10.20,,,,1390,136.3,,,https://hz.lianjia.com/zufang/HZ2150686470615072768.html,2026-05-03 22:08:31,30.318264,120.338656
gaojiaoyuanquxi,整租·杭曜之城 4室2厅 南,整租,杭曜之城,钱塘区-高教园区西-杭曜之城,143.44,4室2厅,南,,6700,46.7,,,https://hz.lianjia.com/zufang/HZ2016481702876020736.html,2026-05-03 22:09:25,30.318672,120.335049
gaojiaoyuanquxi,合租·盛泰名都公寓 4居室 南卧,合租,盛泰名都公寓 4居室 南卧,钱塘区-高教园区西-盛泰名都公寓,11.50,,,,1390,120.9,,,https://hz.lianjia.com/zufang/HZ2121672000307986432.html,2026-05-03 22:08:31,30.318264,120.338656
gaojiaoyuanquxi,整租·盛泰名都中心 1室1厅 东,整租,盛泰名都中心,钱塘区-高教园区西-盛泰名都中心,38.77,1室1厅,东,,2050,52.9,,,https://hz.lianjia.com/zufang/HZ2156354823165837312.html,2026-05-03 22:09:13,30.317822,120.339494
gaojiaoyuanquxi,整租·文苑风情 3室1厅 南,整租,文苑风情,钱塘区-高教园区西-文苑风情,90.00,3室1厅,南,,3200,35.6,,,https://hz.lianjia.com/zufang/HZ2158534896652386304.html,2026-05-03 22:08:31,30.317822,120.339494
gaojiaoyuanquxi,整租·四季风景苑 2室1厅 南,整租,四季风景苑,钱塘区-高教园区西-四季风景苑,89.00,2室1厅,南,,3000,33.7,,,https://hz.lianjia.com/zufang/HZ1907049862268977152.html,2026-05-03 22:09:25,30.317822,120.339494
gaojiaoyuanquxi,合租·文苑风情 4居室 南卧,合租,文苑风情 4居室 南卧,钱塘区-高教园区西-文苑风情,13.30,,,,1490,112.0,,,https://hz.lianjia.com/zufang/HZ2087814451544719360.html,2026-05-03 22:08:31,30.318264,120.338656
