region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gongyeyuannan,整租·东海柠檬郡 3室1厅 南,整租,东海柠檬郡,钱塘区-工业园南-东海柠檬郡,89.54,3室1厅,南,,3600,40.2,,,https://hz.lianjia.com/zufang/HZ1904007198648827904.html,2026-05-03 22:07:51,30.29284,120.31921
gongyeyuannan,整租·中豪七格 1室1厅 南,整租,中豪七格,钱塘区-工业园南-中豪七格,50.00,1室1厅,南,,2600,52.0,,,https://hz.lianjia.com/zufang/HZ2157448820651196416.html,2026-05-03 22:07:51,30.328711,120.360935
gongyeyuannan,整租·兴耀月琉璃 3室1厅 南,整租,兴耀月琉璃,钱塘区-工业园南-兴耀月琉璃,89.83,3室1厅,南,,5200,57.9,,,https://hz.lianjia.com/zufang/HZ2154576600820088832.html,2026-05-03 22:07:51,30.328711,120.360935
gongyeyuannan,独栋·柚米 杭州金沙湖柚米寓 【可短租】企业员工享特惠、下沙龙湖天街附近好房两室整租月付 2室1厅,独栋,柚米 杭州金沙湖柚米寓 【可短租】企业员工享特惠、下沙龙湖天街附近好房两室整租月付,,55.00,2室1厅,,,2248,40.9,,,https://hz.lianjia.com/apartment/25153.html,2026-05-03 22:07:51,30.31221,120.32161
gongyeyuannan,整租·天元公寓 3室2厅 南,整租,天元公寓,钱塘区-工业园南-天元公寓,123.62,3室2厅,南,,4000,32.4,,,https://hz.lianjia.com/zufang/HZ2083351664005218304.html,2026-05-03 22:07:51,30.328711,120.360935
gongyeyuannan,整租·兴耀月琉璃 4室2厅 南,整租,兴耀月琉璃,钱塘区-工业园南-兴耀月琉璃,152.53,4室2厅,南,,9000,59.0,,,https://hz.lianjia.com/zufang/HZ2152782848552075264.html,2026-05-03 22:07:51,30.328711,120.360935
gongyeyuannan,整租·东尚国际寓所 2室1厅 南,整租,东尚国际寓所,钱塘区-工业园南-东尚国际寓所,80.00,2室1厅,南,,2400,30.0,,,https://hz.lianjia.com/zufang/HZ2152310762436034560.html,2026-05-03 22:07:51,30.29284,120.31921
gongyeyuannan,整租·东海柠檬郡 3室1厅 南/北,整租,东海柠檬郡,钱塘区-工业园南-东海柠檬郡,89.54,3室1厅,南/北,,4000,44.7,,,https://hz.lianjia.com/zufang/HZ2157051861117435904.html,2026-05-03 22:07:51,30.29284,120.31921
gongyeyuannan,独栋·奶咖公寓 七格店 （法式奶油风大阳台）可押一付一，直租，无中介费 1室1厅,独栋,奶咖公寓 七格店 （法式奶油风大阳台）可押一付一，直租，无中介费,,35.00,1室1厅,,,2550,72.9,,,https://hz.lianjia.com/apartment/107296.html,2026-05-03 22:07:51,30.25949,120.15552
gongyeyuannan,整租·兴耀月琉璃 3室2厅 南,整租,兴耀月琉璃,钱塘区-工业园南-兴耀月琉璃,89.77,3室2厅,南,,6000,66.8,,,https://hz.lianjia.com/zufang/HZ2143723571757711360.html,2026-05-03 22:07:51,30.328711,120.360935
gongyeyuannan,独栋·科寓 金沙湖店 下沙银泰旁北欧风精装两室loft 年签月付 2室1厅,独栋,科寓 金沙湖店 下沙银泰旁北欧风精装两室loft 年签月付,,40.00,2室1厅,,,3098,77.5,,,https://hz.lianjia.com/apartment/19498.html,2026-05-03 22:07:51,30.29965,120.31816
gongyeyuannan,整租·东海柠檬郡 3室1厅 南,整租,东海柠檬郡,钱塘区-工业园南-东海柠檬郡,89.00,3室1厅,南,,4300,48.3,,,https://hz.lianjia.com/zufang/HZ2138207548551987200.html,2026-05-03 22:07:51,30.29284,120.31921
gongyeyuannan,整租·东海柠檬郡 3室2厅 南,整租,东海柠檬郡,钱塘区-工业园南-东海柠檬郡,109.52,3室2厅,南,,4119,37.6,,,https://hz.lianjia.com/zufang/HZ2140107335220068352.html,2026-05-03 22:07:51,30.29284,120.31921
