region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
gouzhuang,整租·世茂璀璨澜庭 3室2厅 南,整租,世茂璀璨澜庭,余杭区-勾庄-世茂璀璨澜庭,97.34,3室2厅,南,,4300,44.2,,,https://hz.lianjia.com/zufang/HZ1796782048770260992.html,2026-05-03 23:21:29,30.354794,120.125312
gouzhuang,整租·运河锦庭 1室0厅 南,整租,运河锦庭,余杭区-勾庄-运河锦庭,30.00,1室0厅,南,,1050,35.0,,,https://hz.lianjia.com/zufang/HZ2157686972234072064.html,2026-05-03 23:20:42,30.36801,120.11338
gouzhuang,整租·名城博园 3室2厅 南,整租,名城博园,余杭区-勾庄-名城博园,87.98,3室2厅,南,,2900,33.0,,,https://hz.lianjia.com/zufang/HZ2066360274910183424.html,2026-05-03 23:21:29,30.3775,120.09744
gouzhuang,独栋·初九公寓 金德路站店 能短租 温馨阳台房 采光好 可月付 地铁10号线 城北万象城 1室1厅,独栋,初九公寓 金德路站店 能短租 温馨阳台房 采光好 可月付 地铁10号线 城北万象城,,20.00,1室1厅,,,1330,66.5,,,https://hz.lianjia.com/apartment/92391.html,2026-05-03 23:20:42,30.36678,120.11571
gouzhuang,整租·万科杭宸一期 3室2厅 南,整租,万科杭宸一期,余杭区-勾庄-万科杭宸一期,88.92,3室2厅,南,,4400,49.5,,,https://hz.lianjia.com/zufang/HZ2161123093802647552.html,2026-05-03 23:21:29,30.35324,120.111866
gouzhuang,整租·星缦云渚 4室2厅 东,整租,星缦云渚,余杭区-勾庄-星缦云渚,128.24,4室2厅,东,,5000,39.0,,,https://hz.lianjia.com/zufang/HZ2154461808360947712.html,2026-05-03 23:21:29,30.357007,120.08106
gouzhuang,整租·城北万象城幸福里 3室2厅 南,整租,城北万象城幸福里,余杭区-勾庄-城北万象城幸福里,108.00,3室2厅,南,,5500,50.9,,,https://hz.lianjia.com/zufang/HZ2159679521362542592.html,2026-05-03 23:20:42,30.357007,120.08106
gouzhuang,整租·海德公园 3室2厅 南,整租,海德公园,余杭区-勾庄-海德公园,89.00,3室2厅,南,,4000,44.9,,,https://hz.lianjia.com/zufang/HZ1874055165351297024.html,2026-05-03 23:21:29,30.357007,120.08106
gouzhuang,整租·名城博园 3室2厅 南,整租,名城博园,余杭区-勾庄-名城博园,88.29,3室2厅,南,,3000,34.0,,,https://hz.lianjia.com/zufang/HZ2065389390179336192.html,2026-05-03 23:21:29,30.3775,120.09744
gouzhuang,整租·滨江运翠轩 4室2厅 南,整租,滨江运翠轩,余杭区-勾庄-滨江运翠轩,142.00,4室2厅,南,,8000,56.3,,,https://hz.lianjia.com/zufang/HZ2160936856634523648.html,2026-05-03 23:21:29,30.352061,120.09214
gouzhuang,整租·逸居城 4室2厅 跃层 南,整租,逸居城,余杭区-勾庄-逸居城,74.63,4室2厅,,,3600,48.2,,,https://hz.lianjia.com/zufang/HZ2157059998918639616.html,2026-05-03 23:20:42,30.38346,120.11152
gouzhuang,独栋·初九公寓 金恒德店 超级超级高性价比 1室1厅,独栋,初九公寓 金恒德店 超级超级高性价比,,30.00,1室1厅,,,1550,51.7,,,https://hz.lianjia.com/apartment/36186.html,2026-05-03 23:20:49,30.33049,120.129669
gouzhuang,整租·凯喜雅锦河湾 4室2厅 南,整租,凯喜雅锦河湾,余杭区-勾庄-凯喜雅锦河湾,200.00,4室2厅,南,,7000,35.0,,,https://hz.lianjia.com/zufang/HZ2108147961258049536.html,2026-05-03 23:20:42,30.352995,120.124188
gouzhuang,整租·世茂璀璨澜庭 4室2厅 南,整租,世茂璀璨澜庭,余杭区-勾庄-世茂璀璨澜庭,135.00,4室2厅,南,,6800,50.4,,,https://hz.lianjia.com/zufang/HZ2126648615249117184.html,2026-05-03 23:20:42,30.354794,120.125312
gouzhuang,整租·星缦云渚 3室2厅 南,整租,星缦云渚,余杭区-勾庄-星缦云渚,97.00,3室2厅,南,,4200,43.3,,,https://hz.lianjia.com/zufang/HZ2124456207073673216.html,2026-05-03 23:20:42,30.357007,120.08106
gouzhuang,整租·赞成赞城 4室2厅 南,整租,赞成赞城,余杭区-勾庄-赞成赞城,113.26,4室2厅,南,,4300,38.0,,,https://hz.lianjia.com/zufang/HZ2141786940742041600.html,2026-05-03 23:20:42,30.380615,120.099935
gouzhuang,整租·赞成美树 3室2厅 南,整租,赞成美树,余杭区-勾庄-赞成美树,139.00,3室2厅,南,,4500,32.4,,,https://hz.lianjia.com/zufang/HZ2142175117789102080.html,2026-05-03 23:20:42,30.366855,120.114899
gouzhuang,整租·星缦云渚 3室1厅 南/北,整租,星缦云渚,余杭区-勾庄-星缦云渚,106.71,3室1厅,南/北,,4500,42.2,,,https://hz.lianjia.com/zufang/HZ2154540973969899520.html,2026-05-03 23:21:00,30.357007,120.08106
gouzhuang,整租·翠宸里 3室2厅 南,整租,翠宸里,余杭区-勾庄-翠宸里,115.00,3室2厅,南,,6000,52.2,,,https://hz.lianjia.com/zufang/HZ2160287271780089856.html,2026-05-03 23:20:42,30.357007,120.08106
gouzhuang,独栋·宁巢公寓 南庄兜店 地铁口！国企公寓限时特惠，精装公寓近10号地铁线逸盛路，可短租 1室1厅,独栋,宁巢公寓 南庄兜店 地铁口！国企公寓限时特惠，精装公寓近10号地铁线逸盛路，可短租,,38.00,1室1厅,,,1570-1730,,,,https://hz.lianjia.com/apartment/101877.html,2026-05-03 23:20:46,30.382147,120.108824
