region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
heping2,整租·现代名苑 4室1厅 南,整租,现代名苑,拱墅区-和平-现代名苑,124.94,4室1厅,南,,5000,40.0,,,https://hz.lianjia.com/zufang/HZ2149494303393579008.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,整租·野风现代中心 1室1厅 南,整租,野风现代中心,拱墅区-和平-野风现代中心,51.00,1室1厅,南,,2700,52.9,,,https://hz.lianjia.com/zufang/HZ2118320167229325312.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,整租·野风现代中心 1室1厅 东,整租,野风现代中心,拱墅区-和平-野风现代中心,51.22,1室1厅,东,,3000,58.6,,,https://hz.lianjia.com/zufang/HZ2154990333572677632.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,合租·现代雅苑 5居室 西卧,合租,现代雅苑 5居室 西卧,拱墅区-和平-现代雅苑,20.30,,,,1830,90.1,,,https://hz.lianjia.com/zufang/HZ2158171358800904192.html,2026-05-03 22:26:21,30.29186,120.171625
heping2,整租·现代名苑 3室2厅 南,整租,现代名苑,拱墅区-和平-现代名苑,134.44,3室2厅,南,,5000,37.2,,,https://hz.lianjia.com/zufang/HZ2028779617489256448.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,合租·现代雅苑 4居室 南卧,合租,现代雅苑 4居室 南卧,拱墅区-和平-现代雅苑,7.90,,,,1130,143.0,,,https://hz.lianjia.com/zufang/HZ2143650928656384000.html,2026-05-03 22:26:21,30.29128,120.1704
heping2,整租·现代景苑 3室2厅 南,整租,现代景苑,拱墅区-和平-现代景苑,134.15,3室2厅,南,,6200,46.2,,,https://hz.lianjia.com/zufang/HZ2148690478751547392.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,整租·野风现代中心 1室1厅 南,整租,野风现代中心,拱墅区-和平-野风现代中心,80.00,1室1厅,南,,4200,52.5,,,https://hz.lianjia.com/zufang/HZ2154810910584078336.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,整租·野风现代中心 1室1厅 南,整租,野风现代中心,拱墅区-和平-野风现代中心,49.81,1室1厅,南,,3100,62.2,,,https://hz.lianjia.com/zufang/HZ2149110360639012864.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,合租·现代名苑 4居室 北卧,合租,现代名苑 4居室 北卧,拱墅区-和平-现代名苑,10.00,,,,1290,129.0,,,https://hz.lianjia.com/zufang/HZ2150561279025086464.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,整租·野风现代中心 1室1厅 南,整租,野风现代中心,拱墅区-和平-野风现代中心,49.93,1室1厅,南,,2800,56.1,,,https://hz.lianjia.com/zufang/HZ2149853399263215616.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,合租·现代名苑 4居室 北卧,合租,现代名苑 4居室 北卧,拱墅区-和平-现代名苑,12.00,,,,1360,113.3,,,https://hz.lianjia.com/zufang/HZ2131333108396457984.html,2026-05-03 22:26:21,30.28199,120.17251
heping2,整租·野风现代中心 1室1厅 南,整租,野风现代中心,拱墅区-和平-野风现代中心,60.00,1室1厅,南,,4500,75.0,,,https://hz.lianjia.com/zufang/HZ2147558599990181888.html,2026-05-03 22:26:21,30.28199,120.17251
