region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
hushu1,整租·大塘新村 1室1厅 南,整租,大塘新村,拱墅区-湖墅-大塘新村,28.24,1室1厅,南,,2000,70.8,,,https://hz.lianjia.com/zufang/HZ2149017816919965696.html,2026-05-03 22:25:48,30.28209,120.152383
hushu1,整租·浅水湾城市花园 4室2厅 南,整租,浅水湾城市花园,拱墅区-湖墅-浅水湾城市花园,127.00,4室2厅,南,,7600,59.8,,,https://hz.lianjia.com/zufang/HZ2147541209545965568.html,2026-05-03 22:25:21,30.294451,120.147196
hushu1,整租·大塘新村 1室2厅 南,整租,大塘新村,拱墅区-湖墅-大塘新村,60.00,1室2厅,南,,3500,58.3,,,https://hz.lianjia.com/zufang/HZ1859812461792722944.html,2026-05-03 22:25:48,30.28209,120.152383
hushu1,独栋·一清小筑公寓 湖墅南路店 特价朝西大床房 开间,独栋,一清小筑公寓 湖墅南路店 特价朝西大床房 开间,,16.00,,,,1080,67.5,,,https://hz.lianjia.com/apartment/20999.html,2026-05-03 22:25:21,30.28035,120.15007
hushu1,整租·浅水湾城市花园 1室1厅 南,整租,浅水湾城市花园,拱墅区-湖墅-浅水湾城市花园,53.18,1室1厅,南,,3190,60.0,,,https://hz.lianjia.com/zufang/HZ2159228376726896640.html,2026-05-03 22:25:48,30.294451,120.147196
hushu1,整租·维元弄 1室1厅 南,整租,维元弄,拱墅区-湖墅-维元弄,53.80,1室1厅,南,,3350,62.3,,,https://hz.lianjia.com/zufang/HZ1876473228008882176.html,2026-05-03 22:25:48,30.294451,120.147196
hushu1,整租·锦绣新村 3室2厅 南,整租,锦绣新村,拱墅区-湖墅-锦绣新村,97.00,3室2厅,南,,4320,44.5,,,https://hz.lianjia.com/zufang/HZ2151324011550736384.html,2026-05-03 22:25:21,30.291283,120.14797
hushu1,整租·五一新村 2室2厅 南,整租,五一新村,拱墅区-湖墅-五一新村,91.17,2室2厅,南,,3500,38.4,,,https://hz.lianjia.com/zufang/HZ2153316578735685632.html,2026-05-03 22:25:48,30.29617,120.14877
hushu1,合租·密渡桥路2号 3居室 西卧,合租,密渡桥路2号 3居室 西卧,拱墅区-湖墅-密渡桥路,5.28,,,,1030,195.1,,,https://hz.lianjia.com/zufang/HZ2156717000217329664.html,2026-05-03 22:25:21,30.278928,120.150096
hushu1,整租·锦绣新村 3室1厅 南,整租,锦绣新村,拱墅区-湖墅-锦绣新村,67.07,3室1厅,南,,3500,52.2,,,https://hz.lianjia.com/zufang/HZ2158045127589756928.html,2026-05-03 22:25:48,30.291283,120.14797
