region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jingfang1,整租·玉润钱潮府 4室2厅 南,整租,玉润钱潮府,上城区-景芳-玉润钱潮府,144.26,4室2厅,南,,10000,69.3,,,https://hz.lianjia.com/zufang/HZ1942078399690309632.html,2026-05-04 01:12:11,30.268278,120.203114
jingfang1,整租·中企艮山府东区 3室1厅 南/北,整租,中企艮山府东区,上城区-景芳-中企艮山府东区,89.30,3室1厅,南/北,,4200,47.0,,,https://hz.lianjia.com/zufang/HZ2138896291910909952.html,2026-05-04 01:12:11,30.271282,120.202349
jingfang1,整租·钱塘府 3室2厅 南,整租,钱塘府,上城区-景芳-钱塘府,108.77,3室2厅,南,,7500,69.0,,,https://hz.lianjia.com/zufang/HZ2147579867523186688.html,2026-05-04 01:12:11,30.272711,120.214195
jingfang1,独栋·米果公寓 华家池店 钱江新城 新塘地铁 景芳 天虹 独卫可做饭 开间,独栋,米果公寓 华家池店 钱江新城 新塘地铁 景芳 天虹 独卫可做饭 开间,,35.00,,,,2264-2346,,,,https://hz.lianjia.com/apartment/45871.html,2026-05-04 01:10:26,30.293558,120.319957
jingfang1,整租·景芳三区 2室1厅 南,整租,景芳三区,上城区-景芳-景芳三区,54.15,2室1厅,南,,3000,55.4,,,https://hz.lianjia.com/zufang/HZ1675048262043697152.html,2026-05-04 01:12:11,30.27224,120.20092
jingfang1,独栋·奶咖公寓 钱江新城店 昙花庵路地铁 带花园全新公寓·配全屋智能 可押一付一 1室1厅,独栋,奶咖公寓 钱江新城店 昙花庵路地铁 带花园全新公寓·配全屋智能 可押一付一,,50.00,1室1厅,,,3700,74.0,,,https://hz.lianjia.com/apartment/101289.html,2026-05-04 01:10:26,30.27821,120.15867
jingfang1,整租·云河家园 2室1厅 南,整租,云河家园,上城区-景芳-云河家园,78.88,2室1厅,南,,3500,44.4,,,https://hz.lianjia.com/zufang/HZ2160321544063025152.html,2026-05-04 01:12:17,30.268278,120.203114
jingfang1,整租·玉润钱潮府 4室2厅 南,整租,玉润钱潮府,上城区-景芳-玉润钱潮府,144.00,4室2厅,南,,12500,86.8,,,https://hz.lianjia.com/zufang/HZ2140650646854959104.html,2026-05-04 01:10:26,30.268278,120.203114
jingfang1,整租·景芳四区 2室1厅 南,整租,景芳四区,上城区-景芳-景芳四区,52.89,2室1厅,南,,2900,54.8,,,https://hz.lianjia.com/zufang/HZ2026690590845960192.html,2026-05-04 01:12:11,30.275137,120.199767
jingfang1,整租·云河家园 1室1厅 南,整租,云河家园,上城区-景芳-云河家园,62.19,1室1厅,南,,4000,64.3,,,https://hz.lianjia.com/zufang/HZ2153116869265981440.html,2026-05-04 01:12:17,30.268278,120.203114
jingfang1,独栋·华皙 新逸公寓华家池店 超大阳台拎包入住 1室1厅,独栋,华皙 新逸公寓华家池店 超大阳台拎包入住,,40.00,1室1厅,,,2700,67.5,,,https://hz.lianjia.com/apartment/51843.html,2026-05-04 01:10:26,30.279423,120.114574
jingfang1,整租·中企艮山府东区 3室1厅 南,整租,中企艮山府东区,上城区-景芳-中企艮山府东区,89.00,3室1厅,南,,5000,56.2,,,https://hz.lianjia.com/zufang/HZ2158783297956610048.html,2026-05-04 01:10:51,30.271282,120.202349
jingfang1,整租·中企艮山府西区 4室2厅 南/北,整租,中企艮山府西区,上城区-景芳-中企艮山府西区,283.00,4室2厅,南/北,,18800,66.4,,,https://hz.lianjia.com/zufang/HZ2137495955023331328.html,2026-05-04 01:10:26,30.271282,120.202349
jingfang1,整租·交运大厦 1室1厅 南,整租,交运大厦,上城区-景芳-交运大厦,884.38,1室1厅,南,,1950,2.2,,,https://hz.lianjia.com/zufang/HZ2142945723446984704.html,2026-05-04 01:11:52,30.27286,120.214232
jingfang1,整租·保利中盛府 4室2厅 南,整租,保利中盛府,上城区-景芳-保利中盛府,139.00,4室2厅,南,,10700,77.0,,,https://hz.lianjia.com/zufang/HZ2149841850075185152.html,2026-05-04 01:10:26,30.268278,120.203114
jingfang1,整租·保利中盛府 4室2厅 南,整租,保利中盛府,上城区-景芳-保利中盛府,139.00,4室2厅,南,,10500,75.5,,,https://hz.lianjia.com/zufang/HZ2150939963598831616.html,2026-05-04 01:10:26,30.268278,120.203114
jingfang1,独栋·宁巢公寓 景芳店 两室一厅 民用水电 押一付一 2室1厅,独栋,宁巢公寓 景芳店 两室一厅 民用水电 押一付一,,51.00,2室1厅,,,2872,56.3,,,https://hz.lianjia.com/apartment/101284.html,2026-05-04 01:10:29,30.296147,120.192908
jingfang1,整租·天阳凤起 4室2厅 南,整租,天阳凤起,上城区-景芳-天阳凤起,132.44,4室2厅,南,,8500,64.2,,,https://hz.lianjia.com/zufang/HZ2160330346757881856.html,2026-05-04 01:10:26,30.268278,120.203114
jingfang1,整租·广景苑 3室2厅 南/北,整租,广景苑,上城区-景芳-广景苑,137.00,3室2厅,南/北,,6500,47.4,,,https://hz.lianjia.com/zufang/HZ2152634883602644992.html,2026-05-04 01:10:26,30.268278,120.203114
jingfang1,整租·景芳四区 2室1厅 南,整租,景芳四区,上城区-景芳-景芳四区,56.00,2室1厅,南,,3500,62.5,,,https://hz.lianjia.com/zufang/HZ2156676211139411968.html,2026-05-04 01:10:48,30.275137,120.199767
jingfang1,整租·融创涌清府 4室2厅 南,整租,融创涌清府,上城区-景芳-融创涌清府,148.00,4室2厅,南,,11000,74.3,,,https://hz.lianjia.com/zufang/HZ2160073970085265408.html,2026-05-04 01:10:26,30.268278,120.203114
jingfang1,独栋·恒浩公寓 新塘店 景芳.新塘地铁口.天虹商场附近公寓.【短租勿扰】可做饭.可月付 开间,独栋,恒浩公寓 新塘店 景芳.新塘地铁口.天虹商场附近公寓.【短租勿扰】可做饭.可月付 开间,,35.00,,,,2280-2380,,,,https://hz.lianjia.com/apartment/44286.html,2026-05-04 01:10:26,30.26686,120.20548
jingfang1,整租·景芳六区 2室1厅 南,整租,景芳六区,上城区-景芳-景芳六区,64.13,2室1厅,南,,3000,46.8,,,https://hz.lianjia.com/zufang/HZ2158535901087531008.html,2026-05-04 01:12:11,30.274958,120.204142
jingfang1,整租·顺福雅苑二区 3室1厅 南,整租,顺福雅苑二区,上城区-景芳-顺福雅苑二区,80.00,3室1厅,南,,6280,78.5,,,https://hz.lianjia.com/zufang/HZ2156966996837662720.html,2026-05-04 01:10:51,30.268913,120.205699
jingfang1,整租·云河家园 2室1厅 南/西/北,整租,云河家园,上城区-景芳-云河家园,78.57,2室1厅,南/西/北,,3500,44.5,,,https://hz.lianjia.com/zufang/HZ2149805418426138624.html,2026-05-04 01:12:11,30.268278,120.203114
jingfang1,整租·向江来时代中心 1室1厅 西北,整租,向江来时代中心,上城区-景芳-向江来时代中心,38.78,1室1厅,西北,,3333,85.9,,,https://hz.lianjia.com/zufang/HZ2013997005767966720.html,2026-05-04 01:12:11,30.268278,120.203114
jingfang1,整租·景芳新五区 3室1厅 南,整租,景芳新五区,上城区-景芳-景芳新五区,78.21,3室1厅,南,,3700,47.3,,,https://hz.lianjia.com/zufang/HZ1761388052392968192.html,2026-05-04 01:12:11,30.272137,120.203698
jingfang1,整租·东方御府 3室2厅 南/北,整租,东方御府,上城区-景芳-东方御府,176.00,3室2厅,南/北,,15000,85.2,,,https://hz.lianjia.com/zufang/HZ2157443889810636800.html,2026-05-04 01:11:57,30.270607,120.210244
