region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jinjiang1,整租·景江城市花园 1室1厅 南,整租,景江城市花园,上城区-近江-景江城市花园,47.89,1室1厅,南,,2800,58.5,,,https://hz.lianjia.com/zufang/HZ2020537679086616576.html,2026-05-04 01:13:48,30.233274,120.193289
jinjiang1,整租·景江城市花园 3室2厅 西南,整租,景江城市花园,上城区-近江-景江城市花园,138.00,3室2厅,西南,,6300,45.7,,,https://hz.lianjia.com/zufang/HZ2107016887622696960.html,2026-05-04 01:12:25,30.233274,120.193289
jinjiang1,整租·景江城市花园 1室1厅 南,整租,景江城市花园,上城区-近江-景江城市花园,56.00,1室1厅,南,,3200,57.1,,,https://hz.lianjia.com/zufang/HZ1874399729882759168.html,2026-05-04 01:13:48,30.233274,120.193289
jinjiang1,独栋·华皙 郡亭公寓店 近钱江新城，精装一室一厅，民水民电，城星路地铁口 开间,独栋,华皙 郡亭公寓店 近钱江新城，精装一室一厅，民水民电，城星路地铁口 开间,,23.00,,,,2500,108.7,,,https://hz.lianjia.com/apartment/51146.html,2026-05-04 01:12:25,30.24101,120.202473
jinjiang1,整租·景江城市花园 1室1厅 西南/西北,整租,景江城市花园,上城区-近江-景江城市花园,47.89,1室1厅,西南/西北,,3300,68.9,,,https://hz.lianjia.com/zufang/HZ1892544846531395584.html,2026-05-04 01:13:48,30.233274,120.193289
jinjiang1,整租·近江家园二园 1室1厅 南,整租,近江家园二园,上城区-近江-近江家园二园,52.16,1室1厅,南,,3000,57.5,,,https://hz.lianjia.com/zufang/HZ2022212050263998464.html,2026-05-04 01:13:48,30.232371,120.195943
jinjiang1,整租·郡亭公寓 3室2厅 南,整租,郡亭公寓,上城区-近江-郡亭公寓,157.00,3室2厅,南,,7800,49.7,,,https://hz.lianjia.com/zufang/HZ2152298014897602560.html,2026-05-04 01:12:25,30.233274,120.193289
jinjiang1,整租·华龙家园 2室1厅 南,整租,华龙家园,上城区-近江-华龙家园,73.75,2室1厅,南,,3600,48.8,,,https://hz.lianjia.com/zufang/HZ1874301536637550592.html,2026-05-04 01:13:48,30.233274,120.193289
jinjiang1,整租·在水一方公寓 3室2厅 南,整租,在水一方公寓,上城区-近江-在水一方公寓,144.91,3室2厅,南,,6394,44.1,,,https://hz.lianjia.com/zufang/HZ2151359440614326272.html,2026-05-04 01:13:48,30.233274,120.193289
jinjiang1,整租·景江城市花园 1室1厅 南,整租,景江城市花园,上城区-近江-景江城市花园,40.00,1室1厅,南,,2500,62.5,,,https://hz.lianjia.com/zufang/HZ2161385193921839104.html,2026-05-04 01:13:35,30.233274,120.193289
jinjiang1,整租·近江家园一园 3室1厅 南,整租,近江家园一园,上城区-近江-近江家园一园,90.00,3室1厅,南,,4600,51.1,,,https://hz.lianjia.com/zufang/HZ2155633607769587712.html,2026-05-04 01:12:25,30.232371,120.195943
jinjiang1,合租·近江家园四园 2居室 北卧,合租,近江家园四园 2居室 北卧,上城区-近江-近江家园四园,6.80,,,,1390,204.4,,,https://hz.lianjia.com/zufang/HZ2073370210001223680.html,2026-05-04 01:12:25,30.232371,120.195943
jinjiang1,合租·婺江家园一园 3居室 北卧,合租,婺江家园一园 3居室 北卧,上城区-近江-婺江家园一园,13.80,,,,1690,122.5,,,https://hz.lianjia.com/zufang/HZ2141823202865709056.html,2026-05-04 01:12:25,30.238658,120.194498
jinjiang1,整租·钱塘名都 4室2厅 南,整租,钱塘名都,上城区-近江-钱塘名都,127.00,4室2厅,南,,8500,66.9,,,https://hz.lianjia.com/zufang/HZ2150825911589535744.html,2026-05-04 01:12:52,30.233274,120.193289
jinjiang1,合租·婺江家园三园 4居室 南卧,合租,婺江家园三园 4居室 南卧,上城区-近江-婺江家园三园,9.10,,,,1484,163.1,,,https://hz.lianjia.com/zufang/HZ2087531642548649984.html,2026-05-04 01:12:25,30.23365,120.198575
jinjiang1,整租·近江家园一园 2室2厅 南,整租,近江家园一园,上城区-近江-近江家园一园,90.00,2室2厅,南,,4500,50.0,,,https://hz.lianjia.com/zufang/HZ2146868793144508416.html,2026-05-04 01:12:25,30.232371,120.195943
jinjiang1,整租·景江城市花园 3室2厅 西南,整租,景江城市花园,上城区-近江-景江城市花园,138.00,3室2厅,西南,,6500,47.1,,,https://hz.lianjia.com/zufang/HZ2109546603743281152.html,2026-05-04 01:12:25,30.233274,120.193289
jinjiang1,合租·婺江家园三园 3居室 北卧,合租,婺江家园三园 3居室 北卧,上城区-近江-婺江家园三园,9.66,,,,1290,133.5,,,https://hz.lianjia.com/zufang/HZ2149859527757922304.html,2026-05-04 01:12:25,30.238658,120.194498
jinjiang1,整租·在水一方公寓 3室1厅 南,整租,在水一方公寓,上城区-近江-在水一方公寓,112.00,3室1厅,南,,5800,51.8,,,https://hz.lianjia.com/zufang/HZ2109601753866436608.html,2026-05-04 01:12:25,30.233274,120.193289
