region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
jinshahu,整租·杭州东部国际商务中心 1室1厅 南,整租,杭州东部国际商务中心,钱塘区-金沙湖-杭州东部国际商务中心,58.57,1室1厅,南,,2800,47.8,,,https://hz.lianjia.com/zufang/HZ2157867896406016000.html,2026-05-03 22:09:33,30.31487,120.3203
jinshahu,整租·龙湖滟澜星座 1室1厅 北,整租,龙湖滟澜星座,钱塘区-金沙湖-龙湖滟澜星座,60.00,1室1厅,北,,3000,50.0,,,https://hz.lianjia.com/zufang/HZ2097551992695029760.html,2026-05-03 22:09:33,30.311,120.32419
jinshahu,整租·龙湖滟澜星座 1室1厅 南,整租,龙湖滟澜星座,钱塘区-金沙湖-龙湖滟澜星座,53.48,1室1厅,南,,2700,50.5,,,https://hz.lianjia.com/zufang/HZ2144715210022191104.html,2026-05-03 22:11:25,30.311,120.32419
jinshahu,独栋·爱租 蓝湖国际店 【房东直租】下沙邵逸夫旁精装一室免费维修 1室1厅,独栋,爱租 蓝湖国际店 【房东直租】下沙邵逸夫旁精装一室免费维修,,45.00,1室1厅,,,2400,53.3,,,https://hz.lianjia.com/apartment/106716.html,2026-05-03 22:09:37,30.338203,119.889492
jinshahu,整租·泰美国际大厦 1室1厅 南,整租,泰美国际大厦,钱塘区-金沙湖-泰美国际大厦,47.18,1室1厅,南,,2300,48.7,,,https://hz.lianjia.com/zufang/HZ2156330882254766080.html,2026-05-03 22:11:25,30.309246,120.314301
jinshahu,独栋·冠寓 杭州金沙湖欢肆店 实习短租特惠！金沙湖核心商圈，近高沙路地铁口，企业学生折上折押一付一0中介费 1室1厅,独栋,冠寓 杭州金沙湖欢肆店 实习短租特惠！金沙湖核心商圈，近高沙路地铁口，企业学生折上折押一付一0中介费,,30.00,1室1厅,,,2499,83.3,,,https://hz.lianjia.com/apartment/95509.html,2026-05-03 22:09:33,30.18111,120.25017
jinshahu,整租·龙湖滟澜山茗轩南区三期 3室1厅 南,整租,龙湖滟澜山茗轩南区三期,钱塘区-金沙湖-龙湖滟澜山茗轩南区三期,130.00,3室1厅,南,,5600,43.1,,,https://hz.lianjia.com/zufang/HZ1933063763448037376.html,2026-05-03 22:11:25,30.3131,120.32439
jinshahu,整租·绿城春风金沙 4室2厅 南/北,整租,绿城春风金沙,钱塘区-金沙湖-绿城春风金沙,127.00,4室2厅,南/北,,9500,74.8,,,https://hz.lianjia.com/zufang/HZ2158210323230752768.html,2026-05-03 22:11:20,30.309246,120.314301
jinshahu,整租·龙湖滟澜星座 1室1厅 北,整租,龙湖滟澜星座,钱塘区-金沙湖-龙湖滟澜星座,59.13,1室1厅,北,,2800,47.4,,,https://hz.lianjia.com/zufang/HZ2155561622163161088.html,2026-05-03 22:11:25,30.311,120.32419
jinshahu,独栋·绿城长租公寓 下沙店 【品质首先】近下沙龙湖天街 可短租 无中介费 1室1厅,独栋,绿城长租公寓 下沙店 【品质首先】近下沙龙湖天街 可短租 无中介费,,39.00,1室1厅,,,2450-2600,,,,https://hz.lianjia.com/apartment/69853.html,2026-05-03 22:09:33,30.31592,120.39159
jinshahu,整租·紫棠园 4室2厅 南,整租,紫棠园,钱塘区-金沙湖-紫棠园,131.22,4室2厅,南,,8200,62.5,,,https://hz.lianjia.com/zufang/HZ2048331079797964800.html,2026-05-03 22:11:25,30.309246,120.314301
jinshahu,合租·金沙湖1号 5居室 南卧,合租,金沙湖1号 5居室 南卧,钱塘区-金沙湖-金沙湖,15.00,,,,1630,108.7,,,https://hz.lianjia.com/zufang/HZ2160944147001769984.html,2026-05-03 22:09:33,30.3076,120.31016
jinshahu,整租·龙湖滟澜星座 1室1厅 北,整租,龙湖滟澜星座,钱塘区-金沙湖-龙湖滟澜星座,62.00,1室1厅,北,,2800,45.2,,,https://hz.lianjia.com/zufang/HZ2110218837180809216.html,2026-05-03 22:09:33,30.311,120.32419
jinshahu,整租·湖上春风里 4室2厅 南,整租,湖上春风里,钱塘区-金沙湖-湖上春风里,126.00,4室2厅,南,,8800,69.8,,,https://hz.lianjia.com/zufang/HZ2153764775954219008.html,2026-05-03 22:10:18,30.311,120.32419
jinshahu,合租·德信早城 4居室 北卧,合租,德信早城 4居室 北卧,钱塘区-金沙湖-德信早城,7.80,,,,1090,139.7,,,https://hz.lianjia.com/zufang/HZ2146468847006253056.html,2026-05-03 22:09:33,30.311075,120.325684
jinshahu,合租·名城湖左岸 5居室 南卧,合租,名城湖左岸 5居室 南卧,钱塘区-金沙湖-名城湖左岸,30.00,,,,1960,65.3,,,https://hz.lianjia.com/zufang/HZ2161763694277558272.html,2026-05-03 22:09:33,30.3076,120.31016
jinshahu,整租·龙湖滟澜山丽轩一期 3室2厅 南,整租,龙湖滟澜山丽轩一期,钱塘区-金沙湖-龙湖滟澜山丽轩一期,142.00,3室2厅,南,,7800,54.9,,,https://hz.lianjia.com/zufang/HZ2119016606121066496.html,2026-05-03 22:09:33,30.3131,120.32439
jinshahu,合租·金沙湖1号 3居室 北卧,合租,金沙湖1号 3居室 北卧,钱塘区-金沙湖-金沙湖,9.50,,,,1160,122.1,,,https://hz.lianjia.com/zufang/HZ2054134090621255680.html,2026-05-03 22:09:33,30.311075,120.325684
jinshahu,整租·东方铭楼 1室1厅 北,整租,东方铭楼,钱塘区-金沙湖-东方铭楼,57.00,1室1厅,北,,2700,47.4,,,https://hz.lianjia.com/zufang/HZ2149041001304424448.html,2026-05-03 22:11:06,30.309246,120.314301
jinshahu,整租·铭和苑柳翠坊 2室1厅 南,整租,铭和苑柳翠坊,钱塘区-金沙湖-铭和苑柳翠坊,90.00,2室1厅,南,,4000,44.4,,,https://hz.lianjia.com/zufang/HZ2153768715076763648.html,2026-05-03 22:10:18,30.309246,120.314301
jinshahu,独栋·杭驻公寓 永裕大厦店 下沙地铁口300 直租无中介 配套齐全 押一付一 开间,独栋,杭驻公寓 永裕大厦店 下沙地铁口300 直租无中介 配套齐全 押一付一 开间,,30.00,,,,2201,73.4,,,https://hz.lianjia.com/apartment/66845.html,2026-05-03 22:09:33,29.429812,118.606098
jinshahu,整租·四季广场 1室1厅 南,整租,四季广场,钱塘区-金沙湖-四季广场,30.00,1室1厅,南,,1300,43.3,,,https://hz.lianjia.com/zufang/HZ2141548642509520896.html,2026-05-03 22:10:48,30.309246,120.314301
jinshahu,整租·东沙铭城 1室1厅 南,整租,东沙铭城,钱塘区-金沙湖-东沙铭城,40.00,1室1厅,南,,2000,50.0,,,https://hz.lianjia.com/zufang/HZ2157808588628688896.html,2026-05-03 22:10:20,30.309246,120.314301
jinshahu,整租·湖上春风里 4室2厅 南,整租,湖上春风里,钱塘区-金沙湖-湖上春风里,125.00,4室2厅,南,,8800,70.4,,,https://hz.lianjia.com/zufang/HZ2150115690026106880.html,2026-05-03 22:11:06,30.311,120.32419
jinshahu,整租·湖上春风里 3室2厅 南,整租,湖上春风里,钱塘区-金沙湖-湖上春风里,105.00,3室2厅,南,,6900,65.7,,,https://hz.lianjia.com/zufang/HZ2156621577125363712.html,2026-05-03 22:10:20,30.311,120.32419
jinshahu,独栋·尚屋 学源大厦店 纯白简约公寓 1室1厅,独栋,尚屋 学源大厦店 纯白简约公寓,,36.00,1室1厅,,,2050,56.9,,,https://hz.lianjia.com/apartment/97340.html,2026-05-03 22:09:33,30.25973,120.0867
jinshahu,独栋·尚屋 松合时代店 下沙西地铁口 独门独户 洗烘一体单身公寓 1室1厅,独栋,尚屋 松合时代店 下沙西地铁口 独门独户 洗烘一体单身公寓,,30.00,1室1厅,,,1750,58.3,,,https://hz.lianjia.com/apartment/97906.html,2026-05-03 22:09:33,30.25973,120.0867
jinshahu,独栋·尚屋 四季广场店 四季广场 55方超大一室一厅 不短租 1室1厅,独栋,尚屋 四季广场店 四季广场 55方超大一室一厅 不短租,,55.00,1室1厅,,,2600,47.3,,,https://hz.lianjia.com/apartment/107779.html,2026-05-03 22:09:33,30.291969,120.350919
jinshahu,整租·泰美国际大厦 1室1厅 南/北,整租,泰美国际大厦,钱塘区-金沙湖-泰美国际大厦,47.18,1室1厅,南/北,,2300,48.7,,,https://hz.lianjia.com/zufang/HZ1719318131714818048.html,2026-05-03 22:11:25,30.309246,120.314301
jinshahu,整租·学林铭城 2室1厅 南,整租,学林铭城,钱塘区-金沙湖-学林铭城,60.00,2室1厅,南,,3300,55.0,,,https://hz.lianjia.com/zufang/HZ2159597515756797952.html,2026-05-03 22:09:37,30.309246,120.314301
jinshahu,整租·龙湖滟澜山澜轩 3室1厅 南,整租,龙湖滟澜山澜轩,钱塘区-金沙湖-龙湖滟澜山澜轩,127.52,3室1厅,南,,6000,47.1,,,https://hz.lianjia.com/zufang/HZ2159226045746642944.html,2026-05-03 22:11:52,30.311,120.32419
jinshahu,整租·名城湖左岸 4室2厅 南,整租,名城湖左岸,钱塘区-金沙湖-名城湖左岸,125.68,4室2厅,南,,5800,46.1,,,https://hz.lianjia.com/zufang/HZ2124800330305634304.html,2026-05-03 22:11:25,30.309246,120.314301
jinshahu,合租·金沙湖1号 3居室 南卧,合租,金沙湖1号 3居室 南卧,钱塘区-金沙湖-金沙湖,15.92,,,,1460,91.7,,,https://hz.lianjia.com/zufang/HZ2100944432089006080.html,2026-05-03 22:09:37,30.3076,120.31016
jinshahu,整租·吾角商业中心 1室1厅 北,整租,吾角商业中心,钱塘区-金沙湖-吾角商业中心,40.79,1室1厅,北,,2000,49.0,,,https://hz.lianjia.com/zufang/HZ2027304545511538688.html,2026-05-03 22:11:25,30.309246,120.314301
jinshahu,整租·吾角商业中心 1室1厅 北,整租,吾角商业中心,钱塘区-金沙湖-吾角商业中心,42.00,1室1厅,北,,2500,59.5,,,https://hz.lianjia.com/zufang/HZ2157483548498460672.html,2026-05-03 22:09:37,30.309246,120.314301
jinshahu,整租·东方铭楼 1室1厅 北,整租,东方铭楼,钱塘区-金沙湖-东方铭楼,57.38,1室1厅,北,,2600,45.3,,,https://hz.lianjia.com/zufang/HZ1965264367880503296.html,2026-05-03 22:11:25,30.309246,120.314301
jinshahu,整租·杭州东部国际商务中心 1室1厅 南,整租,杭州东部国际商务中心,钱塘区-金沙湖-杭州东部国际商务中心,58.57,1室1厅,南,,2700,46.1,,,https://hz.lianjia.com/zufang/HZ1837392715466145792.html,2026-05-03 22:11:25,30.31487,120.3203
