region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
liuxia1,整租·景顺铂悦城 1室1厅 西南,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,42.53,1室1厅,西南,,1800,42.3,,,https://hz.lianjia.com/zufang/HZ2111105351968358400.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 2室1厅 西,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,50.00,2室1厅,西,,2000,40.0,,,https://hz.lianjia.com/zufang/HZ2155867903109365760.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 1室1厅 LOFT 东,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,35.00,1室1厅,,,1800,51.4,,,https://hz.lianjia.com/zufang/HZ1954773601001406464.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 2室2厅 南,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,47.84,2室2厅,南,,3550,74.2,,,https://hz.lianjia.com/zufang/HZ2025156270159298560.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 2室2厅 东,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,17.00,2室2厅,东,,1750,102.9,,,https://hz.lianjia.com/zufang/HZ2159587534680621056.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 2室1厅 南,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,50.00,2室1厅,南,,2500,50.0,,,https://hz.lianjia.com/zufang/HZ2113954403936370688.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·九月森林 8室2厅 南,整租,九月森林,西湖区-留下-九月森林,234.52,8室2厅,南,,16000,68.2,,,https://hz.lianjia.com/zufang/HZ2159855270027591680.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·九月森林 5室2厅 东南,整租,九月森林,西湖区-留下-九月森林,285.75,5室2厅,东南,,18000,63.0,,,https://hz.lianjia.com/zufang/HZ2057849499274969088.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·海陆UN公社 1室1厅 南,整租,海陆UN公社,西湖区-留下-海陆,40.00,1室1厅,南,,1450,36.2,,,https://hz.lianjia.com/zufang/HZ2149466770195349504.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 1室1厅 西南,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,40.06,1室1厅,西南,,1900,47.4,,,https://hz.lianjia.com/zufang/HZ2152374540540313600.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 1室1厅 南/北,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,48.52,1室1厅,南/北,,2000,41.2,,,https://hz.lianjia.com/zufang/HZ2157077245066215424.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·九月森林 4室2厅 南,整租,九月森林,西湖区-留下-九月森林,155.00,4室2厅,南,,7500,48.4,,,https://hz.lianjia.com/zufang/HZ2148353075495043072.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·海陆UN公社 3室2厅 南,整租,海陆UN公社,西湖区-留下-海陆,93.00,3室2厅,南,,5000,53.8,,,https://hz.lianjia.com/zufang/HZ2158435316044660736.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·九月森林 3室2厅 南,整租,九月森林,西湖区-留下-九月森林,154.00,3室2厅,南,,6000,39.0,,,https://hz.lianjia.com/zufang/HZ2159127385100779520.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·人和家园 3室2厅 东南,整租,人和家园,余杭区-留下-人和家园,138.00,3室2厅,东南,,4300,31.2,,,https://hz.lianjia.com/zufang/HZ2161908195142926336.html,2026-05-03 23:21:44,30.2492,120.04134
liuxia1,整租·景顺铂悦城 1室1厅 LOFT 东,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,35.00,1室1厅,,,1800,51.4,,,https://hz.lianjia.com/zufang/HZ2162096578314108928.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·九月森林 7室4厅 南/北,整租,九月森林,西湖区-留下-九月森林,370.00,7室4厅,南/北,,17000,45.9,,,https://hz.lianjia.com/zufang/HZ2015280794183925760.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,合租·景顺铂悦城 2居室 西卧,合租,景顺铂悦城 2居室 西卧,西湖区-留下-景顺铂悦城,36.00,,,,2000,55.6,,,https://hz.lianjia.com/zufang/HZ2156434963132579840.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·九月森林 3室2厅 南,整租,九月森林,西湖区-留下-九月森林,127.52,3室2厅,南,,5500,43.1,,,https://hz.lianjia.com/zufang/HZ2150864096898056192.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·人和家园 1室1厅 南,整租,人和家园,余杭区-留下-人和家园,44.00,1室1厅,南,,1850,42.0,,,https://hz.lianjia.com/zufang/HZ2141358525132046336.html,2026-05-03 23:21:44,30.2492,120.04134
liuxia1,整租·人和家园 3室2厅 东/南,整租,人和家园,余杭区-留下-人和家园,138.65,3室2厅,东/南,,1800,13.0,,,https://hz.lianjia.com/zufang/HZ1838459143510294528.html,2026-05-03 23:21:44,30.2492,120.04134
liuxia1,整租·人和家园 4室2厅 南,整租,人和家园,余杭区-留下-人和家园,138.00,4室2厅,南,,3000,21.7,,,https://hz.lianjia.com/zufang/HZ2128849541431033856.html,2026-05-03 23:21:44,30.2492,120.04134
liuxia1,整租·景顺铂悦城 1室1厅 南,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,40.57,1室1厅,南,,2100,51.8,,,https://hz.lianjia.com/zufang/HZ2099813379509059584.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·景顺铂悦城 1室1厅 东,整租,景顺铂悦城,西湖区-留下-景顺铂悦城,36.00,1室1厅,东,,1800,50.0,,,https://hz.lianjia.com/zufang/HZ2155895191863558144.html,2026-05-03 23:21:44,30.240236,120.047728
liuxia1,整租·人和家园 1室1厅 南,整租,人和家园,余杭区-留下-人和家园,44.00,1室1厅,南,,2200,50.0,,,https://hz.lianjia.com/zufang/HZ2161051760301441024.html,2026-05-03 23:21:44,30.2492,120.04134
liuxia1,整租·人和家园 3室2厅 南,整租,人和家园,余杭区-留下-人和家园,119.64,3室2厅,南,,3600,30.1,,,https://hz.lianjia.com/zufang/HZ2155263995190181888.html,2026-05-03 23:21:44,30.2492,120.04134
