region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
nanbuwocheng,绿城长租公寓·朝阳店,绿城长租公寓,朝阳店,号线-朝阳站,,,,,2400,,,12个热租房型 >,https://hz.lianjia.com/apartment/45640.html?ad_code=131491022279950672&ad_type=10,2026-05-04 00:03:18,23.2327,113.21138
nanbuwocheng,整租·文宸望府 3室2厅 南/北,整租,文宸望府,萧山区-南部卧城-文宸望府,98.58,3室2厅,南/北,,3100,31.4,,,https://hz.lianjia.com/zufang/HZ2157113824539312128.html,2026-05-04 00:03:18,30.09498,120.27427
nanbuwocheng,整租·绿城九龙仓桂语朝阳 4室2厅 南,整租,绿城九龙仓桂语朝阳,萧山区-南部卧城-绿城九龙仓桂语朝阳,137.00,4室2厅,南,,6000,43.8,,,https://hz.lianjia.com/zufang/HZ2133476507870298112.html,2026-05-04 00:03:18,30.09498,120.27427
nanbuwocheng,整租·朝闻花城 4室2厅 南,整租,朝闻花城,萧山区-南部卧城-朝闻花城,119.16,4室2厅,南,,5355,44.9,,,https://hz.lianjia.com/zufang/HZ2158847233817051136.html,2026-05-04 00:11:41,30.184391,120.254751
nanbuwocheng,独栋·爱租 文化艺佳城店 【特惠】近银泰百货 包物业 可押一付一 干湿分离 品牌直租 2室1厅,独栋,爱租 文化艺佳城店 【特惠】近银泰百货 包物业 可押一付一 干湿分离 品牌直租,,38.00,2室1厅,,,2600,68.4,,,https://hz.lianjia.com/apartment/106706.html,2026-05-04 00:03:20,30.06366,119.94291
nanbuwocheng,整租·奥园 3室2厅 南,整租,奥园,萧山区-南部卧城-奥园,126.91,3室2厅,南,,3200,25.2,,,https://hz.lianjia.com/zufang/HZ2145461381913116672.html,2026-05-04 00:11:41,30.184391,120.254751
nanbuwocheng,合租·众安朝阳8号 4居室 南卧,合租,众安朝阳8号 4居室 南卧,萧山区-南部卧城-众安朝阳,11.00,,,,1230,111.8,,,https://hz.lianjia.com/zufang/HZ2137200297418686464.html,2026-05-04 00:03:18,30.12891,120.262718
nanbuwocheng,整租·朝阳银座 1室1厅 北,整租,朝阳银座,萧山区-南部卧城-朝阳银座,46.74,1室1厅,北,,2000,42.8,,,https://hz.lianjia.com/zufang/HZ2150139591561052160.html,2026-05-04 00:11:41,30.184391,120.254751
nanbuwocheng,整租·宸宇府 4室2厅 南/北,整租,宸宇府,萧山区-南部卧城-宸宇府,119.45,4室2厅,南/北,,5650,47.3,,,https://hz.lianjia.com/zufang/HZ2154512368254582784.html,2026-05-04 00:08:04,30.184391,120.254751
nanbuwocheng,整租·汇宇花园 3室2厅 南,整租,汇宇花园,萧山区-南部卧城-汇宇花园,113.16,3室2厅,南,,2850,25.2,,,https://hz.lianjia.com/zufang/HZ2030925627753758720.html,2026-05-04 00:11:52,30.184391,120.254751
