region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
qiaoxi1,精选公寓·全居公寓,精选公寓,全居公寓,,,,,,1200,,,1套热租 >,https://hz.lianjia.com/zufang/qiaoxi1/ab200306002486,2026-05-03 22:29:29,29.657715,118.774375
qiaoxi1,整租·绿城运河郡 1室1厅 南,整租,绿城运河郡,拱墅区-桥西-绿城运河郡,46.09,1室1厅,南,,2500,54.2,,,https://hz.lianjia.com/zufang/HZ2158052964151853056.html,2026-05-03 22:30:44,30.319978,120.134117
qiaoxi1,整租·绿城运河郡 2室1厅 西北,整租,绿城运河郡,拱墅区-桥西-绿城运河郡,65.09,2室1厅,西北,,3350,51.5,,,https://hz.lianjia.com/zufang/HZ2132445061521080320.html,2026-05-03 22:29:29,30.319978,120.134117
qiaoxi1,整租·绿城运河郡 1室1厅 北,整租,绿城运河郡,拱墅区-桥西-绿城运河郡,42.25,1室1厅,北,,2200,52.1,,,https://hz.lianjia.com/zufang/HZ2001956018749177856.html,2026-05-03 22:30:44,30.319978,120.134117
qiaoxi1,独栋·泊寓 国展店 【学生认证领1688元租房礼包】24小时安保，楼下免费健身房 开间,独栋,泊寓 国展店 【学生认证领1688元租房礼包】24小时安保，楼下免费健身房 开间,,34.00,,,,2054,60.4,,,https://hz.lianjia.com/apartment/79751.html,2026-05-03 22:29:29,30.30389,120.1011
qiaoxi1,整租·名城公馆 3室2厅 南,整租,名城公馆,拱墅区-桥西-名城公馆,133.68,3室2厅,南,,6000,44.9,,,https://hz.lianjia.com/zufang/HZ2156607810966650880.html,2026-05-03 22:30:44,30.319978,120.134117
qiaoxi1,合租·锦绣文澜阁 4居室 南卧,合租,锦绣文澜阁 4居室 南卧,拱墅-桥西-锦绣文澜阁,20.00,,,,1200,60.0,,,https://hz.lianjia.com/zufang/HZ1660849768995225600.html,2026-05-03 22:29:29,30.281767,120.155502
qiaoxi1,整租·绿城运河郡 1室1厅 东,整租,绿城运河郡,拱墅区-桥西-绿城运河郡,59.77,1室1厅,东,,2500,41.8,,,https://hz.lianjia.com/zufang/HZ2009213800313520128.html,2026-05-03 22:30:44,30.319978,120.134117
qiaoxi1,整租·方正360空间大厦 1室1厅 南,整租,方正360空间大厦,拱墅区-桥西-方正,60.00,1室1厅,南,,2500,41.7,,,https://hz.lianjia.com/zufang/HZ2153056259652190208.html,2026-05-03 22:29:29,30.26798,120.15613
qiaoxi1,整租·方正360空间大厦 1室1厅 南,整租,方正360空间大厦,拱墅区-桥西-方正,45.74,1室1厅,南,,2100,45.9,,,https://hz.lianjia.com/zufang/HZ2043326352949510144.html,2026-05-03 22:30:44,30.26798,120.15613
qiaoxi1,整租·西瑞大厦 1室1厅 西北,整租,西瑞大厦,拱墅区-桥西-西瑞大厦,60.76,1室1厅,西北,,2200,36.2,,,https://hz.lianjia.com/zufang/HZ2152402596143300608.html,2026-05-03 22:30:44,30.319978,120.134117
qiaoxi1,整租·西瑞大厦 1室1厅 南,整租,西瑞大厦,拱墅区-桥西-西瑞大厦,49.71,1室1厅,南,,2200,44.3,,,https://hz.lianjia.com/zufang/HZ2153433546721591296.html,2026-05-03 22:29:29,30.319978,120.134117
qiaoxi1,独栋·青年客 北城天地店 LOFT轻奢复式 限（三个月）秒杀价 1室1厅,独栋,青年客 北城天地店 LOFT轻奢复式 限（三个月）秒杀价,,38.00,1室1厅,,,2180,57.4,,,https://hz.lianjia.com/apartment/83938.html,2026-05-03 22:29:29,30.322781,120.119243
qiaoxi1,整租·名城燕园 3室1厅 南,整租,名城燕园,拱墅区-桥西-名城燕园,89.00,3室1厅,南,,5000,56.2,,,https://hz.lianjia.com/zufang/HZ2159127231551504384.html,2026-05-03 22:29:52,30.319978,120.134117
