region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
sandun,整租·五幸银座 1室1厅 复式 北,整租,五幸银座,西湖区-三墩-五幸银座,41.00,1室1厅,,,1500,36.6,,,https://hz.lianjia.com/zufang/HZ2104551086864990208.html,2026-05-03 22:38:27,30.336452,120.061632
sandun,整租·海悦中心 1室1厅 北,整租,海悦中心,西湖区-三墩-海悦中心,59.00,1室1厅,北,,2500,42.4,,,https://hz.lianjia.com/zufang/HZ2155589507955556352.html,2026-05-03 22:39:42,30.321761,120.067684
sandun,整租·丰盛九玺 1室1厅 东,整租,丰盛九玺,西湖区-三墩-丰盛九玺,41.98,1室1厅,东,,1800,42.9,,,https://hz.lianjia.com/zufang/HZ2027645527125917696.html,2026-05-03 22:43:09,30.33103,120.06364
sandun,独栋·宁巢公寓 灯彩街店 【限时特惠】三墩龙湖天街朝南大平层 2号线墩祥街地铁口拎包入住 1室1厅,独栋,宁巢公寓 灯彩街店 【限时特惠】三墩龙湖天街朝南大平层 2号线墩祥街地铁口拎包入住,,45.00,1室1厅,,,2050,45.6,,,https://hz.lianjia.com/apartment/95664.html,2026-05-03 22:38:29,30.332892,120.080537
sandun,整租·金地自在城悦活轩 3室1厅 南,整租,金地自在城悦活轩,西湖区-三墩-金地自在城悦活轩,89.56,3室1厅,南,,3250,36.3,,,https://hz.lianjia.com/zufang/HZ2017157787351515136.html,2026-05-03 22:43:09,30.33289,120.06447
sandun,独栋·云沐公馆 五幸金座店 房东直租·无中介费·整租可短租·包网包物业 ·小户型 1室1厅,独栋,云沐公馆 五幸金座店 房东直租·无中介费·整租可短租·包网包物业 ·小户型,,25.00,1室1厅,,,1550,62.0,,,https://hz.lianjia.com/apartment/82481.html,2026-05-03 22:38:33,30.20987,120.22143
sandun,整租·丰盛九玺 1室1厅 南,整租,丰盛九玺,西湖区-三墩-丰盛九玺,36.30,1室1厅,南,,1800,49.6,,,https://hz.lianjia.com/zufang/HZ2143282927356608512.html,2026-05-03 22:38:27,30.33103,120.06364
sandun,整租·五幸金座 1室1厅 东南,整租,五幸金座,西湖区-三墩-五幸金座,52.00,1室1厅,东南,,2100,40.4,,,https://hz.lianjia.com/zufang/HZ2147944636537110528.html,2026-05-03 22:38:27,30.33414,120.056756
sandun,整租·铭雅苑西区 3室2厅 南,整租,铭雅苑西区,余杭区-三墩-铭雅苑西区,103.98,3室2厅,南,,3600,34.6,,,https://hz.lianjia.com/zufang/HZ2159564408164974592.html,2026-05-03 22:43:25,30.340077,120.07938
sandun,整租·远大金地中心 1室1厅 东,整租,远大金地中心,余杭区-三墩-远大金地中心,36.79,1室1厅,东,,1700,46.2,,,https://hz.lianjia.com/zufang/HZ2148393371431862272.html,2026-05-03 22:38:27,30.338627,120.087153
sandun,独栋·杭州银城佳遇 三墩店 公寓直租！可短租月付！独居带阳台 1室1厅,独栋,杭州银城佳遇 三墩店 公寓直租！可短租月付！独居带阳台,,30.00,1室1厅,,,1700,56.7,,,https://hz.lianjia.com/apartment/46188.html,2026-05-03 22:38:29,30.152306,118.875703
sandun,整租·春树云筑 1室1厅 南,整租,春树云筑,西湖区-三墩-春树云筑,48.00,1室1厅,南,,2300,47.9,,,https://hz.lianjia.com/zufang/HZ2158859796852244480.html,2026-05-03 22:38:27,30.30968,120.064844
sandun,整租·龙湖春森俪湾 4室2厅 南,整租,龙湖春森俪湾,西湖区-三墩-龙湖春森俪湾,118.00,4室2厅,南,,4600,39.0,,,https://hz.lianjia.com/zufang/HZ2159194395079868416.html,2026-05-03 22:38:27,30.321477,120.086428
sandun,独栋·CCB建融家园 紫金港社区 自带健身房公区厨房 4号线池华街地铁口 电费0.59 柜床 1室1厅,独栋,CCB建融家园 紫金港社区 自带健身房公区厨房 4号线池华街地铁口 电费0.59 柜床,,17.00,1室1厅,,,1020-1135,,,,https://hz.lianjia.com/apartment/95387.html,2026-05-03 22:38:27,30.33,120.0659
sandun,整租·协安蓝郡 3室2厅 南,整租,协安蓝郡,余杭区-三墩-协安蓝郡,125.00,3室2厅,南,,4500,36.0,,,https://hz.lianjia.com/zufang/HZ2156254056249556992.html,2026-05-03 22:39:51,30.338627,120.087153
