region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
sichoucheng1,整租·十五家园 2室1厅 南,整租,十五家园,拱墅区-丝绸城-十五家园,46.59,2室1厅,南,,2750,59.0,,,https://hz.lianjia.com/zufang/HZ2156283736109350912.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,整租·新华坊社区 2室1厅 南,整租,新华坊社区,拱墅区-丝绸城-新华坊社区,80.00,2室1厅,南,,4000,50.0,,,https://hz.lianjia.com/zufang/HZ2159162357337554944.html,2026-05-03 22:36:01,30.269353,120.171306
sichoucheng1,整租·十五家园 1室1厅 南,整租,十五家园,拱墅区-丝绸城-十五家园,37.50,1室1厅,南,,2980,79.5,,,https://hz.lianjia.com/zufang/HZ2140661726058643456.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,合租·新华坊社区 4居室 北卧,合租,新华坊社区 4居室 北卧,拱墅区-丝绸城-新华坊社区,7.90,,,,1230,155.7,,,https://hz.lianjia.com/zufang/HZ2151305555367428096.html,2026-05-03 22:36:01,30.269353,120.171306
sichoucheng1,整租·贡院 2室1厅 南/西,整租,贡院,拱墅区-丝绸城-贡院,75.00,2室1厅,南/西,,3400,45.3,,,https://hz.lianjia.com/zufang/HZ2143301686167339008.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,合租·十五家园 3居室 东卧,合租,十五家园 3居室 东卧,拱墅区-丝绸城-十五家园,6.90,,,,1230,178.3,,,https://hz.lianjia.com/zufang/HZ2141959316272316416.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,整租·十五家园 2室1厅 南,整租,十五家园,拱墅区-丝绸城-十五家园,53.00,2室1厅,南,,3600,67.9,,,https://hz.lianjia.com/zufang/HZ2149437082756448256.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,整租·健康公寓 3室2厅 南/北,整租,健康公寓,拱墅区-丝绸城-健康公寓,147.16,3室2厅,南/北,,9000,61.2,,,https://hz.lianjia.com/zufang/HZ1985986994219515904.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,合租·十五家园 3居室 东卧,合租,十五家园 3居室 东卧,拱墅区-丝绸城-十五家园,15.00,,,,1480,98.7,,,https://hz.lianjia.com/zufang/HZ2161442005543026688.html,2026-05-03 22:36:01,30.267207,120.168782
sichoucheng1,合租·新华坊社区 3居室 南卧,合租,新华坊社区 3居室 南卧,拱墅区-丝绸城-新华坊社区,7.90,,,,1330,168.4,,,https://hz.lianjia.com/zufang/HZ2155294713677086720.html,2026-05-03 22:36:01,30.269353,120.171306
sichoucheng1,整租·十五家园 3室2厅 南,整租,十五家园,拱墅区-丝绸城-十五家园,78.00,3室2厅,南,,4380,56.2,,,https://hz.lianjia.com/zufang/HZ2010251106348695552.html,2026-05-03 22:36:01,30.267207,120.168782
