region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
sijiqing1,整租·观音塘小区 2室0厅 南,整租,观音塘小区,上城区-四季青-观音塘小区,47.15,2室0厅,南,,2700,57.3,,,https://hz.lianjia.com/zufang/HZ2152886844650422272.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·怡静坊 3室2厅 南/北,整租,怡静坊,上城区-四季青-怡静坊,80.00,3室2厅,南/北,,3800,47.5,,,https://hz.lianjia.com/zufang/HZ2147266711483580416.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,183.00,4室2厅,南,,21888,119.6,,,https://hz.lianjia.com/zufang/HZ2018566169371344896.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,合租·东宝翠轩 4居室 北卧,合租,东宝翠轩 4居室 北卧,上城区-四季青-东宝翠轩,9.40,,,,1630,173.4,,,https://hz.lianjia.com/zufang/HZ2161074636727517184.html,2026-05-04 01:22:31,30.263946,120.196245
sijiqing1,整租·静怡花苑 3室2厅 南,整租,静怡花苑,上城区-四季青-静怡花苑,113.52,3室2厅,南,,5000,44.0,,,https://hz.lianjia.com/zufang/HZ2143993831530430464.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·东宝翠轩 2室1厅 南,整租,东宝翠轩,上城区-四季青-东宝翠轩,70.34,2室1厅,南,,5390,76.6,,,https://hz.lianjia.com/zufang/HZ1911840402353160192.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·近江新村 3室1厅 南,整租,近江新村,上城区-四季青-近江新村,70.08,3室1厅,南,,4000,57.1,,,https://hz.lianjia.com/zufang/HZ1958135814739197952.html,2026-05-04 01:22:52,30.243953,120.20762
sijiqing1,整租·揽潮华庭 6室2厅 南,整租,揽潮华庭,上城区-四季青-揽潮华庭,365.00,6室2厅,南,,48000,131.5,,,https://hz.lianjia.com/zufang/HZ2155613221388550144.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·夕照新村 2室1厅 南,整租,夕照新村,上城区-四季青-夕照新村,47.67,2室1厅,南,,2700,56.6,,,https://hz.lianjia.com/zufang/HZ2154471460654022656.html,2026-05-04 01:22:52,30.2484,120.18996
sijiqing1,独栋·初九公寓 静怡花苑店 【全女生合租主卧独卫带阳台】四季青采荷市民中心合租主卧独卫 4室1厅,独栋,初九公寓 静怡花苑店 【全女生合租主卧独卫带阳台】四季青采荷市民中心合租主卧独卫,,25.00,4室1厅,,,2100,84.0,,,https://hz.lianjia.com/apartment/77643.html,2026-05-04 01:22:31,30.33049,120.129669
sijiqing1,整租·夕照新村 1室1厅 南,整租,夕照新村,上城区-四季青-夕照新村,42.56,1室1厅,南,,2700,63.4,,,https://hz.lianjia.com/zufang/HZ2156657952541376512.html,2026-05-04 01:22:52,30.2484,120.18996
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,142.88,4室2厅,南,,15900,111.3,,,https://hz.lianjia.com/zufang/HZ2097295978032791552.html,2026-05-04 01:22:49,30.256583,120.199073
sijiqing1,整租·甘王新村 1室1厅 南,整租,甘王新村,上城区-四季青-甘王新村,36.70,1室1厅,南,,2700,73.6,,,https://hz.lianjia.com/zufang/HZ1939361616642441216.html,2026-05-04 01:22:52,30.243953,120.20762
sijiqing1,整租·清泰南苑 3室2厅 南,整租,清泰南苑,上城区-四季青-清泰南苑,132.31,3室2厅,南,,8500,64.2,,,https://hz.lianjia.com/zufang/HZ2126244800632979456.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·商教苑 2室1厅 南,整租,商教苑,上城区-四季青-商教苑,56.75,2室1厅,南,,2000,35.2,,,https://hz.lianjia.com/zufang/HZ1891104907046420480.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·商教苑 2室1厅 南,整租,商教苑,上城区-四季青-商教苑,52.97,2室1厅,南,,2800,52.9,,,https://hz.lianjia.com/zufang/HZ2085742515960414208.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,183.00,4室2厅,南,,20000,109.3,,,https://hz.lianjia.com/zufang/HZ2148370889014509568.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·观音塘小区 2室1厅 南,整租,观音塘小区,上城区-四季青-观音塘小区,55.36,2室1厅,南,,2800,50.6,,,https://hz.lianjia.com/zufang/HZ2013195266244476928.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,142.00,4室2厅,南,,15000,105.6,,,https://hz.lianjia.com/zufang/HZ2141078545273716736.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·秋塘府 3室2厅 南/北,整租,秋塘府,上城区-四季青-秋塘府,120.00,3室2厅,南/北,,8200,68.3,,,https://hz.lianjia.com/zufang/HZ2149438275721363456.html,2026-05-04 01:22:31,30.25658,120.19646
sijiqing1,整租·观音塘小区 2室1厅 南,整租,观音塘小区,上城区-四季青-观音塘小区,39.36,2室1厅,南,,2500,63.5,,,https://hz.lianjia.com/zufang/HZ2145410017556168704.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·商教苑 1室1厅 南,整租,商教苑,上城区-四季青-商教苑,30.00,1室1厅,南,,2600,86.7,,,https://hz.lianjia.com/zufang/HZ2152964134671482880.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·锦都世家 3室2厅 南,整租,锦都世家,上城区-四季青-锦都世家,98.00,3室2厅,南,,5500,56.1,,,https://hz.lianjia.com/zufang/HZ2144087991839096832.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·莫邪塘沁轩 2室1厅 南,整租,莫邪塘沁轩,上城区-四季青-莫邪塘沁轩,79.00,2室1厅,南,,5200,65.8,,,https://hz.lianjia.com/zufang/HZ2146547093584478208.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,142.78,4室2厅,南,,17000,119.1,,,https://hz.lianjia.com/zufang/HZ2149170226090999808.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·商教苑 2室1厅 南,整租,商教苑,上城区-四季青-商教苑,46.00,2室1厅,南,,4400,95.7,,,https://hz.lianjia.com/zufang/HZ2088558189317455872.html,2026-05-04 01:22:52,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,143.00,4室2厅,南,,16000,111.9,,,https://hz.lianjia.com/zufang/HZ2137941343865929728.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·望江新丰苑 4室2厅 南,整租,望江新丰苑,上城区-四季青-望江新丰苑,120.00,4室2厅,南,,7920,66.0,,,https://hz.lianjia.com/zufang/HZ2160702594740125696.html,2026-05-04 01:22:31,30.256583,120.199073
sijiqing1,整租·揽潮华庭 6室2厅 南/北,整租,揽潮华庭,上城区-四季青-揽潮华庭,360.00,6室2厅,南/北,,47700,132.5,,,https://hz.lianjia.com/zufang/HZ2125870555612577792.html,2026-05-04 01:22:33,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,182.00,4室2厅,南,,18500,101.6,,,https://hz.lianjia.com/zufang/HZ2139959155132203008.html,2026-05-04 01:22:33,30.256583,120.199073
sijiqing1,整租·秋塘府 1室1厅 南,整租,秋塘府,上城区-四季青-秋塘府,60.00,1室1厅,南,,5700,95.0,,,https://hz.lianjia.com/zufang/HZ2154855918787887104.html,2026-05-04 01:22:33,30.25658,120.19646
sijiqing1,整租·秋塘府 3室1厅 南,整租,秋塘府,上城区-四季青-秋塘府,90.00,3室1厅,南,,7200,80.0,,,https://hz.lianjia.com/zufang/HZ2155909287728119808.html,2026-05-04 01:22:33,30.25658,120.19646
sijiqing1,整租·观音塘小区 2室1厅 南,整租,观音塘小区,上城区-四季青-观音塘小区,60.00,2室1厅,南,,3300,55.0,,,https://hz.lianjia.com/zufang/HZ2150502495250546688.html,2026-05-04 01:22:49,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 东,整租,江明月朗园,上城区-四季青-江明月朗园,139.00,4室2厅,东,,14000,100.7,,,https://hz.lianjia.com/zufang/HZ2117473111707222016.html,2026-05-04 01:22:33,30.256583,120.199073
sijiqing1,整租·常启石塘人家(二区) 2室1厅 南,整租,常启石塘人家(二区),上城区-四季青-常启石塘人家(二区),78.00,2室1厅,南,,6000,76.9,,,https://hz.lianjia.com/zufang/HZ2147208813839646720.html,2026-05-04 01:22:33,30.248466,120.193325
sijiqing1,整租·莫邪塘沁轩 2室1厅 南,整租,莫邪塘沁轩,上城区-四季青-莫邪塘沁轩,75.00,2室1厅,南,,5000,66.7,,,https://hz.lianjia.com/zufang/HZ2104760173183631360.html,2026-05-04 01:22:49,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,143.00,4室2厅,南,,15000,104.9,,,https://hz.lianjia.com/zufang/HZ2124380855508926464.html,2026-05-04 01:22:49,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室2厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,143.00,4室2厅,南,,16900,118.2,,,https://hz.lianjia.com/zufang/HZ2046890498043412480.html,2026-05-04 01:22:33,30.256583,120.199073
sijiqing1,整租·海潮望月城 5室2厅 南,整租,海潮望月城,上城区-四季青-海潮望月城,286.24,5室2厅,南,,53000,185.2,,,https://hz.lianjia.com/zufang/HZ2143270278233325568.html,2026-05-04 01:22:33,30.25588,120.20155
sijiqing1,整租·莫邪塘沁轩 2室1厅 南,整租,莫邪塘沁轩,上城区-四季青-莫邪塘沁轩,75.00,2室1厅,南,,5300,70.7,,,https://hz.lianjia.com/zufang/HZ2161781325294469120.html,2026-05-04 01:22:33,30.256583,120.199073
sijiqing1,整租·莫邪塘沁轩 2室1厅 南,整租,莫邪塘沁轩,上城区-四季青-莫邪塘沁轩,79.00,2室1厅,南,,5300,67.1,,,https://hz.lianjia.com/zufang/HZ2074381066201726976.html,2026-05-04 01:22:33,30.256583,120.199073
sijiqing1,整租·江明月朗园 4室1厅 南,整租,江明月朗园,上城区-四季青-江明月朗园,165.00,4室1厅,南,,17000,103.0,,,https://hz.lianjia.com/zufang/HZ2122941493021769728.html,2026-05-04 01:22:33,30.256583,120.199073
