region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
tangqi1,柚米·春蚕高新云府人才专项租赁住房,柚米,春蚕高新云府人才专项租赁住房,,,,,,1155,,,16个热租房型 >,https://hz.lianjia.com/apartment/102206.html?ad_code=131491027872006487&ad_type=10,2026-05-03 21:41:04,30.473702,120.228172
tangqi1,整租·美致印象中心 1室1厅 南,整租,美致印象中心,临平区-塘栖-美致印象中心,40.00,1室1厅,南,,1035,25.9,,,https://hz.lianjia.com/zufang/HZ2117257146541277184.html,2026-05-03 21:44:49,30.475715,120.194717
tangqi1,整租·金宸金座 1室1厅 南,整租,金宸金座,临平区-塘栖-金宸金座,60.00,1室1厅,南,,1450,24.2,,,https://hz.lianjia.com/zufang/HZ2154584733441327104.html,2026-05-03 21:42:59,30.462335,120.167405
tangqi1,整租·美致印象中心 1室0厅 南,整租,美致印象中心,临平区-塘栖-美致印象中心,40.00,1室0厅,南,,1099,27.5,,,https://hz.lianjia.com/zufang/HZ2117499425390592000.html,2026-05-03 21:44:49,30.475715,120.194717
tangqi1,独栋·柚米 春蚕高新云府人才专项租赁住房 人才房与国企签合同 需大专和临平社保2室2厅+书房直租近宝龙广场 2室1厅,独栋,柚米 春蚕高新云府人才专项租赁住房 人才房与国企签合同 需大专和临平社保2室2厅+书房直租近宝龙广场,,80.00,2室1厅,,,1470,18.4,,,https://hz.lianjia.com/apartment/102206.html,2026-05-03 21:41:04,30.401471,120.260791
tangqi1,整租·远景城市e谷 1室1厅 南,整租,远景城市e谷,临平区-塘栖-远景城市,53.85,1室1厅,南,,1200,22.3,,,https://hz.lianjia.com/zufang/HZ1885025087464144896.html,2026-05-03 21:44:40,30.46155,120.240923
tangqi1,整租·美致印象中心 1室0厅 南,整租,美致印象中心,临平区-塘栖-美致印象中心,40.00,1室0厅,南,,1050,26.2,,,https://hz.lianjia.com/zufang/HZ2117267732180238336.html,2026-05-03 21:44:49,30.475715,120.194717
tangqi1,整租·美致生活广场 2室2厅 西南,整租,美致生活广场,临平区-塘栖-美致生活广场,106.00,2室2厅,西南,,1700,16.0,,,https://hz.lianjia.com/zufang/HZ2150530897114300416.html,2026-05-03 21:41:21,30.475715,120.194717
tangqi1,整租·美致印象中心 1室1厅 北,整租,美致印象中心,临平区-塘栖-美致印象中心,40.00,1室1厅,北,,990,24.8,,,https://hz.lianjia.com/zufang/HZ2117257182171889664.html,2026-05-03 21:44:49,30.475715,120.194717
tangqi1,整租·美致印象中心 1室1厅 南,整租,美致印象中心,临平区-塘栖-美致印象中心,40.00,1室1厅,南,,1150,28.8,,,https://hz.lianjia.com/zufang/HZ2117257157907841024.html,2026-05-03 21:44:49,30.475715,120.194717
tangqi1,整租·锦绣名邸 2室1厅 南,整租,锦绣名邸,临平区-塘栖-锦绣名邸,80.00,2室1厅,南,,1300,16.2,,,https://hz.lianjia.com/zufang/HZ2154501990338527232.html,2026-05-03 21:42:59,30.467371,120.181985
tangqi1,整租·随塘 3室2厅 南,整租,随塘,临平区-塘栖-随塘,105.00,3室2厅,南,,2760,26.3,,,https://hz.lianjia.com/zufang/HZ2143646950052855808.html,2026-05-03 21:41:24,30.460958,120.174573
tangqi1,独栋·华皙 美致生活广场店 【临平优选千元好房】 租期灵活 押一付一贝壳直租入住更安心 1室1厅,独栋,华皙 美致生活广场店 【临平优选千元好房】 租期灵活 押一付一贝壳直租入住更安心,,30.00,1室1厅,,,1099,36.6,,,https://hz.lianjia.com/apartment/80324.html,2026-05-03 21:41:04,30.41476,120.30154
tangqi1,整租·钱江国际广场 2室1厅 北,整租,钱江国际广场,临平区-塘栖-钱江国际广场,54.00,2室1厅,北,,1500,27.8,,,https://hz.lianjia.com/zufang/HZ2158783619512926208.html,2026-05-03 21:42:33,30.469631,120.249328
tangqi1,独栋·华皙 美致印象中心店 临平地铁口宝龙广场 特价精装房源999起 1室1厅,独栋,华皙 美致印象中心店 临平地铁口宝龙广场 特价精装房源999起,,38.00,1室1厅,,,1099,28.9,,,https://hz.lianjia.com/apartment/106392.html,2026-05-03 21:41:07,30.18572,120.23988
tangqi1,整租·奥园华景川上锦宸府 3室2厅 南,整租,奥园华景川上锦宸府,临平区-塘栖-奥园华景川上锦宸府,89.00,3室2厅,南,,2100,23.6,,,https://hz.lianjia.com/zufang/HZ2124129262968504320.html,2026-05-03 21:42:08,30.460958,120.174573
tangqi1,整租·雍澜府 4室2厅 南,整租,雍澜府,临平区-塘栖-雍澜府,110.00,4室2厅,南,,2466,22.4,,,https://hz.lianjia.com/zufang/HZ2122215703317577728.html,2026-05-03 21:41:04,30.460958,120.174573
tangqi1,整租·远顺大厦 1室1厅 北,整租,远顺大厦,临平区-塘栖-远顺大厦,47.00,1室1厅,北,,1100,23.4,,,https://hz.lianjia.com/zufang/HZ2104582583156211712.html,2026-05-03 21:41:04,30.46155,120.240923
tangqi1,整租·诚明诚品 1室1厅 南,整租,诚明诚品,临平区-塘栖-诚明诚品,43.00,1室1厅,南,,1250,29.1,,,https://hz.lianjia.com/zufang/HZ2146094064255107072.html,2026-05-03 21:41:04,30.460958,120.174573
tangqi1,整租·天樾四季城 3室2厅 南,整租,天樾四季城,临平区-塘栖-天樾四季城,95.00,3室2厅,南,,2700,28.4,,,https://hz.lianjia.com/zufang/HZ2150073384271085568.html,2026-05-03 21:41:09,30.435443,120.151802
tangqi1,整租·群升星河印象中心 3室1厅 北,整租,群升星河印象中心,临平区-塘栖-群升星河印象中心,50.12,3室1厅,北,,1400,27.9,,,https://hz.lianjia.com/zufang/HZ2142306754392752128.html,2026-05-03 21:43:14,30.468856,120.196521
tangqi1,独栋·华皙 美致塘栖店 开业折上折 宝龙广场楼上精装户型 1室1厅,独栋,华皙 美致塘栖店 开业折上折 宝龙广场楼上精装户型,,30.00,1室1厅,,,1299,43.3,,,https://hz.lianjia.com/apartment/66203.html,2026-05-03 21:41:07,30.279423,120.114574
tangqi1,整租·美致印象中心 1室0厅 北,整租,美致印象中心,临平区-塘栖-美致印象中心,40.00,1室0厅,北,,1099,27.5,,,https://hz.lianjia.com/zufang/HZ2117502621001449472.html,2026-05-03 21:44:49,30.475715,120.194717
tangqi1,整租·奥园华景川上锦宸府 4室2厅 南,整租,奥园华景川上锦宸府,临平区-塘栖-奥园华景川上锦宸府,115.00,4室2厅,南,,2740,23.8,,,https://hz.lianjia.com/zufang/HZ2129145299229212672.html,2026-05-03 21:42:08,30.460958,120.174573
tangqi1,整租·美致印象中心 1室1厅 南,整租,美致印象中心,临平区-塘栖-美致印象中心,30.00,1室1厅,南,,999,33.3,,,https://hz.lianjia.com/zufang/HZ2117231369280028672.html,2026-05-03 21:41:07,30.475715,120.194717
tangqi1,整租·美致印象中心 1室1厅 北,整租,美致印象中心,临平区-塘栖-美致印象中心,30.00,1室1厅,北,,999,33.3,,,https://hz.lianjia.com/zufang/HZ2117275779451584512.html,2026-05-03 21:44:49,30.475715,120.194717
