region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
wulin11,整租·戒坛寺巷 2室1厅 南,整租,戒坛寺巷,拱墅区-武林-戒坛寺巷,63.08,2室1厅,南,,3100,49.1,,,https://hz.lianjia.com/zufang/HZ2147943727883091968.html,2026-05-03 22:50:43,30.26989,120.15625
wulin11,整租·宏都商务楼 1室0厅 北,整租,宏都商务楼,拱墅区-武林-宏都商务楼,40.00,1室0厅,北,,3000,75.0,,,https://hz.lianjia.com/zufang/HZ2155683022324629504.html,2026-05-03 22:50:23,30.266626,120.154229
wulin11,整租·万寿亭街小区 2室1厅 南,整租,万寿亭街小区,拱墅区-武林-万寿亭街小区,58.81,2室1厅,南,,4369,74.3,,,https://hz.lianjia.com/zufang/HZ2159284715733909504.html,2026-05-03 22:50:43,30.271958,120.155111
wulin11,独栋·三文鱼雅居 武林门地铁站店 恒隆广场/武林广场/有阳台/有床品/拎包入住513 开间,独栋,三文鱼雅居 武林门地铁站店 恒隆广场/武林广场/有阳台/有床品/拎包入住513 开间,,46.00,,,,3780,82.2,,,https://hz.lianjia.com/apartment/98455.html,2026-05-03 22:50:26,30.283,119.9739
wulin11,整租·环城西路98号 1室1厅 南/北,整租,环城西路98号,拱墅区-武林-环城西路,43.00,1室1厅,南/北,,3200,74.4,,,https://hz.lianjia.com/zufang/HZ2014991645652549632.html,2026-05-03 22:50:43,30.274001,120.150742
wulin11,独栋·三文鱼雅居 万华公寓-武林广场店 省政府二号院/密度桥/酒店公寓/可开票/带打扫/有床品/卫生间干湿分离2-314 开间,独栋,三文鱼雅居 万华公寓-武林广场店 省政府二号院/密度桥/酒店公寓/可开票/带打扫/有床品/卫生间干湿分离2-314 开间,,40.69,,,,5480,134.7,,,https://hz.lianjia.com/apartment/27727.html,2026-05-03 22:50:26,,
wulin11,整租·武林路 2室1厅 东/西,整租,武林路,拱墅区-武林-武林路,49.97,2室1厅,东/西,,3500,70.0,,,https://hz.lianjia.com/zufang/HZ2092587456028213248.html,2026-05-03 22:50:43,30.27267,120.15372
wulin11,整租·孝丰路小区 1室0厅 南,整租,孝丰路小区,拱墅区-武林-孝丰路小区,30.00,1室0厅,南,,2080,69.3,,,https://hz.lianjia.com/zufang/HZ2157690770499305472.html,2026-05-03 22:50:23,30.26743,120.154035
wulin11,整租·环西新村 2室1厅 南,整租,环西新村,拱墅区-武林-环西新村,62.72,2室1厅,南,,3400,54.2,,,https://hz.lianjia.com/zufang/HZ2155212221632741376.html,2026-05-03 22:50:43,30.26997,120.153017
wulin11,整租·武林桥河下 3室1厅 西/北,整租,武林桥河下,拱墅区-武林-武林桥河下,65.69,3室1厅,西/北,,4100,62.4,,,https://hz.lianjia.com/zufang/HZ2156977886974705664.html,2026-05-03 22:50:43,30.266626,120.154229
wulin11,整租·武林路 2室1厅 东,整租,武林路,拱墅区-武林-武林路,60.00,2室1厅,东,,3870,64.5,,,https://hz.lianjia.com/zufang/HZ2156610349250379776.html,2026-05-03 22:50:23,30.27267,120.15372
wulin11,整租·武林路 2室1厅 东/西,整租,武林路,拱墅区-武林-武林路,44.71,2室1厅,东/西,,3000,67.1,,,https://hz.lianjia.com/zufang/HZ2140287665499537408.html,2026-05-03 22:50:23,30.27267,120.15372
wulin11,整租·宏都商务楼 1室0厅 南,整租,宏都商务楼,拱墅区-武林-宏都商务楼,36.54,1室0厅,南,,2800,76.6,,,https://hz.lianjia.com/zufang/HZ2151272988807266304.html,2026-05-03 22:50:23,30.266626,120.154229
