region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xianlin1,整租·绿城桃源小镇 3室2厅 南,整租,绿城桃源小镇,余杭区-闲林-绿城桃源小镇,138.77,3室2厅,南,,3000,21.6,,,https://hz.lianjia.com/zufang/HZ2149540507045330944.html,2026-05-03 23:56:01,30.23371,119.95992
xianlin1,整租·东海·闲湖城 6室3厅 跃层 西南,整租,东海·闲湖城,余杭区-闲林-东海,390.68,6室3厅,,,150000,383.9,,,https://hz.lianjia.com/zufang/HZ2156701384529936384.html,2026-05-03 23:50:08,30.22394,119.986869
xianlin1,整租·爵士风情花园 3室2厅 南,整租,爵士风情花园,余杭区-闲林-爵士风情花园,88.94,3室2厅,南,,2200,24.7,,,https://hz.lianjia.com/zufang/HZ2021237031077675008.html,2026-05-03 23:55:54,30.20947,119.99547
xianlin1,独栋·咖寓 桃源小镇店 401房号 开间,独栋,咖寓 桃源小镇店 401房号 开间,,25.00,,,,999,40.0,,,https://hz.lianjia.com/apartment/51929.html,2026-05-03 23:50:08,29.903489,119.948432
xianlin1,整租·竹海水韵 6室2厅 南,整租,竹海水韵,余杭区-闲林-竹海水韵,259.45,6室2厅,南,,5000,19.3,,,https://hz.lianjia.com/zufang/HZ2155986079675580416.html,2026-05-03 23:56:01,30.20947,119.99547
xianlin1,合租·岸上蓝山 5居室 南卧,合租,岸上蓝山 5居室 南卧,余杭区-闲林-岸上蓝山,14.00,,,,999,71.4,,,https://hz.lianjia.com/zufang/HZ2132072230404751360.html,2026-05-03 23:50:08,30.231199,119.980388
xianlin1,整租·东海闲湖城印象加州 3室2厅 南,整租,东海闲湖城印象加州,余杭区-闲林-东海闲湖城印象加州,119.56,3室2厅,南,,2800,23.4,,,https://hz.lianjia.com/zufang/HZ2119710466434400256.html,2026-05-03 23:56:01,30.22335,119.98727
xianlin1,整租·岸上蓝山 4室2厅 南,整租,岸上蓝山,余杭区-闲林-岸上蓝山,142.00,4室2厅,南,,3600,25.4,,,https://hz.lianjia.com/zufang/HZ2148349705547939840.html,2026-05-03 23:50:08,30.20947,119.99547
xianlin1,整租·岸上蓝山 3室2厅 南,整租,岸上蓝山,余杭区-闲林-岸上蓝山,139.74,3室2厅,南,,3500,25.0,,,https://hz.lianjia.com/zufang/HZ2155568185280036864.html,2026-05-03 23:56:01,30.20947,119.99547
xianlin1,合租·佳兆业西溪璞园 5居室 北卧,合租,佳兆业西溪璞园 5居室 北卧,余杭区-闲林-佳兆业西溪璞园,9.00,,,,930,103.3,,,https://hz.lianjia.com/zufang/HZ2161783668756971520.html,2026-05-03 23:50:08,30.23702,119.97934
xianlin1,整租·岸上蓝山 3室2厅 南,整租,岸上蓝山,余杭区-闲林-岸上蓝山,108.02,3室2厅,南,,2500,23.1,,,https://hz.lianjia.com/zufang/HZ1999529826213429248.html,2026-05-03 23:55:54,30.20947,119.99547
xianlin1,独栋·咖寓 网诗园店 朝南月付好房源 开间,独栋,咖寓 网诗园店 朝南月付好房源 开间,,32.00,,,,1299,40.6,,,https://hz.lianjia.com/apartment/58210.html,2026-05-03 23:50:08,30.27393,120.13338
xianlin1,整租·盛雅公寓 3室2厅 南,整租,盛雅公寓,余杭区-闲林-盛雅公寓,138.00,3室2厅,南,,1500,10.9,,,https://hz.lianjia.com/zufang/HZ2143988126102585344.html,2026-05-03 23:50:08,30.20947,119.99547
xianlin1,合租·佳兆业西溪璞园 5居室 北卧,合租,佳兆业西溪璞园 5居室 北卧,余杭区-闲林-佳兆业西溪璞园,8.50,,,,890,104.7,,,https://hz.lianjia.com/zufang/HZ2049848068060217344.html,2026-05-03 23:50:08,30.23702,119.97934
xianlin1,整租·雅居乐国际花园 4室2厅 南/西南,整租,雅居乐国际花园,余杭区-闲林-雅居乐国际花园,127.10,4室2厅,南/西南,,3300,26.0,,,https://hz.lianjia.com/zufang/HZ2137145417333211136.html,2026-05-03 23:54:36,30.20947,119.99547
xianlin1,整租·竹海水韵 4室2厅 错层 南/北,整租,竹海水韵,余杭区-闲林-竹海水韵,166.95,4室2厅,,,4600,27.6,,,https://hz.lianjia.com/zufang/HZ2145360926839144448.html,2026-05-03 23:55:41,30.20947,119.99547
xianlin1,合租·盛世嘉园 5居室 北卧,合租,盛世嘉园 5居室 北卧,余杭区-闲林-盛世嘉园,8.31,,,,860,103.5,,,https://hz.lianjia.com/zufang/HZ2141051019654594560.html,2026-05-03 23:50:08,30.23702,119.97934
xianlin1,整租·融创金成江南府 4室2厅 东/东南,整租,融创金成江南府,余杭区-闲林-融创金成江南府,128.00,4室2厅,东/东南,,4500,35.2,,,https://hz.lianjia.com/zufang/HZ2149140896820494336.html,2026-05-03 23:55:26,30.20947,119.99547
xianlin1,整租·绿城桃源小镇 4室2厅 南,整租,绿城桃源小镇,余杭区-闲林-绿城桃源小镇,136.00,4室2厅,南,,2900,21.3,,,https://hz.lianjia.com/zufang/HZ2161072220649029632.html,2026-05-03 23:55:26,30.23371,119.95992
xianlin1,整租·东海·闲湖城 3室2厅 南,整租,东海·闲湖城,余杭区-闲林-东海,89.00,3室2厅,南,,2850,32.0,,,https://hz.lianjia.com/zufang/HZ2156726981989761024.html,2026-05-03 23:51:34,30.22394,119.986869
xianlin1,整租·新时代城市家园 2室2厅 南,整租,新时代城市家园,余杭区-闲林-新时代城市家园,85.00,2室2厅,南,,2600,30.6,,,https://hz.lianjia.com/zufang/HZ2153387357238198272.html,2026-05-03 23:50:08,30.234533,119.98332
xianlin1,整租·中博大厦 1室1厅 北,整租,中博大厦,余杭区-闲林-中博大厦,30.00,1室1厅,北,,1080,36.0,,,https://hz.lianjia.com/zufang/HZ2153041611200659456.html,2026-05-03 23:50:08,30.2253,119.97959
xianlin1,整租·绿城桃源小镇 4室2厅 南,整租,绿城桃源小镇,余杭区-闲林-绿城桃源小镇,130.00,4室2厅,南,,3200,24.6,,,https://hz.lianjia.com/zufang/HZ2141556484289331200.html,2026-05-03 23:52:38,30.23371,119.95992
xianlin1,合租·竹海水韵春风里 4居室 南卧,合租,竹海水韵春风里 4居室 南卧,余杭区-闲林-竹海水韵春风里,12.10,,,,990,81.8,,,https://hz.lianjia.com/zufang/HZ2144378906503806976.html,2026-05-03 23:50:08,30.231199,119.980388
xianlin1,合租·岸上蓝山 5居室 南卧,合租,岸上蓝山 5居室 南卧,余杭区-闲林-岸上蓝山,18.50,,,,1530,82.7,,,https://hz.lianjia.com/zufang/HZ2116593582788837376.html,2026-05-03 23:50:08,30.231199,119.980388
xianlin1,合租·佳兆业西溪璞园 4居室 南卧,合租,佳兆业西溪璞园 4居室 南卧,余杭区-闲林-佳兆业西溪璞园,11.00,,,,1030,93.6,,,https://hz.lianjia.com/zufang/HZ2155631266525872128.html,2026-05-03 23:50:08,30.231199,119.980388
xianlin1,合租·佳兆业西溪璞园 5居室 西卧,合租,佳兆业西溪璞园 5居室 西卧,余杭区-闲林-佳兆业西溪璞园,13.00,,,,1030,79.2,,,https://hz.lianjia.com/zufang/HZ2155631264713932800.html,2026-05-03 23:50:08,30.208812,119.989229
xianlin1,整租·爵士风情花园 3室2厅 南,整租,爵士风情花园,余杭区-闲林-爵士风情花园,113.87,3室2厅,南,,2500,22.0,,,https://hz.lianjia.com/zufang/HZ2153820707643981824.html,2026-05-03 23:56:01,30.20947,119.99547
xianlin1,整租·东海闲湖城印象加州 3室2厅 南,整租,东海闲湖城印象加州,余杭区-闲林-东海闲湖城印象加州,89.00,3室2厅,南,,2600,29.2,,,https://hz.lianjia.com/zufang/HZ2099706485322809344.html,2026-05-03 23:52:38,30.22335,119.98727
xianlin1,整租·闲林山水(山水居) 3室2厅 南/北,整租,闲林山水(山水居),余杭区-闲林-闲林山水(山水居),122.20,3室2厅,南/北,,3000,24.5,,,https://hz.lianjia.com/zufang/HZ2150931520083197952.html,2026-05-03 23:55:54,30.236172,120.009692
