region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xiaoheshan,绿城长租公寓·绿城和庐旗舰店,绿城长租公寓,绿城和庐旗舰店,,,,,,2200,,,12个热租房型 >,https://hz.lianjia.com/apartment/45719.html?ad_code=131491022278377808&ad_type=10,2026-05-03 23:56:38,30.242923,119.818063
xiaoheshan,整租·微博公馆 1室1厅 跃层 南,整租,微博公馆,余杭区-小和山-微博公馆,81.82,1室1厅,,,2000,24.4,,,https://hz.lianjia.com/zufang/HZ2156978625176403968.html,2026-05-03 23:57:10,30.220919,120.014077
xiaoheshan,整租·绿野春天家园 5室2厅 东南,整租,绿野春天家园,余杭区-小和山-绿野春天家园,338.41,5室2厅,东南,,7938,23.5,,,https://hz.lianjia.com/zufang/HZ2138955094756950016.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·众安白马山庄 3室2厅 南,整租,众安白马山庄,余杭区-小和山-众安白马山庄,122.60,3室2厅,南,,2500,20.4,,,https://hz.lianjia.com/zufang/HZ2117581825005060096.html,2026-05-03 23:57:10,30.220919,120.014077
xiaoheshan,独栋·绿城长租公寓 绿城和庐旗舰店 毕业季特惠 近杭州外国语学院 燃气房 民用水电 手慢无 2室1厅,独栋,绿城长租公寓 绿城和庐旗舰店 毕业季特惠 近杭州外国语学院 燃气房 民用水电 手慢无,,69.00,2室1厅,,,2900,42.0,,,https://hz.lianjia.com/apartment/45719.html,2026-05-03 23:56:38,30.23602,119.72
xiaoheshan,整租·微博公馆 1室1厅 北,整租,微博公馆,余杭区-小和山-微博公馆,39.44,1室1厅,北,,1500,38.0,,,https://hz.lianjia.com/zufang/HZ2161011971028156416.html,2026-05-03 23:57:10,30.220919,120.014077
xiaoheshan,整租·众安白马山庄 4室1厅 南,整租,众安白马山庄,余杭区-小和山-众安白马山庄,122.00,4室1厅,南,,1500,12.3,,,https://hz.lianjia.com/zufang/HZ2090368095783747584.html,2026-05-03 23:56:58,30.220919,120.014077
xiaoheshan,整租·浪漫和山 4室1厅 东南,整租,浪漫和山,余杭区-小和山-浪漫和山,140.18,4室1厅,东南,,3100,22.1,,,https://hz.lianjia.com/zufang/HZ2110227127516266496.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·浪漫和山 5室3厅 南,整租,浪漫和山,余杭区-小和山-浪漫和山,311.00,5室3厅,南,,8333,26.8,,,https://hz.lianjia.com/zufang/HZ2142522360916344832.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·众安白马山庄 7室3厅 南,整租,众安白马山庄,余杭区-小和山-众安白马山庄,276.00,7室3厅,南,,8500,30.8,,,https://hz.lianjia.com/zufang/HZ2138615713105969152.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·源峰嘉苑 5室2厅 南/北,整租,源峰嘉苑,余杭区-小和山-源峰嘉苑,126.00,5室2厅,南/北,,2100,16.7,,,https://hz.lianjia.com/zufang/HZ2098247549893738496.html,2026-05-03 23:57:10,30.220919,120.014077
xiaoheshan,整租·浪漫和山 2室1厅 东/南,整租,浪漫和山,余杭区-小和山-浪漫和山,100.00,2室1厅,东/南,,2600,26.0,,,https://hz.lianjia.com/zufang/HZ2141580913597743104.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·微博公馆 1室1厅 南,整租,微博公馆,余杭区-小和山-微博公馆,81.00,1室1厅,南,,2000,24.7,,,https://hz.lianjia.com/zufang/HZ2150797920633356288.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·旭锋小区 2室2厅 南,整租,旭锋小区,余杭区-小和山-旭锋小区,110.00,2室2厅,南,,2200,20.0,,,https://hz.lianjia.com/zufang/HZ2113852231391379456.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·众安白马山庄 2室2厅 南,整租,众安白马山庄,余杭区-小和山-众安白马山庄,87.00,2室2厅,南,,3000,34.5,,,https://hz.lianjia.com/zufang/HZ2145913511065157632.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·旭锋小区 3室2厅 南/北,整租,旭锋小区,余杭区-小和山-旭锋小区,114.80,3室2厅,南/北,,2300,20.0,,,https://hz.lianjia.com/zufang/HZ2150202396649717760.html,2026-05-03 23:56:38,30.220919,120.014077
xiaoheshan,整租·里东路39号 1室1厅 南,整租,里东路39号,余杭区-小和山-里东路,48.00,1室1厅,南,,2300,47.9,,,https://hz.lianjia.com/zufang/HZ2150456629877800960.html,2026-05-03 23:56:38,30.209921,119.992199
xiaoheshan,整租·里东路39号 1室1厅 南,整租,里东路39号,余杭区-小和山-里东路,48.00,1室1厅,南,,2300,47.9,,,https://hz.lianjia.com/zufang/HZ2150456570893303808.html,2026-05-03 23:56:38,30.209921,119.992199
xiaoheshan,整租·翰墨香林苑 3室2厅 南,整租,翰墨香林苑,西湖区-小和山-翰墨香林苑,137.96,3室2厅,南,,3300,23.9,,,https://hz.lianjia.com/zufang/HZ2150900120139333632.html,2026-05-03 23:57:02,30.214379,120.016431
xiaoheshan,整租·翰墨香林苑 3室2厅 南,整租,翰墨香林苑,西湖区-小和山-翰墨香林苑,143.00,3室2厅,南,,3500,24.5,,,https://hz.lianjia.com/zufang/HZ2120776991937396736.html,2026-05-03 23:56:42,30.214379,120.016431
xiaoheshan,整租·翰墨香林苑 4室2厅 南,整租,翰墨香林苑,西湖区-小和山-翰墨香林苑,150.00,4室2厅,南,,3000,20.0,,,https://hz.lianjia.com/zufang/HZ2125979396387897344.html,2026-05-03 23:56:42,30.214379,120.016431
xiaoheshan,整租·绿野春天家园 4室2厅 南,整租,绿野春天家园,余杭区-小和山-绿野春天家园,145.00,4室2厅,南,,3400,23.4,,,https://hz.lianjia.com/zufang/HZ2160336892866854912.html,2026-05-03 23:56:42,30.220919,120.014077
xiaoheshan,整租·众安白马山庄 3室2厅 南,整租,众安白马山庄,余杭区-小和山-众安白马山庄,122.00,3室2厅,南,,3500,28.7,,,https://hz.lianjia.com/zufang/HZ2131588781944340480.html,2026-05-03 23:56:42,30.220919,120.014077
xiaoheshan,整租·绿野春天家园 2室2厅 南,整租,绿野春天家园,余杭区-小和山-绿野春天家园,90.00,2室2厅,南,,2600,28.9,,,https://hz.lianjia.com/zufang/HZ2154575325952999424.html,2026-05-03 23:56:42,30.220919,120.014077
xiaoheshan,整租·浪漫和山 3室2厅 南,整租,浪漫和山,余杭区-小和山-浪漫和山,127.00,3室2厅,南,,3600,28.3,,,https://hz.lianjia.com/zufang/HZ2139613860850565120.html,2026-05-03 23:56:42,30.220919,120.014077
xiaoheshan,整租·里东路39号 1室1厅 北,整租,里东路39号,余杭区-小和山-里东路,45.00,1室1厅,北,,2300,51.1,,,https://hz.lianjia.com/zufang/HZ2093215700209369088.html,2026-05-03 23:56:42,30.209921,119.992199
xiaoheshan,整租·源峰嘉苑 3室2厅 南/北,整租,源峰嘉苑,余杭区-小和山-源峰嘉苑,126.00,3室2厅,南/北,,2100,16.7,,,https://hz.lianjia.com/zufang/HZ2115337129092448256.html,2026-05-03 23:56:42,30.220919,120.014077
xiaoheshan,整租·众安白马山庄 3室2厅 南,整租,众安白马山庄,余杭区-小和山-众安白马山庄,90.37,3室2厅,南,,3000,33.2,,,https://hz.lianjia.com/zufang/HZ2155260790922280960.html,2026-05-03 23:56:42,30.220919,120.014077
xiaoheshan,整租·里东路39号 1室1厅 南,整租,里东路39号,余杭区-小和山-里东路,37.00,1室1厅,南,,2000,54.1,,,https://hz.lianjia.com/zufang/HZ1908762808166645760.html,2026-05-03 23:57:02,30.209921,119.992199
