region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xiaoshanxinchengqu,整租·新城璟隽公馆 3室2厅 南,整租,新城璟隽公馆,萧山区-萧山新城区-新城璟隽公馆,89.09,3室2厅,南,,4500,50.5,,,https://hz.lianjia.com/zufang/HZ1909443547107426304.html,2026-05-04 00:55:53,30.194618,120.284566
xiaoshanxinchengqu,整租·明江苑 3室2厅 南,整租,明江苑,萧山区-萧山新城区-明江苑,118.33,3室2厅,南,,1350,11.4,,,https://hz.lianjia.com/zufang/HZ2150232333247053824.html,2026-05-04 00:43:22,30.194452,120.280072
xiaoshanxinchengqu,整租·通惠江南名府 3室2厅 南,整租,通惠江南名府,萧山区-萧山新城区-通惠江南名府,89.09,3室2厅,南,,5000,56.1,,,https://hz.lianjia.com/zufang/HZ2158412608393183232.html,2026-05-04 00:56:14,30.202171,120.279569
xiaoshanxinchengqu,独栋·绿城长租公寓 信息港小镇店 民用水电 隔音好 近地铁7号线 近奥体 可月付 免费健身房 三居室 3室1厅,独栋,绿城长租公寓 信息港小镇店 民用水电 隔音好 近地铁7号线 近奥体 可月付 免费健身房 三居室,,96.00,3室1厅,,,5700-6210,,,,https://hz.lianjia.com/apartment/53773.html,2026-05-04 00:43:24,30.24541,120.18218
xiaoshanxinchengqu,整租·新城璟隽公馆 1室0厅 北,整租,新城璟隽公馆,萧山区-萧山新城区-新城璟隽公馆,31.00,1室0厅,北,,1400,45.2,,,https://hz.lianjia.com/zufang/HZ1933020245220392960.html,2026-05-04 00:43:22,30.194618,120.284566
xiaoshanxinchengqu,独栋·滨江暖屋 滨涛映月店 3室2厅3卫南北通透阳台飘窗 3室2厅,独栋,滨江暖屋 滨涛映月店 3室2厅3卫南北通透阳台飘窗,,89.00,3室2厅,,,4850-5100,,,,https://hz.lianjia.com/apartment/76565.html,2026-05-04 00:44:33,30.19426,120.222762
xiaoshanxinchengqu,整租·融创望海潮公寓 3室2厅 南,整租,融创望海潮公寓,萧山区-萧山新城区-融创望海潮公寓,89.14,3室2厅,南,,4500,50.5,,,https://hz.lianjia.com/zufang/HZ2144441869113753600.html,2026-05-04 00:56:02,30.197163,120.2745
xiaoshanxinchengqu,整租·众安国泰花园 3室1厅 跃层 南,整租,众安国泰花园,萧山区-萧山新城区-众安国泰花园,120.00,3室1厅,,,4600,38.3,,,https://hz.lianjia.com/zufang/HZ2147167831064576000.html,2026-05-04 00:49:32,30.186834,120.25291
xiaoshanxinchengqu,整租·华瑞晴庐 3室2厅 南/北,整租,华瑞晴庐,萧山区-萧山新城区-华瑞晴庐,89.27,3室2厅,南/北,,3900,43.7,,,https://hz.lianjia.com/zufang/HZ2049081234109235200.html,2026-05-04 00:55:53,30.19988,120.27559
xiaoshanxinchengqu,整租·中栋国际 1室1厅 南,整租,中栋国际,萧山区-萧山新城区-中栋国际,51.72,1室1厅,南,,2700,52.2,,,https://hz.lianjia.com/zufang/HZ2087140967965523968.html,2026-05-04 00:55:53,30.198155,120.231703
