region,title,rent_type,community,location,area,rooms,direction,floor,price,unit_price,tags,source,url,scraped_at,lat,lng
xihujingqu,整租·九里松花苑 4室2厅 南,整租,九里松花苑,西湖区-西湖景区-九里松花苑,200.00,4室2厅,南,,10000,50.0,,,https://hz.lianjia.com/zufang/HZ2143548099493101568.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·阔石板 6室3厅 南,整租,阔石板,西湖区-西湖景区-阔石板,253.00,6室3厅,南,,21000,83.0,,,https://hz.lianjia.com/zufang/HZ2155942302613241856.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·阔石板 4室2厅 南,整租,阔石板,西湖区-西湖景区-阔石板,200.00,4室2厅,南,,19000,95.0,,,https://hz.lianjia.com/zufang/HZ2154464527003942912.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·阔石板 5室2厅 南,整租,阔石板,西湖区-西湖景区-阔石板,279.00,5室2厅,南,,31500,112.9,,,https://hz.lianjia.com/zufang/HZ2155254828824002560.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·三台 5室2厅 南,整租,三台,西湖区-西湖景区-三台,300.00,5室2厅,南,,30000,100.0,,,https://hz.lianjia.com/zufang/HZ2158123553503838208.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·阔石板 4室2厅 南,整租,阔石板,西湖区-西湖景区-阔石板,240.00,4室2厅,南,,24000,100.0,,,https://hz.lianjia.com/zufang/HZ2155552625636933632.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·馒头山路 3室1厅 南,整租,馒头山路,上城区-西湖景区-馒头山路,85.00,3室1厅,南,,1800,21.2,,,https://hz.lianjia.com/zufang/HZ2160295470100905984.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·凤凰新村 2室1厅 南,整租,凤凰新村,上城区-西湖景区-凤凰新村,36.11,2室1厅,南,,2300,63.7,,,https://hz.lianjia.com/zufang/HZ2150891183587459072.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·凤凰山脚路 1室1厅 南,整租,凤凰山脚路,上城区-西湖景区-凤凰山脚路,37.00,1室1厅,南,,2800,75.7,,,https://hz.lianjia.com/zufang/HZ2141206099599032320.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·宋城路 2室1厅 南,整租,宋城路,上城区-西湖景区-宋城路,40.00,2室1厅,南,,2000,50.0,,,https://hz.lianjia.com/zufang/HZ2153723425389019136.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·凤山新村 2室1厅 南/北,整租,凤山新村,上城区-西湖景区-凤山新村,44.68,2室1厅,南/北,,1900,42.5,,,https://hz.lianjia.com/zufang/HZ2119725345304215552.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·九里松花苑 4室2厅 东南,整租,九里松花苑,西湖区-西湖景区-九里松花苑,210.00,4室2厅,东南,,11340,54.0,,,https://hz.lianjia.com/zufang/HZ1951847083057086464.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·九里松花苑 5室1厅 南,整租,九里松花苑,西湖区-西湖景区-九里松花苑,207.00,5室1厅,南,,25000,120.8,,,https://hz.lianjia.com/zufang/HZ2049729961526296576.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·金沙曲苑 4室2厅 南,整租,金沙曲苑,西湖区-西湖景区-金沙曲苑,200.00,4室2厅,南,,21000,105.0,,,https://hz.lianjia.com/zufang/HZ2068556383468388352.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·阔石板 6室3厅 南,整租,阔石板,西湖区-西湖景区-阔石板,600.00,6室3厅,南,,60000,100.0,,,https://hz.lianjia.com/zufang/HZ2155254143948685312.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·凤凰山脚路 1室1厅 南/北,整租,凤凰山脚路,上城区-西湖景区-凤凰山脚路,39.00,1室1厅,南/北,,2100,53.8,,,https://hz.lianjia.com/zufang/HZ1897495755426365440.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·凤山新村 3室1厅 东南,整租,凤山新村,上城区-西湖景区-凤山新村,45.00,3室1厅,东南,,6300,140.0,,,https://hz.lianjia.com/zufang/HZ1820370335497715712.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·金沙曲苑 4室1厅 南,整租,金沙曲苑,西湖区-西湖景区-金沙曲苑,120.00,4室1厅,南,,17000,141.7,,,https://hz.lianjia.com/zufang/HZ2050906728551153664.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·凤山新村 2室0厅 南,整租,凤山新村,上城区-西湖景区-凤山新村,42.00,2室0厅,南,,2300,54.8,,,https://hz.lianjia.com/zufang/HZ2157485123224731648.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·阔石板 4室3厅 南,整租,阔石板,西湖区-西湖景区-阔石板,200.00,4室3厅,南,,30000,150.0,,,https://hz.lianjia.com/zufang/HZ1878738452204224512.html,2026-05-03 23:50:03,30.253758,120.130561
xihujingqu,整租·凤凰新村 2室2厅 南,整租,凤凰新村,上城区-西湖景区-凤凰新村,48.34,2室2厅,南,,2880,59.6,,,https://hz.lianjia.com/zufang/HZ2151566623452954624.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·凤山新村 2室0厅 南,整租,凤山新村,上城区-西湖景区-凤山新村,40.00,2室0厅,南,,2200,55.0,,,https://hz.lianjia.com/zufang/HZ1970734595427008512.html,2026-05-03 23:50:03,30.24144,120.15329
xihujingqu,整租·凤山新村 1室1厅 南/北,整租,凤山新村,上城区-西湖景区-凤山新村,33.22,1室1厅,南/北,,2700,81.3,,,https://hz.lianjia.com/zufang/HZ2036715124852523008.html,2026-05-03 23:50:03,30.24144,120.15329
